"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86","ur_rpkms_means","uti_rpkms_means","LFC","na_num",geneName
"35907_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151552866342408,2.99318172310196,NA,NA,NA,NA,NA,NA,0.151552866342408,2.99318172310196,19.7500832240241,24,hypothetical_protein
"50926_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331251792494458,5.3774105177312,NA,NA,NA,NA,0.331251792494458,5.3774105177312,16.2336042840317,24,hypothetical_protein
"50928_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486472149153842,7.40157482272085,NA,NA,NA,NA,0.486472149153842,7.40157482272085,15.2147966447719,24,hypothetical_protein
"54673_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355254483783549,4.91920530594944,NA,NA,NA,NA,0.355254483783549,4.91920530594944,13.8469900606424,24,hypothetical_protein
"62560_epsF_2",NA,NA,NA,NA,NA,NA,0.392368807311942,4.33570154853966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392368807311942,4.33570154853966,11.0500668446171,24,epsF
"9795_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535313584168623,5.58722850716838,NA,NA,NA,NA,0.267656792084311,2.79361425358419,10.4373000656161,22,hypothetical_protein
"64142_hypothetical_protein",NA,NA,NA,NA,NA,NA,0.292578297110807,2.98235127544814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292578297110807,2.98235127544814,10.1933441574398,24,hypothetical_protein
"53316_arcA_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431252265646552,4.26706730097712,NA,NA,NA,NA,0.431252265646552,4.26706730097712,9.89459683088214,24,arcA
"23793_Transposase-_Mutator_family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12514853571321,1.19340440846083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12514853571321,1.19340440846083,9.53590388940411,24,transposase-_Mutator_family
"50949_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542125309098795,4.63790466902885,NA,NA,NA,NA,0.542125309098795,4.63790466902885,8.55504177943416,24,hypothetical_protein
"9624_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,0.305362251566692,2.51024118035116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305362251566692,2.51024118035116,8.22053533949305,24,hypothetical_protein
"11436_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245859483075936,0,NA,NA,NA,NA,NA,NA,0.463945026098984,0,0,5.52492302352101,NA,NA,NA,NA,0.236601503058307,1.84164100784034,7.78372488777678,20,hypothetical_protein
