"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"eco03010 Ribosome",1.18209846445639e-07,6.5256812177933,1.18209846445639e-07,1.77314769668459e-06,32,1.18209846445639e-07
"eco00230 Purine metabolism",0.041712691308484,1.80811552420757,0.041712691308484,0.31284518481363,13,0.041712691308484
"eco02010 ABC transporters",0.917061069084472,-1.40561334906763,0.917061069084472,0.999305726712996,27,0.917061069084472
"eco00620 Pyruvate metabolism",0.923575272667527,-1.49406837142712,0.923575272667527,0.999305726712996,12,0.923575272667527
"eco00020 Citrate cycle (TCA cycle)",0.967374070699588,-2.07848948677007,0.967374070699588,0.999305726712996,10,0.967374070699588
"eco01100 Metabolic pathways",0.973838256931039,-1.9512975759301,0.973838256931039,0.999305726712996,109,0.973838256931039
"eco00260 Glycine, serine and threonine metabolism",0.982386822609908,-2.34748552633693,0.982386822609908,0.999305726712996,13,0.982386822609908
"eco00650 Butanoate metabolism",0.985870764796372,-2.508589891719,0.985870764796372,0.999305726712996,11,0.985870764796372
"eco01200 Carbon metabolism",0.985902653999113,-2.26312088846026,0.985902653999113,0.999305726712996,29,0.985902653999113
"eco01210 2-Oxocarboxylic acid metabolism",0.991959566745226,-2.77368228252428,0.991959566745226,0.999305726712996,12,0.991959566745226
"eco01120 Microbial metabolism in diverse environments",0.992795559848767,-2.50196525656929,0.992795559848767,0.999305726712996,44,0.992795559848767
"eco01110 Biosynthesis of secondary metabolites",0.992904533760147,-2.49124600985157,0.992904533760147,0.999305726712996,60,0.992904533760147
"eco01130 Biosynthesis of antibiotics",0.995964208704922,-2.71246438810295,0.995964208704922,0.999305726712996,48,0.995964208704922
"eco00040 Pentose and glucuronate interconversions",0.996573404026602,-3.39159960238794,0.996573404026602,0.999305726712996,10,0.996573404026602
"eco01230 Biosynthesis of amino acids",0.999305726712996,-3.4479888771899,0.999305726712996,0.999305726712996,28,0.999305726712996
"eco00970 Aminoacyl-tRNA biosynthesis",NA,NA,NA,NA,1,NA
"eco02020 Two-component system",NA,NA,NA,NA,6,NA
"eco02030 Bacterial chemotaxis",NA,NA,NA,NA,3,NA
"eco02040 Flagellar assembly",NA,NA,NA,NA,0,NA
"eco02060 Phosphotransferase system (PTS)",NA,NA,NA,NA,4,NA
"eco03018 RNA degradation",NA,NA,NA,NA,2,NA
"eco03020 RNA polymerase",NA,NA,NA,NA,1,NA
"eco03030 DNA replication",NA,NA,NA,NA,1,NA
"eco03060 Protein export",NA,NA,NA,NA,1,NA
"eco03070 Bacterial secretion system",NA,NA,NA,NA,1,NA
"eco03410 Base excision repair",NA,NA,NA,NA,2,NA
"eco03420 Nucleotide excision repair",NA,NA,NA,NA,0,NA
"eco03430 Mismatch repair",NA,NA,NA,NA,2,NA
"eco03440 Homologous recombination",NA,NA,NA,NA,2,NA
"eco04122 Sulfur relay system",NA,NA,NA,NA,0,NA
"eco00010 Glycolysis / Gluconeogenesis",NA,NA,NA,NA,8,NA
"eco00030 Pentose phosphate pathway",NA,NA,NA,NA,6,NA
"eco00051 Fructose and mannose metabolism",NA,NA,NA,NA,6,NA
"eco00052 Galactose metabolism",NA,NA,NA,NA,6,NA
"eco00053 Ascorbate and aldarate metabolism",NA,NA,NA,NA,1,NA
"eco00061 Fatty acid biosynthesis",NA,NA,NA,NA,2,NA
"eco00071 Fatty acid degradation",NA,NA,NA,NA,2,NA
"eco00130 Ubiquinone and other terpenoid-quinone biosynthesis",NA,NA,NA,NA,1,NA
"eco00190 Oxidative phosphorylation",NA,NA,NA,NA,6,NA
"eco00240 Pyrimidine metabolism",NA,NA,NA,NA,9,NA
"eco00250 Alanine, aspartate and glutamate metabolism",NA,NA,NA,NA,6,NA
"eco00270 Cysteine and methionine metabolism",NA,NA,NA,NA,8,NA
"eco00280 Valine, leucine and isoleucine degradation",NA,NA,NA,NA,4,NA
"eco00281 Geraniol degradation",NA,NA,NA,NA,2,NA
"eco00290 Valine, leucine and isoleucine biosynthesis",NA,NA,NA,NA,7,NA
"eco00300 Lysine biosynthesis",NA,NA,NA,NA,4,NA
"eco00310 Lysine degradation",NA,NA,NA,NA,3,NA
"eco00330 Arginine and proline metabolism",NA,NA,NA,NA,2,NA
"eco00332 Carbapenem biosynthesis",NA,NA,NA,NA,0,NA
"eco00340 Histidine metabolism",NA,NA,NA,NA,0,NA
"eco00350 Tyrosine metabolism",NA,NA,NA,NA,0,NA
"eco00360 Phenylalanine metabolism",NA,NA,NA,NA,1,NA
"eco00361 Chlorocyclohexane and chlorobenzene degradation",NA,NA,NA,NA,0,NA
"eco00362 Benzoate degradation",NA,NA,NA,NA,2,NA
"eco00364 Fluorobenzoate degradation",NA,NA,NA,NA,0,NA
"eco00380 Tryptophan metabolism",NA,NA,NA,NA,2,NA
"eco00400 Phenylalanine, tyrosine and tryptophan biosynthesis",NA,NA,NA,NA,1,NA
"eco00401 Novobiocin biosynthesis",NA,NA,NA,NA,0,NA
"eco00410 beta-Alanine metabolism",NA,NA,NA,NA,4,NA
"eco00430 Taurine and hypotaurine metabolism",NA,NA,NA,NA,0,NA
"eco00440 Phosphonate and phosphinate metabolism",NA,NA,NA,NA,0,NA
"eco00450 Selenocompound metabolism",NA,NA,NA,NA,2,NA
"eco00460 Cyanoamino acid metabolism",NA,NA,NA,NA,2,NA
"eco00471 D-Glutamine and D-glutamate metabolism",NA,NA,NA,NA,0,NA
"eco00473 D-Alanine metabolism",NA,NA,NA,NA,1,NA
"eco00480 Glutathione metabolism",NA,NA,NA,NA,3,NA
"eco00500 Starch and sucrose metabolism",NA,NA,NA,NA,8,NA
"eco00511 Other glycan degradation",NA,NA,NA,NA,2,NA
"eco00520 Amino sugar and nucleotide sugar metabolism",NA,NA,NA,NA,5,NA
"eco00521 Streptomycin biosynthesis",NA,NA,NA,NA,1,NA
"eco00523 Polyketide sugar unit biosynthesis",NA,NA,NA,NA,0,NA
"eco00540 Lipopolysaccharide biosynthesis",NA,NA,NA,NA,0,NA
"eco00550 Peptidoglycan biosynthesis",NA,NA,NA,NA,1,NA
"eco00561 Glycerolipid metabolism",NA,NA,NA,NA,3,NA
"eco00562 Inositol phosphate metabolism",NA,NA,NA,NA,1,NA
"eco00564 Glycerophospholipid metabolism",NA,NA,NA,NA,6,NA
"eco00565 Ether lipid metabolism",NA,NA,NA,NA,0,NA
"eco00590 Arachidonic acid metabolism",NA,NA,NA,NA,0,NA
"eco00592 alpha-Linolenic acid metabolism",NA,NA,NA,NA,1,NA
