"","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"14805_sufB_1",56,3,358,297,350,31,1441,939,673,11,7,78,1003
"14806_iscA_1",8,0,90,74,53,14,518,210,238,4,4,28,277
"14807_hypothetical_protein",407,0,115,60,195,25,199,161,507,7,1,39,353
"14808_ydiI_1",51,0,48,4,117,17,63,106,268,2,2,10,137
"14813_hypothetical_protein",2,0,2,0,2,0,1,2,1,2,0,0,0
"14816_ydiB_1",5,0,5,0,64,0,18,22,71,1,0,5,33
"14817_aroD_1",24,0,6,1,121,8,45,57,149,4,2,3,123
"14818_ydiF_1",2,0,4,0,26,6,8,9,29,0,1,2,18
"14819_caiA_1",3,0,4,2,13,6,10,10,33,2,0,4,19
"14821_acrB_1",7,0,1,0,9,4,4,3,26,0,3,3,6
"14822_etfA_1",3,0,2,4,20,2,5,12,30,0,0,2,11
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",13,10,5,0,6,3,8,21,43,2,2,4,8
"14824_hypothetical_protein",0,0,0,0,0,0,1,0,1,0,0,0,2
"14825_fadK_1",1,0,2,1,17,1,6,6,46,2,0,2,21
"14826_ppsA_1",54,0,77,18,383,49,245,105,518,6,5,22,520
"14828_aroG_1",564,1498,332,110,2091,101,373,1159,1870,30,7,55,670
"14829_hypothetical_protein",36,59,79,25,42,61,211,140,631,9,5,9,448
"14830_hypothetical_protein",98,283,35,40,252,56,148,231,554,15,4,48,287
"14831_ydiV",22,113,10,19,264,27,39,79,223,2,4,6,91
"14832_mepS_1",35,65,11,10,177,20,82,52,168,5,1,19,115
"14833_btuD",95,223,38,19,453,59,84,149,381,7,6,23,248
"14835_btuC",153,289,58,30,400,80,102,269,499,9,5,30,373
"14836_ihfA",542,859,158,57,3159,193,644,761,1907,30,5,97,1470
"14838_pheS",3479,4333,1042,335,6977,1371,1123,3526,11376,189,19,649,3156
"14839_rplT",2478,6451,974,530,11443,1170,1914,3464,10422,162,28,570,4691
"14841_infC",29329,68588,12439,7350,108717,15939,22454,45619,134058,2531,616,7505,62909
"14846_pfkB",133,528,275,33,293,17,97,174,404,8,3,19,168
"14848_Fructosamine_kinase",13,27,17,3,47,3,34,28,65,1,0,3,22
"14849_hypothetical_protein",135,202,73,23,307,88,143,365,908,19,2,61,322
"14850_yniC",239,661,86,60,1278,174,371,570,1391,24,10,60,994
"14851_ydjM",94,170,66,25,240,29,45,303,360,3,2,25,124
"14852_tcyP",35,171,42,36,222,23,161,90,425,5,1,16,230
"14856_hypothetical_protein",22,61,5,3,162,9,19,44,83,3,0,6,35
"14857_chbF",16,59,19,4,99,30,41,50,106,5,1,8,61
"14858_chbR",16,26,7,2,81,16,28,29,118,3,1,3,62
"14859_chbA_1",21,25,2,7,94,13,15,11,88,1,0,5,45
"14860_chbC_1",16,21,8,3,65,19,32,21,92,3,2,3,72
"14861_chbB",33,62,15,15,146,20,59,81,257,3,3,7,73
"14862_osmE",25,57,25,39,31,6,24,15,184,3,0,27,48
"14863_nadE",375,1777,159,105,1759,178,369,546,1644,48,14,87,629
"14864_cho",94,111,42,2,164,27,54,90,95,5,3,18,77
"14865_hypothetical_protein",7,1,0,3,5,0,2,1,3,0,0,0,3
"14866_spy",2668,119,216,45,332,139,341,466,404,5,4,22,120
"14869_astD",4,7,5,0,7,2,0,5,16,1,0,3,12
"14871_astC",2,7,3,2,4,2,4,8,16,0,2,1,6
"14872_xthA",490,1500,206,262,1800,174,431,900,2023,36,8,174,690
"14873_ydjZ_1",16,62,10,11,54,6,9,38,62,4,6,2,25
"14874_hypothetical_protein",13,31,11,5,39,3,26,45,41,1,1,2,23
"14875_ydjZ_2",10,80,5,6,69,5,12,25,69,1,0,7,20
"14876_Carboxymuconolactone_decarboxylase_family_protein",10,31,19,4,45,19,27,37,120,0,1,5,56
"14877_hypothetical_protein",25,63,19,9,65,18,34,55,137,1,0,10,114
"14879_fbpC2",11,6,10,1,11,6,11,8,19,1,0,4,2
"14880_ynjE",33,38,25,7,72,2,22,30,76,2,2,1,34
"14882_nudG",20,57,16,8,111,25,22,46,86,3,0,5,79
"14883_hypothetical_protein",3,5,3,4,11,2,8,6,13,0,0,1,8
"14886_topB",626,830,233,108,1048,195,385,824,2556,47,13,140,964
"14888_ydjA",208,156,47,24,165,58,177,216,641,12,1,26,343
"14889_sppA",2152,3502,677,295,6335,1109,975,3866,5382,136,35,458,2170
"14891_nicotinamidase-pyrazinamidase",235,487,77,56,1252,121,189,455,973,14,7,70,443
"14892_hypothetical_protein",132,404,25,25,1509,32,93,174,379,12,0,42,119
"14895_yeaD",255,665,275,74,962,139,455,616,926,17,9,66,773
"14897_mipA_1",3900,10780,1019,894,9143,1076,1118,4500,15044,260,47,692,4913
"14898_PrkA_AAA_domain_protein",25,75,48,18,118,39,120,102,246,3,5,10,54
"14899_hypothetical_protein",11,26,6,7,24,5,20,27,31,4,0,1,3
"14900_yeaI",5,7,2,1,38,0,4,6,26,2,0,0,16
"14901_yeaJ",175,442,89,21,612,34,224,238,715,12,4,40,595
"14904_ripA_1",35,92,21,6,95,13,10,72,86,2,3,10,35
"14905_yeaN",219,744,122,5,366,20,18,139,96,6,2,25,51
"14906_hypothetical_protein",45,166,32,2,125,4,12,42,66,3,0,7,58
"14907_hypothetical_protein",56,78,34,3,387,15,30,172,168,3,0,15,100
"14908_yeaP",302,1417,212,104,1476,312,457,674,2414,47,8,171,1133
"14909_hypothetical_protein",168,548,208,82,1634,79,340,314,1168,31,6,102,479
"14911_hypothetical_protein",112,23,56,2,122,1,128,68,173,1,0,19,105
"14913_leuE",289,1131,105,97,1947,114,220,826,2386,53,6,80,849
"14925_yabJ",217,302,57,35,346,44,123,228,520,14,1,32,326
"14927_hypothetical_protein",61,111,47,21,156,28,52,160,332,4,3,18,97
"14928_pabB",243,521,134,40,953,99,138,369,927,13,5,27,489
"14929_putative_NUDIX_hydrolase",28,65,13,9,95,10,14,62,88,4,1,10,45
"14930_sdaA",985,2414,369,68,2207,438,534,1146,8808,99,18,140,1798
"14932_corC_1",185,178,96,19,171,54,190,321,451,5,2,31,237
"14935_manX_1",293,722,409,206,2772,211,2093,787,2934,23,27,172,3421
"14936_manY",139,587,179,51,1863,72,1014,280,1378,11,10,52,1946
"14937_manZ_1",194,962,223,103,1905,151,1113,496,1835,12,18,84,2452
"14939_mntP",332,528,42,23,239,62,13,133,915,13,1,83,448
"14940_rlmA",166,539,117,34,679,105,109,523,690,22,5,40,288
"14941_cspC",314,267,63,5,1269,148,286,353,946,31,10,71,855
"14942_hypothetical_protein",513,851,101,108,2848,572,606,794,2627,81,23,393,1271
"14943_hypothetical_protein",35,55,16,8,201,16,13,58,79,2,1,13,45
"14944_kdgR_1",804,1560,163,146,4005,369,526,830,2828,56,23,159,1520
"14946_htpX",685,1019,283,141,905,183,840,852,1868,31,5,82,991
"14947_prc",2844,3322,824,263,8938,1025,1890,4074,7269,155,32,299,4072
"14948_proQ",5065,9128,1267,752,9640,3346,1808,9470,19183,416,120,1140,11166
"14950_yebS",69,234,48,30,315,34,69,194,283,11,4,23,221
"14953_hypothetical_protein",50,66,19,12,109,15,12,82,102,3,0,6,63
"14955_pphA",22,84,15,4,138,20,35,77,264,7,5,17,63
"14956_hypothetical_protein",92,370,51,23,596,66,118,198,685,11,3,45,366
"14958_pcoC",206,298,56,25,421,45,97,173,414,7,1,20,215
"14959_holE",56,130,45,15,201,41,89,168,373,5,3,21,221
"14960_Carbon-nitrogen_hydrolase",113,160,44,9,263,17,103,119,250,6,3,19,107
"14961_exoX",84,144,31,7,246,44,89,144,324,10,1,17,219
"14963_ptrB_2",188,172,92,14,277,38,88,318,522,9,6,22,115
"14964_yebE",273,146,162,50,240,17,175,251,216,5,4,10,69
"14967_yebF",141,137,30,5,241,27,32,143,166,6,0,18,65
"14968_DNA_damage-inducible_protein_YebG",853,1327,290,141,1970,207,302,1418,2505,53,5,167,1212
"14969_purT",89,258,35,13,174,51,22,205,311,10,3,16,193
"14971_edd",2095,6049,690,221,7162,650,922,3680,6165,133,25,325,1805
"14972_zwf",1146,1685,389,156,3366,362,748,1405,2540,52,9,189,1456
"14973_hypothetical_protein",12,13,6,1,9,4,17,26,82,1,0,1,26
"14974_ybbH",140,274,71,31,571,51,136,230,447,6,4,33,212
"14975_pykA",431,849,279,58,1416,119,501,625,1826,35,5,89,634
"14976_msbB",582,897,178,111,1380,194,255,839,1299,44,6,101,584
"14978_znuA",788,855,287,54,1358,186,232,1018,1131,43,8,91,320
"14979_znuC",364,527,124,49,984,109,158,356,543,8,1,49,225
"14980_znuB",93,85,43,4,157,26,78,191,258,6,0,13,164
"14981_ruvB",281,602,92,33,942,69,163,484,1085,23,3,85,468
"14982_ruvA",508,731,160,63,838,130,224,748,1818,34,4,106,697
"14983_hypothetical_protein",1,16,1,1,41,0,1,4,11,2,0,2,3
"14984_ruvC",676,522,60,29,727,73,149,428,1073,27,11,47,410
"14985_yebC",4059,5377,927,379,11722,1044,1752,3619,10972,161,40,407,4575
"14986_nudB",664,1930,207,123,2589,224,269,626,2232,21,7,93,666
"14987_aspS",2577,6338,871,432,7526,898,1424,3516,12234,139,38,361,4739
"15003_yecN",143,300,76,18,368,132,101,292,680,11,4,56,367
"15004_cmoA",280,710,114,62,996,232,258,434,1597,43,3,39,1102
"15006_torZ",1304,2813,424,262,8414,1293,848,1220,2324,80,19,79,1228
"15009_hypothetical_protein",114,338,26,13,570,37,115,0,474,8,5,19,306
"15010_argS",2706,5576,716,298,9087,789,957,0,9085,140,26,273,3198
"15012_flhE",3,11,1,12,199,4,4,0,8,0,2,0,12
"15013_flhA_1",9,136,14,128,1668,35,52,1,96,3,4,10,51
"15014_flhB_1",4,45,1,45,565,13,15,1,5,1,0,3,17
"15015_chemotaxis_regulator_CheZ",7,29,3,16,90,5,39,13,37,2,0,0,17
"15016_cheY",16,44,7,60,150,15,42,21,32,1,0,2,32
"15017_cheB",21,45,7,38,149,11,101,22,56,4,0,1,39
"15018_cheR",9,8,3,15,16,3,13,7,12,2,2,1,12
"15020_tar",43,105,18,186,179,43,189,56,23,14,9,10,59
"15021_cheW",6,15,0,22,52,8,50,10,35,0,0,5,16
"15022_cheA",21,45,5,73,102,11,84,17,43,4,4,5,38
"15023_motB",2,21,3,49,102,9,60,17,43,4,1,1,27
"15024_motA",3,23,2,35,43,10,56,2,51,1,1,3,16
"15025_flhC",13,150,8,52,420,33,61,50,154,2,1,15,137
"15026_flhD",28,220,15,61,796,75,114,106,350,5,2,19,264
"15027_uspC",18,37,31,26,281,12,41,48,71,4,1,5,95
"15028_otsA",26,121,19,9,97,4,21,40,73,4,1,3,31
"15029_otsB",10,30,10,12,46,3,11,13,82,6,3,0,6
"15030_rbsC_1",12,26,11,0,23,3,7,11,22,6,0,3,18
"15031_araG",10,18,35,3,31,11,20,18,64,3,2,6,18
"15032_araF",5,10,22,0,31,8,13,18,48,3,0,1,11
"15034_hypothetical_protein",662,1182,205,0,1877,290,786,1104,1843,53,10,290,1554
"15036_ftnA_2",1897,9667,1198,0,2954,535,899,2421,6868,89,39,496,4655
"15037_hypothetical_protein",6,11,2,0,81,5,2,4,21,2,0,2,9
"15038_tyrP",225,147,133,22,398,74,88,527,619,18,7,42,350
"15039_hypothetical_protein",194,268,39,28,526,77,186,348,822,9,6,30,431
"15040_pgsA",230,429,106,45,799,81,238,467,842,19,4,34,482
"15041_uvrC",456,917,189,39,1291,141,286,1206,1380,43,7,77,584
"15042_uvrY",778,1675,255,114,3372,373,619,1806,3352,57,15,201,1543
"15043_hypothetical_protein",629,1074,191,105,2711,283,409,805,2538,47,15,226,1155
"15044_sdiA",62,323,24,34,468,52,89,288,519,13,6,54,324
"15045_artM_1",85,124,30,7,238,35,40,119,235,12,1,15,87
"15046_yecS",105,336,53,29,188,27,36,124,311,6,2,16,122
"15047_dcyD",436,630,202,74,1010,131,267,573,1326,30,1,51,602
"15049_fliZ",3,48,0,102,1016,22,50,23,11,1,1,2,28
"15053_fliS_1",2,22,1,30,331,8,28,7,7,1,3,0,14
"15054_fliT",2,10,4,17,128,5,16,9,4,0,1,1,21
"15055_Glucan_1-4-alpha-maltohexaosidase_precursor",26,91,19,65,736,26,117,162,169,7,3,13,82
"15056_lipoprotein",87,185,29,21,257,45,70,139,552,9,4,20,219
"15057_putative_inner_membrane_protein",94,204,45,12,222,50,108,160,1292,19,5,51,258
"15058_tusA_1",7,14,4,0,11,4,6,6,32,2,0,2,13
"15086_yedA",5,6,5,0,62,2,5,20,9,0,1,0,0
"15087_vsr",57,111,21,5,169,31,19,102,164,6,2,13,79
"15088_dcm",732,1487,273,139,2347,371,980,1146,2977,39,16,197,961
"15092_hchA",73,392,79,33,129,40,253,231,888,17,2,50,199
"15093_yedV",126,158,98,27,405,64,119,257,385,14,8,25,98
"15095_hiuH",161,43,798,18,183,97,1249,168,337,9,4,89,45
"15096_yedY",60,26,266,4,71,39,418,57,177,4,1,33,22
"15097_yedZ",41,10,102,2,23,12,139,36,57,2,1,6,6
"15098_zinT",137,54,44,17,333,33,150,205,203,4,0,27,43
"15100_mtfA",83,243,110,21,416,53,191,192,401,14,3,38,326
"15103_yhjE_1",91,398,66,84,316,68,547,210,1151,9,8,28,792
"15105_amn_2",343,210,47,112,464,27,123,766,1498,3,4,12,868
"15106_yeeN",2643,4072,976,411,8773,1213,1831,3892,12388,236,45,681,4548
"15129_hypothetical_protein",850,3315,427,625,3402,629,1025,2044,8080,85,22,269,2957
"15133_sbcB",427,732,175,79,1104,122,277,596,1330,36,7,52,483
"15136_plaP",2507,13627,572,543,20030,2898,3116,5088,16023,244,49,780,10690
"15138_NAD_dependent_epimerase-dehydratase_family_protein",299,526,156,55,1166,104,229,590,1187,25,7,59,563
"15139_yoeB",88,132,57,34,316,46,65,186,489,7,5,35,226
"15141_hisG",513,290,207,22,533,92,156,333,873,11,3,36,1326
"15142_hisD",320,211,92,20,197,63,85,237,573,6,1,27,735
"15145_hisH",162,105,30,15,145,19,63,215,301,5,0,3,417
"15146_hisA",100,91,26,12,168,13,65,91,404,3,2,13,319
"15147_hisF",188,211,49,20,406,37,180,251,793,14,0,12,576
