"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86"
"14805_sufB_1",2552,56,35,3,3480,358,8389,297,8293,350,5613,31,1899,1441,12431,939,6313,673,7118,11,4807,7,1681,78,6098,1003
"14806_iscA_1",732,8,0,0,1490,90,3152,74,2915,53,2383,14,789,518,3691,210,2525,238,3295,4,1772,4,504,28,1816,277
"14807_hypothetical_protein",2103,407,0,0,1964,115,2752,60,1396,195,1913,25,1695,199,1276,161,1740,507,2641,7,2026,1,4186,39,2001,353
"14808_ydiI_1",689,51,0,0,826,48,444,4,555,117,802,17,1060,63,1042,106,1221,268,844,2,1328,2,1417,10,814,137
"14813_hypothetical_protein",33,2,0,0,34,2,80,0,64,2,119,0,42,1,61,2,50,1,47,2,149,0,55,0,28,0
"14816_ydiB_1",156,5,0,0,577,5,691,0,694,64,520,0,378,18,570,22,842,71,445,1,371,0,673,5,468,33
"14817_aroD_1",961,24,0,0,1069,6,1496,1,1808,121,904,8,991,45,909,57,1082,149,790,4,571,2,1055,3,629,123
"14818_ydiF_1",105,2,0,0,129,4,89,0,137,26,145,6,114,8,115,9,135,29,115,0,128,1,530,2,57,18
"14819_caiA_1",90,3,0,0,162,4,55,2,71,13,229,6,218,10,145,10,162,33,160,2,168,0,428,4,65,19
"14821_acrB_1",53,7,0,0,72,1,65,0,46,9,36,4,45,4,44,3,60,26,41,0,44,3,42,3,36,6
"14822_etfA_1",68,3,0,0,103,2,123,4,101,20,58,2,59,5,57,12,80,30,61,0,57,0,71,2,59,11
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",112,13,60,10,164,5,57,0,60,6,137,3,116,8,119,21,83,43,106,2,75,2,93,4,88,8
"14824_hypothetical_protein",4,0,0,0,9,0,7,0,11,0,7,0,11,1,7,0,10,1,3,0,9,0,19,0,4,2
"14825_fadK_1",81,1,0,0,132,2,127,1,163,17,104,1,95,6,82,6,121,46,78,2,62,0,68,2,51,21
"14826_ppsA_1",15982,54,0,0,19583,77,31472,18,32727,383,37607,49,34651,245,34849,105,19695,518,31257,6,12462,5,14996,22,11800,520
"14828_aroG_1",1388,564,3307,1498,2167,332,3465,110,3144,2091,1584,101,2509,373,1688,1159,1064,1870,849,30,1272,7,2077,55,1338,670
"14829_hypothetical_protein",1203,36,1625,59,1398,79,1754,25,894,42,969,61,570,211,643,140,905,631,571,9,845,5,229,9,1353,448
"14830_hypothetical_protein",507,98,1538,283,760,35,2345,40,1107,252,874,56,847,148,885,231,1002,554,1062,15,914,4,567,48,808,287
"14831_ydiV",1005,22,3153,113,1304,10,3627,19,2115,264,939,27,741,39,1128,79,1082,223,609,2,1207,4,780,6,589,91
"14832_mepS_1",1099,35,2149,65,1415,11,2367,10,1742,177,1093,20,1164,82,1001,52,1028,168,1045,5,845,1,1748,19,644,115
"14833_btuD",869,95,1391,223,1470,38,1603,19,1247,453,944,59,757,84,669,149,860,381,600,7,534,6,941,23,593,248
"14835_btuC",767,153,1389,289,1520,58,1307,30,1290,400,923,80,1090,102,889,269,868,499,786,9,829,5,2016,30,942,373
"14836_ihfA",3505,542,5694,859,3552,158,6796,57,5151,3159,4040,193,4540,644,4325,761,3727,1907,5178,30,4054,5,5480,97,2238,1470
"14838_pheS",4770,3479,5339,4333,6968,1042,4895,335,4549,6977,9860,1371,4732,1123,4860,3526,3861,11376,2886,189,3194,19,25035,649,2857,3156
"14839_rplT",5359,2478,8523,6451,7120,974,9379,530,9727,11443,8921,1170,11205,1914,9285,3464,8662,10422,8775,162,9656,28,7336,570,8144,4691
"14841_infC",73611,29329,70082,68588,87053,12439,61179,7350,60723,108717,62173,15939,79750,22454,62371,45619,68124,134058,58641,2531,61647,616,51835,7505,59770,62909
"14846_pfkB",3755,133,3652,528,4682,275,3621,33,3322,293,3441,17,3733,97,3301,174,3183,404,4804,8,2702,3,4024,19,2019,168
"14848_Fructosamine_kinase",1608,13,1502,27,854,17,1475,3,1227,47,842,3,1003,34,1182,28,914,65,1305,1,1326,0,477,3,635,22
"14849_hypothetical_protein",1404,135,1796,202,1846,73,1629,23,1042,307,1260,88,1835,143,1243,365,1058,908,1350,19,1276,2,1983,61,978,322
"14850_yniC",1959,239,4192,661,4820,86,5450,60,4196,1278,3230,174,2703,371,2883,570,2374,1391,2318,24,1858,10,3029,60,2546,994
"14851_ydjM",137,94,262,170,336,66,217,25,326,240,121,29,309,45,287,303,163,360,162,3,342,2,163,25,241,124
"14852_tcyP",421,35,980,171,358,42,921,36,939,222,566,23,668,161,269,90,277,425,315,5,591,1,696,16,339,230
"14856_hypothetical_protein",529,22,861,61,452,5,811,3,660,162,358,9,380,19,394,44,342,83,336,3,300,0,477,6,307,35
"14857_chbF",268,16,757,59,717,19,937,4,594,99,603,30,612,41,402,50,471,106,495,5,473,1,964,8,741,61
"14858_chbR",626,16,594,26,434,7,659,2,429,81,395,16,383,28,296,29,357,118,329,3,283,1,340,3,363,62
"14859_chbA_1",253,21,360,25,341,2,482,7,380,94,321,13,318,15,183,11,293,88,234,1,231,0,188,5,271,45
"14860_chbC_1",406,16,334,21,391,8,300,3,266,65,299,19,208,32,150,21,176,92,165,3,211,2,120,3,282,72
"14861_chbB",398,33,969,62,619,15,1176,15,694,146,534,20,655,59,642,81,747,257,486,3,596,3,305,7,559,73
"14862_osmE",440,25,1747,57,534,25,2095,39,650,31,544,6,1268,24,817,15,954,184,1800,3,844,0,571,27,175,48
"14863_nadE",2655,375,5702,1777,3633,159,5747,105,4022,1759,3676,178,4216,369,2795,546,2919,1644,3462,48,2710,14,4951,87,2599,629
"14864_cho",708,94,831,111,764,42,862,2,833,164,659,27,759,54,532,90,275,95,571,5,608,3,844,18,542,77
"14865_hypothetical_protein",44,7,199,1,25,0,354,3,32,5,31,0,49,2,22,1,19,3,27,0,27,0,15,0,18,3
"14866_spy",981,2668,1111,119,817,216,1098,45,957,332,799,139,878,341,744,466,936,404,1963,5,807,4,16217,22,520,120
"14869_astD",83,4,85,7,73,5,98,0,78,7,26,2,80,0,45,5,53,16,155,1,54,0,59,3,40,12
"14871_astC",68,2,106,7,47,3,102,2,80,4,40,2,112,4,143,8,45,16,337,0,46,2,120,1,26,6
"14872_xthA",1007,490,1629,1500,2198,206,1720,262,1290,1800,1229,174,1351,431,1305,900,876,2023,1047,36,561,8,1797,174,774,690
"14873_ydjZ_1",89,16,118,62,90,10,62,11,61,54,57,6,55,9,37,38,55,62,34,4,49,6,140,2,46,25
"14874_hypothetical_protein",244,13,251,31,314,11,128,5,156,39,176,3,108,26,186,45,171,41,196,1,96,1,333,2,93,23
"14875_ydjZ_2",274,10,288,80,238,5,225,6,138,69,130,5,179,12,115,25,116,69,136,1,114,0,398,7,110,20
"14876_Carboxymuconolactone_decarboxylase_family_protein",149,10,312,31,315,19,367,4,224,45,216,19,187,27,143,37,167,120,183,0,137,1,563,5,161,56
"14877_hypothetical_protein",405,25,756,63,888,19,829,9,590,65,662,18,538,34,306,55,305,137,437,1,380,0,1465,10,418,114
"14879_fbpC2",209,11,39,6,202,10,46,1,32,11,187,6,113,11,95,8,90,19,116,1,92,0,233,4,58,2
"14880_ynjE",606,33,356,38,582,25,345,7,298,72,146,2,375,22,221,30,237,76,252,2,214,2,374,1,160,34
"14882_nudG",372,20,487,57,481,16,723,8,322,111,565,25,201,22,283,46,172,86,355,3,261,0,296,5,240,79
"14883_hypothetical_protein",147,3,175,5,97,3,267,4,77,11,122,2,301,8,95,6,78,13,150,0,100,0,117,1,55,8
"14886_topB",1989,626,1527,830,2887,233,1946,108,1892,1048,2992,195,3901,385,2474,824,2902,2556,2598,47,2558,13,3246,140,1894,964
"14888_ydjA",1834,208,1019,156,1343,47,1359,24,999,165,1385,58,1718,177,1371,216,1745,641,2022,12,967,1,1244,26,1177,343
"14889_sppA",2432,2152,4259,3502,3546,677,4974,295,3578,6335,2749,1109,3489,975,2997,3866,2314,5382,3028,136,2397,35,11994,458,3478,2170
"14891_nicotinamidase-pyrazinamidase",749,235,1248,487,1055,77,1922,56,1573,1252,815,121,710,189,640,455,665,973,582,14,494,7,964,70,527,443
"14892_hypothetical_protein",889,132,1513,404,901,25,1095,25,1805,1509,497,32,2167,93,1463,174,570,379,1167,12,408,0,2018,42,287,119
"14895_yeaD",2480,255,1613,665,2400,275,1405,74,1941,962,1667,139,1748,455,2502,616,1705,926,2340,17,1758,9,2783,66,1437,773
"14897_mipA_1",1742,3900,3983,10780,5051,1019,3127,894,3560,9143,3340,1076,3252,1118,3184,4500,3531,15044,1819,260,1802,47,3777,692,2738,4913
"14898_PrkA_AAA_domain_protein",3483,25,12870,75,4245,48,21130,18,6650,118,5497,39,7483,120,5627,102,5516,246,12415,3,4060,5,2931,10,544,54
"14899_hypothetical_protein",1028,11,2759,26,734,6,4396,7,1528,24,1095,5,1150,20,1273,27,811,31,2419,4,897,0,613,1,29,3
"14900_yeaI",55,5,108,7,54,2,131,1,54,38,25,0,45,4,37,6,31,26,24,2,25,0,53,0,33,16
"14901_yeaJ",1989,175,2820,442,3376,89,1598,21,2343,612,442,34,1980,224,439,238,581,715,759,12,643,4,1448,40,675,595
"14904_ripA_1",312,35,533,92,376,21,551,6,352,95,222,13,245,10,206,72,158,86,243,2,195,3,286,10,226,35
"14905_yeaN",102,219,165,744,410,122,137,5,79,366,164,20,199,18,132,139,137,96,133,6,300,2,326,25,175,51
"14906_hypothetical_protein",452,45,472,166,895,32,409,2,297,125,650,4,700,12,563,42,892,66,766,3,593,0,417,7,833,58
"14907_hypothetical_protein",560,56,666,78,420,34,537,3,538,387,301,15,477,30,441,172,328,168,293,3,354,0,754,15,446,100
"14908_yeaP",4877,302,11371,1417,8104,212,9310,104,6779,1476,5958,312,4041,457,4429,674,4444,2414,4561,47,4306,8,6293,171,4117,1133
"14909_hypothetical_protein",2938,168,13898,548,4618,208,27804,82,8941,1634,6668,79,13450,340,6910,314,8895,1168,13622,31,12773,6,5778,102,3635,479
"14911_hypothetical_protein",1117,112,920,23,1059,56,673,2,1203,122,252,1,2706,128,592,68,1065,173,1869,1,1169,0,772,19,1543,105
"14913_leuE",1264,289,2378,1131,3096,105,2696,97,1984,1947,1117,114,979,220,1436,826,1433,2386,902,53,2330,6,1807,80,1436,849
"14925_yabJ",1004,217,1161,302,1491,57,1409,35,751,346,946,44,1367,123,1253,228,981,520,904,14,754,1,1636,32,671,326
"14927_hypothetical_protein",985,61,1629,111,878,47,1174,21,937,156,330,28,809,52,659,160,426,332,348,4,419,3,421,18,219,97
"14928_pabB",732,243,1680,521,1682,134,1430,40,1143,953,1016,99,451,138,538,369,425,927,359,13,533,5,693,27,542,489
"14929_putative_NUDIX_hydrolase",152,28,330,65,240,13,356,9,254,95,171,10,257,14,206,62,129,88,175,4,142,1,224,10,127,45
"14930_sdaA",3337,985,5866,2414,5760,369,7044,68,5741,2207,3079,438,3122,534,3489,1514,2568,8808,3378,99,2201,18,2908,140,1390,1798
"14932_corC_1",616,185,1072,178,2247,96,1324,19,832,171,1144,54,1543,190,694,321,882,451,604,5,599,2,3248,31,906,237
"14935_manX_1",10509,293,11545,722,16087,409,16938,206,7583,2772,6464,211,4982,2093,6789,787,6822,2934,4886,23,6633,27,6359,172,10395,3421
"14936_manY",4973,139,8346,587,7251,179,8272,51,5465,1863,3055,72,3720,1014,3161,280,4737,1378,2413,11,3282,10,4558,52,5112,1946
"14937_manZ_1",4476,194,5492,962,7659,223,6539,103,4274,1905,3469,151,2747,1113,3578,496,3461,1835,2945,12,2800,18,4462,84,5187,2452
"14939_mntP",50,332,106,528,133,42,60,23,21,239,22,62,38,13,14,133,16,915,21,13,23,1,49,83,85,448
"14940_rlmA",370,166,1124,539,1055,117,675,34,486,679,350,105,282,109,275,523,231,690,236,22,267,5,393,40,231,288
"14941_cspC",6788,314,5992,267,4206,63,3978,5,3352,1269,4585,148,4073,286,4876,353,4140,946,6161,31,6291,10,4949,71,2877,855
"14942_hypothetical_protein",720,513,2008,851,2135,101,2189,108,1616,2848,1891,572,1299,606,1469,794,1855,2627,1232,81,1652,23,3221,393,2052,1271
"14943_hypothetical_protein",110,35,582,55,351,16,612,8,244,201,161,16,116,13,190,58,85,79,126,2,123,1,631,13,81,45
"14944_kdgR_1",5212,804,9919,1560,6179,163,8856,146,7034,4005,4142,369,5080,526,3754,830,3861,2828,3646,56,3305,23,2201,159,3233,1520
"14946_htpX",1980,685,2429,1019,2901,283,2669,141,1822,905,1250,183,2018,840,1601,852,1280,1868,1480,31,1004,5,13740,82,1015,991
"14947_prc",4232,2844,7955,3322,10039,824,9941,263,10341,8938,9317,1025,7087,1890,7553,4074,5101,7269,5663,155,5533,32,14389,299,5049,4072
"14948_proQ",9335,5065,14085,9128,13136,1267,18060,752,12283,9640,12384,3346,10702,1808,12409,9470,8251,19183,8181,416,8373,120,21098,1140,8841,11166
"14950_yebS",334,69,1375,234,819,48,1873,30,855,315,672,34,656,69,530,194,429,283,857,11,631,4,1193,23,610,221
"14953_hypothetical_protein",826,50,1230,66,601,19,1608,12,408,109,583,15,810,12,578,82,942,102,1116,3,807,0,170,6,102,63
"14955_pphA",256,22,574,84,392,15,671,4,365,138,343,20,394,35,511,77,441,264,613,7,427,5,823,17,301,63
"14956_hypothetical_protein",698,92,1629,370,1114,51,1171,23,1013,596,1038,66,877,118,1032,198,890,685,1198,11,953,3,2144,45,921,366
"14958_pcoC",1735,206,1591,298,736,56,1378,25,1318,421,993,45,1467,97,1062,173,950,414,1529,7,1160,1,1971,20,1057,215
"14959_holE",730,56,958,130,1111,45,959,15,514,201,457,41,498,89,476,168,397,373,440,5,443,3,939,21,412,221
"14960_Carbon-nitrogen_hydrolase",1340,113,1699,160,961,44,1411,9,1316,263,993,17,1468,103,787,119,809,250,1530,6,692,3,1404,19,834,107
"14961_exoX",1731,84,2038,144,1384,31,2037,7,1653,246,1356,44,1866,89,950,144,1214,324,1773,10,843,1,2065,17,1188,219
"14963_ptrB_2",755,188,1104,172,1059,92,1312,14,774,277,626,38,667,88,1181,318,1012,522,837,9,1023,6,1417,22,509,115
"14964_yebE",546,273,839,146,507,162,911,50,654,240,339,17,423,175,484,251,259,216,458,5,397,4,1196,10,365,69
"14967_yebF",630,141,1134,137,550,30,1436,5,755,241,662,27,869,32,697,143,391,166,1005,6,467,0,205,18,189,65
"14968_DNA_damage-inducible_protein_YebG",1474,853,1693,1327,3417,290,2741,141,2558,1970,1904,207,2371,302,2463,1418,1237,2505,2313,53,1980,5,1536,167,2228,1212
"14969_purT",78,89,166,258,212,35,163,13,143,174,183,51,145,22,211,205,154,311,126,10,96,3,97,16,932,193
"14971_edd",4068,2095,7249,6049,4575,690,5685,221,4406,7162,6570,650,5778,922,4270,3680,6682,6165,4553,133,5100,25,3260,325,5199,1805
"14972_zwf",3597,1146,4710,1685,5486,389,5095,156,4258,3366,4746,362,5130,748,4009,1405,3769,2540,4140,52,3823,9,6451,189,3340,1456
"14973_hypothetical_protein",62,12,79,13,86,6,108,1,44,9,77,4,84,17,72,26,128,82,76,1,91,0,37,1,58,26
