"","UR1","UR3","UR6","UR7","UR14","UR17","UR43","UR54","UR56","UR57","UR66","UR68","UR86","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"14839_rplT",1.81,1.83,1.71,1.9,1.89,1.81,1.85,1.85,1.82,1.91,1.88,1.85,1.83,1.65,1.7,1.7,1.76,1.73,1.68,1.72,1.66,1.67,1.64,1.66,1.72,1.71
"15318_rplY",1.72,1.79,1.69,1.82,1.79,1.64,1.67,1.64,1.59,1.59,1.65,1.57,1.63,1.66,1.79,1.69,1.94,1.87,1.75,1.7,1.7,1.69,1.74,1.76,1.76,1.76
"15448_prmB",1.74,1.76,1.71,1.85,1.75,1.59,1.58,1.68,1.59,1.6,1.59,1.74,1.64,1.46,1.54,1.55,1.6,1.44,1.43,1.35,1.49,1.46,1.44,1.55,1.49,1.53
"16202_rpsU",1.65,1.6,1.62,1.54,1.48,1.45,1.37,1.4,1.3,1.34,1.39,1.39,1.4,1.51,1.48,1.43,1.51,1.45,1.54,1.52,1.47,1.49,1.53,1.55,1.6,1.57
"16302_rpsO",1.9,1.87,1.85,1.89,1.8,1.81,1.79,1.78,1.75,1.75,1.76,1.77,1.82,1.82,1.82,1.81,1.88,1.78,1.93,1.8,1.81,1.77,1.9,1.96,2.01,1.83
"16321_rpmA",1.66,1.71,1.79,1.75,1.66,1.63,1.47,1.61,1.54,1.55,1.59,1.66,1.6,1.57,1.6,1.5,1.59,1.62,1.64,1.54,1.55,1.64,1.62,1.51,1.65,1.66
"16322_rplU",1.9,2.01,2.06,2.06,1.95,1.93,1.83,1.92,1.81,1.84,1.87,1.97,1.89,1.87,1.92,1.92,2.05,1.94,1.98,1.96,1.95,1.97,1.96,2.06,2.01,2.03
"16361_rpsI",1.49,1.42,1.49,1.36,1.39,1.42,1.45,1.43,1.61,1.37,1.43,1.32,1.42,1.47,1.42,1.36,1.36,1.4,1.43,1.42,1.37,1.56,1.46,1.39,1.41,1.44
"16362_rplM",1.93,1.95,1.99,1.91,1.91,1.92,1.96,1.94,1.93,1.89,1.92,1.87,1.93,1.95,1.98,1.89,1.98,1.93,2.01,1.95,1.97,1.97,2,2.04,2.02,1.99
"16417_rplQ",1.59,1.42,1.48,1.37,1.39,1.57,1.59,1.56,1.58,1.51,1.57,1.54,1.59,1.59,1.58,1.56,1.57,1.54,1.66,1.58,1.6,1.63,1.61,1.62,1.65,1.61
"16419_rpsD",2.16,2.21,2.26,2.28,2.26,2.3,2.28,2.26,2.3,2.3,2.28,2.3,2.33,2.26,2.3,2.28,2.36,2.34,2.32,2.33,2.29,2.3,2.31,2.37,2.32,2.32
"16420_rpsK",1.95,1.96,2.07,1.98,1.98,2.02,1.99,2.01,2.02,2.02,2.03,2,2.07,2.05,2.08,2.09,2.11,2.03,2.09,2.07,2.09,2.08,2.08,2.17,2.07,2.07
"16421_rpsM",1.93,1.98,2.01,1.98,1.96,1.99,1.99,1.98,1.99,2,2,1.98,2.03,2.04,2.05,2,2.04,2.03,2.07,2.03,2.04,2.04,2.07,2.15,2.04,2.03
"16422_rpmJ",1.66,1.61,1.59,1.59,1.61,1.64,1.68,1.65,1.65,1.72,1.7,1.62,1.69,1.71,1.71,1.72,1.71,1.77,1.66,1.72,1.71,1.72,1.68,1.67,1.65,1.71
"16424_rplO",1.91,1.81,1.81,1.78,1.81,1.93,2.03,1.99,2.03,2.08,2,2.02,2,2.02,1.98,1.92,1.94,2.01,1.96,2.01,1.97,1.98,2.02,1.95,1.91,1.95
"16425_rpmD",1.76,1.54,1.54,1.49,1.53,1.66,1.74,1.74,1.76,1.77,1.73,1.74,1.74,1.83,1.76,1.74,1.75,1.83,1.72,1.75,1.76,1.74,1.77,1.82,1.66,1.73
"16426_rpsE",2.02,1.87,1.83,1.86,1.9,1.97,2.01,2,2.04,2.07,2.01,2.03,2,2.08,2.06,2.01,2.08,2.06,2.02,2.03,2.02,2.03,2.03,2.05,1.99,1.98
"16428_rplF",1.85,1.82,1.89,1.87,1.9,2,2.03,2.03,2.04,2.02,1.98,2.03,2,2.07,2.07,2.03,2.07,2.05,2.05,2.03,2.08,2.07,2.06,2.11,2.03,2.03
"16429_rpsH",1.98,1.93,2,2.02,2.03,2.09,2.06,2.07,2.08,2.08,2.03,2.07,2.02,2.04,2.05,2.1,2.09,2.08,2.02,2.04,2.05,2.04,2.01,2.03,2,2.04
"16430_rpsN",1.82,1.69,1.76,1.73,1.76,1.83,1.83,1.84,1.82,1.82,1.79,1.82,1.8,1.89,1.91,1.92,1.96,1.87,1.88,1.86,1.89,1.88,1.9,1.92,1.88,1.83
"16431_rplE",2,1.98,2.03,2.02,2.05,2.06,2.05,2.05,2.05,2.07,2.01,2.06,2.02,2.05,2.05,2.03,2.03,2.04,2.02,2.04,2.06,2.04,2.02,2.02,1.99,2.03
