"","p.geomean","stat.mean","p.val","q.val","set.size","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"eco00052 Galactose metabolism",0.0165858370384012,2.09477186524969,2.64899381766358e-12,5.82778639885987e-11,13,0.00339585587509127,0.00444586987857302,0.0457237955012625,0.0301682769016389,0.000442817036109337,0.00162155012887058,0.0427369314083502,0.0176041992431629,0.0155673260845414,0.516797293039235,0.0294276976975823,0.795021592063398,0.00339424800434821
"eco00040 Pentose and glucuronate interconversions",0.0314611694097739,1.61426167944495,8.9258426356466e-08,9.81842689921126e-07,12,0.00376024194517369,0.000323047736383281,0.451933351745277,0.00254700645150988,0.00269297983337536,0.758489581058838,0.0950920161573943,0.10384457587077,0.00121933348202207,0.74313580279684,0.158246139535572,0.700019079193794,0.0104506183663098
"eco00290 Valine, leucine and isoleucine biosynthesis",0.0571594680618855,1.25515687368524,2.07146363677967e-05,0.000115511788345561,12,0.79321426580323,0.0388458822471205,0.00166741020617989,0.635158287245869,0.878894552317749,0.000934781559384209,0.334209971494331,0.434973656624202,0.00464668225360735,0.27572203914452,0.199408810217648,0.0400915412335551,0.00174158858957402
"eco00051 Fructose and mannose metabolism",0.0951828911251737,1.20632868684528,2.10021433355566e-05,0.000115511788345561,10,0.0372605217209891,0.0628123950028689,0.361111710319277,0.172658827523565,0.0153986867704045,0.0165614236821533,0.381108916658278,0.0402773224102632,0.0444526344385955,0.186303604240282,0.261167601914822,0.856703566229049,0.0497257408315694
"eco00520 Amino sugar and nucleotide sugar metabolism",0.134725677389083,0.92916422501459,0.000637609463193421,0.00280548163805105,11,0.403702654036351,0.0846823338432665,0.0977050686781882,0.304863536799682,0.0481818041147988,0.0954614548350007,0.173428939967066,0.198876272161705,0.048449398317008,0.354845731073598,0.138562438124814,0.972184463078155,0.0128777524619789
"eco01210 2-Oxocarboxylic acid metabolism",0.100431327989924,0.89365170254054,0.00106350478562569,0.0038995175472942,17,0.89541697538199,0.169330996428834,0.00603098850693961,0.762658445987036,0.949679328675706,0.0131610539946673,0.492308433678854,0.248728967194907,0.00411903893103732,0.172134613955379,0.194007621556606,0.0374630196835303,0.019226592442286
"eco01230 Biosynthesis of amino acids",0.10512181373306,0.7799948193039,0.00294820941265281,0.00926580101119454,36,0.935244519648889,0.424307711952023,0.00876156641399781,0.958052506926618,0.909270509818674,0.00544439108618224,0.0298636298177773,0.0953199364334689,0.00491632996984537,0.0749027503011594,0.293936153667951,0.333946188289192,0.112821736709587
"eco01100 Metabolic pathways",0.201467989520167,0.648960242002539,0.00979484349949941,0.0269358196236234,138,0.353060946120069,0.338440364962892,0.12663042903369,0.732106587663479,0.4365997038425,0.0637660622215956,0.15565679693705,0.132927625084004,0.039526351734209,0.320394472224927,0.135221032866342,0.915460096790196,0.0900580773687206
"eco00650 Butanoate metabolism",0.305937890176388,0.434888305708482,0.0617166412298124,0.150862900783986,13,0.25071860782234,0.498330740602749,0.258161911624369,0.677731476094315,0.766165912311435,0.188040671635329,0.238675073198213,0.44792072021302,0.156726059663753,0.219467251615163,0.22030124333711,0.25387647015551,0.317574211938991
"eco02020 Two-component system",0.325706501655216,0.267730476201757,0.170770843598561,0.375695855916834,13,0.185965991872387,0.198886498119844,0.254877844381179,0.303596843429055,0.495355902884611,0.931740159268977,0.105064112864515,0.804009577054592,0.377310323266832,0.526541507746685,0.267008809698714,0.680599744307504,0.115238857531477
"eco01110 Biosynthesis of secondary metabolites",0.276262995326385,0.228894008283072,0.205600444440907,0.411200888881814,75,0.801953721496892,0.71702518756656,0.219333613416612,0.955284506192212,0.928733555756344,0.0346944508216233,0.308890172147481,0.23350576109963,0.0554953906027821,0.106465566014479,0.120192284295089,0.719106675854807,0.381842996999705
"eco00270 Cysteine and methionine metabolism",0.322498109487256,0.194752329008123,0.246898885455818,0.452647956669001,11,0.563073159261646,0.630345458717011,0.301133521269414,0.88822258743646,0.750005945731007,0.103040715644725,0.154015670555055,0.177958824127081,0.106222710047581,0.0838184508377417,0.455021280855592,0.937021303497262,0.534727708578991
"eco02010 ABC transporters",0.361174098314405,0.0364252540837408,0.444504949859955,0.752239145916847,36,0.105292701030868,0.314675313863901,0.15900584090204,0.515753520310308,0.39946275261897,0.943173138636657,0.977837537845796,0.104547533817334,0.195976216521129,0.333489019411204,0.452200387657827,0.669937380304401,0.858818287854312
"eco01120 Microbial metabolism in diverse environments",0.404179406963712,-0.0179707716663831,0.525393038085082,0.825617631276557,51,0.222571775554173,0.922465338455556,0.837061020872305,0.807736210737239,0.706888312454448,0.224421130559379,0.261358190240119,0.131824905215705,0.534971306136946,0.121066489819747,0.286236347567698,0.670659866003677,0.814306467455627
"eco01200 Carbon metabolism",0.475618615043413,-0.243179777864701,0.804092907166413,0.99999999998672,31,0.421799302915263,0.97320091644128,0.500802010656245,0.933617334055144,0.907902770526436,0.252727931209194,0.43520551289445,0.236757533029056,0.472276823463708,0.189639622396662,0.243210291352254,0.825066550935184,0.781509411110557
"eco00620 Pyruvate metabolism",0.578990735314851,-0.369864039390249,0.901178304762919,0.99999999998672,14,0.376949627007958,0.970022342382455,0.738887149484193,0.676788741315488,0.735528549505386,0.611679013516824,0.577624869035878,0.456828294159817,0.851785815999395,0.630934021693572,0.280796084488906,0.352342587857185,0.711937982475315
"eco01130 Biosynthesis of antibiotics",0.467991687437679,-0.366837696629618,0.902811672869769,0.99999999998672,52,0.923757361770623,0.947374343975958,0.162900717082785,0.978773451487358,0.990504902958304,0.21216060471172,0.697935819688848,0.363169358404563,0.309444254435989,0.208974044027721,0.248768583257627,0.737581218762984,0.58571303022731
"eco00020 Citrate cycle (TCA cycle)",0.569559864369345,-0.518809024090282,0.960809634675925,0.99999999998672,11,0.300999440120007,0.948231380386061,0.597942412593422,0.914955654990381,0.978908106806797,0.779664710267376,0.798054902172999,0.369504567455077,0.630549214348432,0.278266795088774,0.191498603580935,0.66491809351379,0.84538779980634
"eco00240 Pyrimidine metabolism",0.610712875687334,-0.510395158542636,0.961517248085811,0.99999999998672,14,0.955619560236577,0.937314543192371,0.434931660094448,0.919739232721351,0.898241165229765,0.466574865288524,0.674931566022495,0.44073871672798,0.579285835650878,0.381819541258184,0.618404926331507,0.685073379369908,0.392743983882338
"eco00260 Glycine, serine and threonine metabolism",0.632169947804651,-0.777627480474943,0.99559235147256,0.99999999998672,12,0.954861498431698,0.940471437992239,0.516026590442324,0.960388913856445,0.926317000369492,0.186910494845788,0.542567033518829,0.793248619618152,0.749199735360343,0.302428679273631,0.483520739511225,0.986792524884443,0.718318739122012
"eco00230 Purine metabolism",0.854013438463865,-1.2489258495515,0.999993500001947,0.99999999998672,17,0.963283741369367,0.94400061586858,0.858619107561208,0.92325286451285,0.927722502357697,0.828726398730673,0.812387020058958,0.967029539842916,0.966776795854265,0.861184070398202,0.782770267755178,0.568331690151789,0.797082104868605
"eco03010 Ribosome",0.639385436612564,-1.97102062297456,0.99999999998672,0.99999999998672,47,0.976391995580677,0.619738318703571,0.988623393302298,0.761738601202559,0.333823276961567,0.996725419243727,0.751010872341465,0.999990039085329,0.999916940248186,0.990647653556926,0.999984937614732,0.0264834495147176,0.999219759332807
"eco00970 Aminoacyl-tRNA biosynthesis",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco02030 Bacterial chemotaxis",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco02040 Flagellar assembly",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco02060 Phosphotransferase system (PTS)",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03018 RNA degradation",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03020 RNA polymerase",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03030 DNA replication",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03060 Protein export",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03070 Bacterial secretion system",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03410 Base excision repair",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03420 Nucleotide excision repair",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03430 Mismatch repair",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03440 Homologous recombination",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco04122 Sulfur relay system",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00010 Glycolysis / Gluconeogenesis",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00030 Pentose phosphate pathway",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00053 Ascorbate and aldarate metabolism",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00061 Fatty acid biosynthesis",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00071 Fatty acid degradation",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00130 Ubiquinone and other terpenoid-quinone biosynthesis",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00190 Oxidative phosphorylation",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00250 Alanine, aspartate and glutamate metabolism",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00280 Valine, leucine and isoleucine degradation",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00281 Geraniol degradation",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00300 Lysine biosynthesis",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00310 Lysine degradation",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00330 Arginine and proline metabolism",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00332 Carbapenem biosynthesis",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00340 Histidine metabolism",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00350 Tyrosine metabolism",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00360 Phenylalanine metabolism",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00361 Chlorocyclohexane and chlorobenzene degradation",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00362 Benzoate degradation",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00364 Fluorobenzoate degradation",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00380 Tryptophan metabolism",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00400 Phenylalanine, tyrosine and tryptophan biosynthesis",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00401 Novobiocin biosynthesis",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00410 beta-Alanine metabolism",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
