"","p.geomean","stat.mean","p.val","q.val","set.size","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"eco00052 Galactose metabolism",0.00243421404132036,-3.09004561848897,2.58683671983008e-23,4.65276924905826e-22,13,0.000558285473852177,0.000602890885511239,0.00563936223042767,0.00322218270926671,0.000131337925366862,0.000312969796226602,0.00288358698121074,0.00264938012262805,0.00185552815766882,0.0448627171894481,0.00691434945211279,0.183284551957268,0.000519982230708914
"eco01230 Biosynthesis of amino acids",0.00231561375686206,-2.84662317308872,4.2297902264166e-23,4.65276924905826e-22,36,0.0894788475159811,0.00580001917954248,0.000272359410415112,0.0737908588523544,0.0669933403910861,0.000128919726782674,0.000333552455934444,0.00190152388090896,7.80689130651815e-05,0.000293405162494556,0.0226153218976923,0.00153199125449768,0.00121378825668883
"eco01210 2-Oxocarboxylic acid metabolism",0.00609711327077386,-2.63422398144621,2.26188201279237e-18,1.65871347604774e-17,17,0.106594314810482,0.00718486047476692,0.00048989777024949,0.0559384528220076,0.183431513048991,0.000934858298611578,0.0121700871972284,0.0163453650768709,0.000527579972307234,0.00614763463935921,0.0291576011408693,0.000296525629692662,0.000801546460600579
"eco00290 Valine, leucine and isoleucine biosynthesis",0.00931529720901321,-2.53818282492506,3.93753826141392e-16,2.16564604377766e-15,12,0.127603669352161,0.00518502302737191,0.000492410474382957,0.0746462079174952,0.188651869558702,0.000584081519927959,0.0190371218317502,0.0611661566572176,0.00168406398289766,0.0250419618265065,0.0493861554008923,0.00133345184157224,0.000458935727801229
"eco00040 Pentose and glucuronate interconversions",0.00947934373331639,-2.50195369511512,2.52764719178285e-15,1.11216476438446e-14,12,0.00154330380064413,0.000325138898685889,0.0641371065630772,0.000602773718425886,0.000983115309741803,0.128751275759285,0.0205087901086168,0.0152834215119103,0.00120986289249587,0.124230697146331,0.0402365391611472,0.570922134673661,0.00187782143645846
"eco00520 Amino sugar and nucleotide sugar metabolism",0.0209685061187814,-2.16542744543617,5.43032695233993e-13,1.99111988252464e-12,11,0.054392770694207,0.0108094487333243,0.0160186377621657,0.0412072973349354,0.00745835907442476,0.0136396734961727,0.0133731394884265,0.0314565458327073,0.00743414540514532,0.0359386696159014,0.0396755754637292,0.359900345428104,0.00239079712099671
"eco01110 Biosynthesis of secondary metabolites",0.0250079177486384,-1.91513795057077,3.99390695573824e-12,1.21485714777336e-11,75,0.0941988850545979,0.0716615767187077,0.0180056058178504,0.184119508750026,0.175107037812486,0.00379301184204603,0.00697540709341582,0.0192107299286448,0.00627828109203128,0.00439752526862207,0.0400306575965226,0.0229177314368512,0.0296588000930838
"eco00650 Butanoate metabolism",0.0274368032310288,-2.0450968103377,4.4176623555395e-12,1.21485714777336e-11,13,0.023379835826881,0.0411942858074524,0.0313168322859355,0.0696238817454756,0.133408573012143,0.0180041953882873,0.0112827040723911,0.0508443035639317,0.0118501771193599,0.0159662272034397,0.0646339888561409,0.00543545271406575,0.0259587833321136
"eco01120 Microbial metabolism in diverse environments",0.0293458867775529,-1.83508096327584,3.52899847317129e-11,8.62644071219648e-11,51,0.0118799503675971,0.100072163828539,0.234385879958583,0.0747359007929412,0.134748227094464,0.0179303102654524,0.0119157623070431,0.0119028140692083,0.0217854734357021,0.00268949111106071,0.0774578928223002,0.002488448470286,0.148529138620458
"eco02020 Two-component system",0.0384269405530226,-1.84441966696,2.6806120164028e-10,5.89734643608617e-10,13,0.0181732402220676,0.0157034256706465,0.0319069905340089,0.0281233358704757,0.0502538515973037,0.208693895497233,0.00586393500320026,0.134557346980428,0.0255978807050609,0.07102436430632,0.0933493145373087,0.105340484722473,0.010514595964208
"eco01100 Metabolic pathways",0.0408964210699653,-1.7197218539469,3.29275233947486e-10,6.58550467894972e-10,138,0.0642574046701272,0.0804643473044673,0.0615301269026256,0.0902867190796659,0.065802764824549,0.019087395151233,0.00544178384637693,0.042080113934131,0.0105451670802092,0.0286571719868585,0.0749577966761442,0.0772799860176482,0.0619000427779818
"eco01130 Biosynthesis of antibiotics",0.0502682388865285,-1.56625904804925,1.2166871495288e-08,2.23059310746947e-08,52,0.193325214341196,0.205905434644728,0.0366305784307726,0.285672979208874,0.368592825905319,0.0199274754804865,0.0106237989580028,0.0374343444266256,0.019770270260581,0.00824284374012203,0.0926454001914268,0.0114161337343779,0.0623974215550602
"eco02010 ABC transporters",0.0691339796746015,-1.47491873923322,7.6331662061046e-08,1.29176658872539e-07,36,0.0484982351009678,0.0796660125734999,0.140807941274315,0.108259163483945,0.0237544342216273,0.105253081434068,0.173773759833411,0.0182887547649745,0.0533536382022853,0.0478615695517332,0.145955866853918,0.0456591277934477,0.103478811043002
"eco01200 Carbon metabolism",0.0703561811692154,-1.4301694410738,2.0309978896063e-07,3.19156811223846e-07,31,0.0655026160290866,0.278777417709255,0.131286611182648,0.218969799757011,0.316457475508051,0.0407890804622303,0.0186466295476078,0.0505158734755501,0.0459584821537788,0.00898139504508918,0.0937376456974744,0.0298762304720809,0.140272217660911
"eco00020 Citrate cycle (TCA cycle)",0.0856326953824324,-1.4098614000523,1.07521037490697e-06,1.57697521653022e-06,11,0.0371088736129524,0.215658709037507,0.0955004243307183,0.192797500461433,0.461738682433945,0.114441779947837,0.0843334625592863,0.0543558115765023,0.0578894349424853,0.0272330302206234,0.0558667012769071,0.0329095395584524,0.128696464750163
