"","p.geomean","stat.mean","p.val","q.val","set.size","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"eco03010 Ribosome",4.22414017755995e-10,7.55950448442797,4.88421969054266e-108,1.07452833191938e-106,47,4.37863454704735e-11,5.31854456203104e-12,2.29017668853002e-09,2.20296951873944e-11,3.36043787417328e-12,1.84475909074939e-10,2.18059655144737e-10,6.1409135239231e-09,4.74784714591771e-10,1.32942443813045e-09,6.40179579570158e-07,4.86106337206951e-10,7.11626126921169e-09
"eco00230 Purine metabolism",0.0285474709752669,1.97042816346579,4.53568830186326e-12,4.98925713204959e-11,17,0.0177426272945897,0.00929981887470708,0.0562552308124452,0.0147941657354061,0.0305153780568729,0.0359750654926389,0.0497043542132916,0.0307045644069248,0.0141266511274415,0.0270472653746245,0.0564586838334461,0.0437643383139621,0.0385036665655808
"eco00240 Pyrimidine metabolism",0.169784529423107,0.92946235368315,0.000538140022062083,0.00394636016178861,14,0.0915580803275786,0.0714772547412578,0.398673004273793,0.0560083122173754,0.0852724982428745,0.24581943470215,0.243401848653065,0.329612503529698,0.181534077607192,0.320171892220511,0.269834702155369,0.107955938863,0.234154863890484
"eco00051 Fructose and mannose metabolism",0.716371993730883,-0.731476332855681,0.994713762494349,1,10,0.90831322310276,0.868176067817946,0.511678685908378,0.771744143474264,0.865849812936724,0.864696061932683,0.348230316264287,0.889630748263402,0.823460107462609,0.794844836636903,0.722626524848727,0.592854234402654,0.646127927469026
"eco00270 Cysteine and methionine metabolism",0.777101235881777,-0.998617168514383,0.999735623329084,1,11,0.75424343459481,0.753927263129068,0.871589114387307,0.603343645529069,0.689274595529349,0.923603499807512,0.97216001800063,0.891406686953469,0.937968970804138,0.956025835691597,0.744357251271098,0.408723366229695,0.837395826495563
"eco00620 Pyruvate metabolism",0.855145280795887,-1.17384526099465,0.999979471014434,1,14,0.912670584469787,0.685708171011778,0.783567689788577,0.858194922220884,0.804944985486742,0.865861559607604,0.892472801577535,0.889250937619645,0.845237986345616,0.901659862775499,0.876061039858537,0.98379710135932,0.855277950387568
"eco00260 Glycine, serine and threonine metabolism",0.858647394720094,-1.27753543884532,0.999993057687528,1,12,0.760454919697827,0.827811520480366,0.919519074418751,0.763860646752699,0.77076825181346,0.979724402376456,0.960149066922276,0.855789135715952,0.921306369697563,0.975625342088679,0.834683284957567,0.745788787647856,0.89837038603173
"eco00020 Citrate cycle (TCA cycle)",0.870952652381022,-1.4098614000523,0.999998924789625,1,11,0.962891126387048,0.784341290962493,0.904499575669282,0.807202499538567,0.538261317566055,0.885558220052163,0.915666537440714,0.945644188423498,0.942110565057515,0.972766969779377,0.944133298723093,0.967090460441548,0.871303535249837
"eco01200 Carbon metabolism",0.883435914103755,-1.4301694410738,0.999999796900211,1,31,0.934497383970913,0.721222582290745,0.868713388817352,0.781030200242989,0.683542524491949,0.95921091953777,0.981353370452392,0.94948412652445,0.954041517846221,0.991018604954911,0.906262354302526,0.970123769527919,0.859727782339089
"eco02010 ABC transporters",0.914543741045501,-1.47491873923322,0.999999923668338,1,36,0.951501764899032,0.9203339874265,0.859192058725685,0.891740836516055,0.976245565778373,0.894746918565932,0.826226240166589,0.981711245235026,0.946646361797715,0.952138430448267,0.854044133146082,0.954340872206552,0.896521188956998
