"","p.geomean","stat.mean","p.val","q.val","set.size","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"eco00052 Galactose metabolism",0.00662175218841053,2.41004079016416,1.11671207857614e-15,2.23342415715227e-14,16,0.000646767770494331,0.00104577448490098,0.014964162206557,0.0164517023482026,0.000125824823489301,0.000423315477070696,0.0110943980118135,0.00673673076618127,0.00653569480561561,0.559410046894428,0.0534159401756657,0.853410233918215,0.000425955457246321
"eco00040 Pentose and glucuronate interconversions",0.0176825344793327,1.86261819336193,5.14149603239986e-10,5.14149603239986e-09,15,0.00612843242423169,4.08441780572747e-05,0.274434156125879,0.000988155404661295,0.00171201652800675,0.653106811519778,0.151425844997979,0.0375877924274229,0.000946650436674754,0.83349670899122,0.0577823271417302,0.558822062365455,0.00150118635276877
"eco01210 2-Oxocarboxylic acid metabolism",0.149233456286905,0.658216749287577,0.0113372272892771,0.0755815152618474,15,0.909801494994948,0.268728657295595,0.0121102929657092,0.802517838041781,0.965615447051664,0.0441471446668131,0.551660036930678,0.193218744390163,0.00860803081958337,0.294242069179666,0.186545318073348,0.0830974908751671,0.0429518770377934
"eco01230 Biosynthesis of amino acids",0.165498925246674,0.567968478847984,0.0221243488342104,0.110621744171052,33,0.908871746489833,0.487271535781873,0.0266430362376393,0.945795879862711,0.897987440779037,0.016614803370209,0.0861538616552864,0.0947913724500142,0.0140098930531385,0.0960516332714536,0.456513541588507,0.373071820597227,0.224226954876836
"eco01100 Metabolic pathways",0.247001474218004,0.484905825637436,0.0404384830977722,0.161753932391089,144,0.265185041675124,0.340279173506717,0.156880358757279,0.752050206129669,0.396181649892612,0.102045700144256,0.279809564549663,0.15007195063854,0.0562010040491094,0.426903119736675,0.296576077152437,0.96378039135723,0.102767438974812
"eco00650 Butanoate metabolism",0.332820871523872,0.363497114143886,0.0995821088500965,0.331940362833655,13,0.131505681049307,0.554584526105266,0.40788819140082,0.557634025544661,0.532812306953826,0.287480994197903,0.306956913288173,0.154922645000699,0.16132908433535,0.412662170158151,0.229926824859383,0.595134843700175,0.558529968476597
"eco02020 Two-component system",0.316364808473311,0.31252706232848,0.133988796347102,0.382825132420292,14,0.182622725643541,0.185987609585767,0.198667964164802,0.276259053348225,0.471326369525167,0.919123929273108,0.13733652930921,0.710296100168062,0.312314728845627,0.550158430617792,0.306269289075673,0.71413482305083,0.107418177251354
"eco00630 Glyoxylate and dicarboxylate metabolism",0.334867103185323,0.21843911056346,0.225527563323057,0.563818908307642,10,0.398311931442425,0.741643344504231,0.31889684004847,0.62597449833077,0.644412528370301,0.191851118685773,0.606115335059632,0.0841801710436378,0.178119277058123,0.102035440811437,0.183733386299469,0.941830004394206,0.569116365954242
"eco02010 ABC transporters",0.301200920268259,0.183691434692928,0.254785204670702,0.565636640538615,37,0.0854268380616745,0.259499050787033,0.0656380512193937,0.347534119692437,0.374212258332652,0.934108321760682,0.968619644557992,0.0983121866971061,0.0789406431997086,0.564756709457414,0.417962528455373,0.745511055287204,0.718156705556297
"eco01110 Biosynthesis of secondary metabolites",0.316674571873332,0.160005925845355,0.282818320269308,0.565636640538615,74,0.73717499279723,0.740594357050366,0.273547079717351,0.934742259121979,0.916375695142535,0.0545977886212332,0.463979358013432,0.205554748732936,0.0703513384006042,0.134240562854469,0.152933049404303,0.704843769685556,0.474975723964176
"eco01120 Microbial metabolism in diverse environments",0.361821419601739,0.133919457253493,0.31583169126265,0.574239438659364,55,0.135057281131968,0.881283236348528,0.737850817358541,0.740560297834963,0.558368162767985,0.142844581292209,0.369140235550621,0.110475510365794,0.367645990279713,0.114560256916618,0.383754446950579,0.717626019168887,0.742345059401524
"eco00620 Pyruvate metabolism",0.436217147032321,0.065346167214479,0.40723167415273,0.678719456921217,15,0.183685376413787,0.885371329662761,0.563407966125506,0.469227486447244,0.440982353746668,0.381737651773571,0.560879035837992,0.204796470688275,0.568280930392388,0.621874982078968,0.299317893266421,0.443912759536936,0.53046251980052
"eco00270 Cysteine and methionine metabolism",0.422307169670771,0.0302421411899411,0.45533185365088,0.700510544078276,10,0.48415923472095,0.625136977400804,0.350253481692087,0.864369205199623,0.818139203173823,0.171551432666222,0.388134782282016,0.269665264223268,0.212882857482624,0.190348353484299,0.594501894708471,0.832441354879012,0.503383440718554
"eco01200 Carbon metabolism",0.424244744909687,-0.121348345931738,0.665158326594428,0.950226180849183,32,0.353641662358216,0.963827429814748,0.481352993680837,0.894099866492527,0.852827797750666,0.171144947270408,0.4249123934762,0.171870339675906,0.373291036342608,0.102444909736955,0.349744520900437,0.860243190235969,0.801615017094196
"eco01130 Biosynthesis of antibiotics",0.503292484210327,-0.432680308216738,0.937910456128156,0.999999999971457,52,0.893087597236869,0.949611568147115,0.205977958867549,0.965274451915557,0.986814271070864,0.272603501400798,0.81472209495862,0.288644014476838,0.336875459564632,0.232065297345429,0.269448257483342,0.79080667244023,0.748152249027913
"eco00020 Citrate cycle (TCA cycle)",0.562248047759526,-0.498963485762384,0.954353259419053,0.999999999971457,11,0.284755866223029,0.952595858366658,0.544774025169706,0.915733744795158,0.981312037508204,0.780053124074197,0.795339330955675,0.369297289369757,0.597521164593465,0.291366816388983,0.19602521918161,0.667112419598065,0.810088018399341
"eco00240 Pyrimidine metabolism",0.597672474914991,-0.493868093873204,0.956240055094754,0.999999999971457,14,0.956952771455656,0.942076737989744,0.393661376104707,0.920001177187286,0.905423632978476,0.463063327378022,0.671859301173539,0.441884940258413,0.552016349791804,0.391117728859825,0.62229924217216,0.687732029758365,0.330656169533202
"eco00260 Glycine, serine and threonine metabolism",0.716070828187008,-0.948785673407637,0.999294365735468,0.999999999971457,11,0.941479799125315,0.921082880741906,0.56483101242544,0.931216436462407,0.912749338131953,0.320320698948727,0.819461049055855,0.840756976028953,0.849104221630169,0.391111419119558,0.546117693924202,0.992050910220607,0.787284764575486
"eco00230 Purine metabolism",0.837489231108347,-1.14421963709772,0.999970056516004,0.999999999971457,17,0.950600591657879,0.910863775250406,0.696733968934447,0.919738655787103,0.910997568869119,0.875496011550576,0.840477922006597,0.957529470029004,0.926392236734577,0.887373375423999,0.828818527008287,0.623773800615738,0.658732880427097
"eco03010 Ribosome",0.642219699505523,-1.93600962650546,0.999999999971457,0.999999999971457,47,0.976055070640935,0.621404538020399,0.981918147074426,0.75697235022841,0.342183573211515,0.996935026106829,0.744629302192509,0.99999343318399,0.999882193301565,0.99083071798684,0.999983086109769,0.0279148382177669,0.998260083984813
"eco00970 Aminoacyl-tRNA biosynthesis",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco02030 Bacterial chemotaxis",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco02040 Flagellar assembly",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco02060 Phosphotransferase system (PTS)",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03018 RNA degradation",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03020 RNA polymerase",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03030 DNA replication",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03060 Protein export",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03070 Bacterial secretion system",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03410 Base excision repair",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03420 Nucleotide excision repair",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03430 Mismatch repair",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco03440 Homologous recombination",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco04122 Sulfur relay system",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00010 Glycolysis / Gluconeogenesis",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00030 Pentose phosphate pathway",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00051 Fructose and mannose metabolism",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00053 Ascorbate and aldarate metabolism",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00061 Fatty acid biosynthesis",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00071 Fatty acid degradation",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eco00121 Secondary bile acid biosynthesis",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
