"","p.geomean","stat.mean","p.val","q.val","set.size","UTI1","UTI3","UTI6","UTI7","UTI14","UTI17","UTI43","UTI54","UTI56","UTI57","UTI66","UTI68","UTI86"
"eco03010 Ribosome",1.79232858906775e-10,7.79579074590051,1.13296359507272e-112,2.26592719014545e-111,47,1.34728692764633e-11,1.48659026765029e-12,8.2361592749841e-10,5.9646047799477e-12,1.29062482268574e-12,9.06132405100542e-11,1.00965101640036e-10,3.79237882307542e-09,1.80918121045469e-10,7.68936319803319e-10,5.44237969644768e-07,1.83545364259974e-10,3.21730365131476e-09
"eco00230 Purine metabolism",0.0268315342128031,1.99758584668338,2.36173857065578e-12,2.36173857065578e-11,17,0.0178431573507186,0.0112127838641616,0.0920819803160253,0.0114987755835489,0.0327468395306522,0.0236191081811657,0.0356990715878249,0.0347152186720008,0.0185287696197475,0.0188903662062005,0.036751164098041,0.0281630401498954,0.0507846972232171
"eco00240 Pyrimidine metabolism",0.155531918506283,0.984494266862414,0.000272888946083912,0.00181925964055941,14,0.0796182952314429,0.0597335175874891,0.40275094847109,0.0453188615540767,0.0750102490870224,0.233960960875833,0.223439699575958,0.321679706967277,0.171213280080375,0.299331166466609,0.261118957153151,0.0894636915762305,0.237730410578022
"eco00260 Glycine, serine and threonine metabolism",0.719683122183534,-0.65364027325518,0.989043522113948,1,11,0.654976106706837,0.675956096083231,0.792036501013448,0.638123853415222,0.54350797770852,0.876664042376918,0.809402502274011,0.692897960607839,0.759887972086379,0.905438715808285,0.709606983841633,0.631004090969627,0.75424316008528
"eco00270 Cysteine and methionine metabolism",0.737849936388175,-0.759240933813224,0.996058442913227,1,10,0.741012654343338,0.70079820956664,0.82400335872357,0.557872358378147,0.590609300887389,0.871921986624687,0.906414816516772,0.827882301324329,0.879054707567982,0.90042320417345,0.621199656162024,0.522054749953147,0.811369717940902
"eco01200 Carbon metabolism",0.848783081393484,-1.25439147332192,0.999995819596161,1,32,0.921705084001719,0.656610763333713,0.82174656991036,0.73892266245748,0.633409419148407,0.94396266222113,0.965449703213835,0.944031308083014,0.939213496081751,0.989484716666107,0.834701819766284,0.952389328472198,0.802131807685832
"eco01130 Biosynthesis of antibiotics",0.840956749365431,-1.27283888511767,0.99999726008705,1,52,0.768833849952367,0.703140879722456,0.926524890090335,0.641195741618074,0.538374115646122,0.951527101778901,0.965816579517412,0.954797275567503,0.959197783116185,0.980953250549577,0.871642353787073,0.976041157936509,0.866285265360505
"eco00020 Citrate cycle (TCA cycle)",0.863889921857564,-1.37722120974137,0.999998231072952,1,11,0.961685619088768,0.764380377687979,0.916066056845247,0.784561079497769,0.514216815677741,0.880022684071907,0.906473184716271,0.94458474081763,0.942064055531123,0.967930958249809,0.940500557147935,0.959838405545816,0.885819165613141
"eco00620 Pyruvate metabolism",0.903641474412388,-1.39415296756161,0.999999448172918,1,15,0.95188383906104,0.787558910893009,0.865462783317392,0.912077348492634,0.898658370200044,0.92004259522332,0.90059208439543,0.95079590482605,0.916616296307497,0.906242572478978,0.874466402357662,0.967057928537553,0.910242926470155
"eco01100 Metabolic pathways",0.900138434662172,-1.38011899057411,0.999999650183479,1,144,0.907833607657248,0.848050674089612,0.870473828727838,0.852976303797726,0.911525966825656,0.958319233010639,0.984838966963523,0.928766226479525,0.976939766193122,0.936804532186528,0.812361588205177,0.843223550281527,0.889488762504552
"eco02010 ABC transporters",0.922545309126705,-1.51962785274416,0.999999968272866,1,37,0.95393731349995,0.925684338727531,0.910494130944285,0.916283715410588,0.977604022419842,0.899078167205916,0.831002022899451,0.983342349921731,0.964245532165163,0.904146841817944,0.865130716922073,0.932457437540982,0.942205602405214
"eco00630 Glyoxylate and dicarboxylate metabolism",0.915312121765918,-1.665029365604,0.999999978414886,1,10,0.937272759296667,0.871490720889697,0.948482027299888,0.895253893615733,0.883494081806313,0.968627669480059,0.919512724003453,0.980213824607057,0.973409331649612,0.983399856669621,0.94158928518862,0.700924224395032,0.93647974454558
