"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"14805_sufB_1",1341.54745236519,-0.789659954656139,0.583958577113194,-1.35225337139465,0.176294275374225,0.215585668126252,sufB,K09014,b1683
"14806_iscA_1",459.441246341219,-1.00359057936195,0.650403886482362,-1.54302672573155,0.122824291576726,0.156709014546134,sufA,K05997,b1684
"14807_hypothetical_protein",469.67020824846,-0.991647181278829,0.568425925033083,-1.74454953162299,0.0810633123405028,0.106747582882073,ydiH,NA,b1316
"14808_ydiI_1",191.280562678477,-1.43333871123062,0.526378044959655,-2.72302145759228,0.00646878562169157,0.0102177409251719,ydiI,NA,NA
"14813_hypothetical_protein",11.9365092601889,-2.71197515897134,0.648386501833565,-4.18265209300652,2.88128137353289e-05,6.27412184210556e-05,ydiL,NA,b1316
"14816_ydiB_1",88.6258927896408,-2.64222780562599,0.563686248694144,-4.68740866350221,2.76686118487204e-06,6.88824545726354e-06,ydiB,K05887,b1692
"14817_aroD_1",178.259940606715,-2.18216553407993,0.528255891798576,-4.13088726119119,3.61365781243572e-05,7.78757265005528e-05,aroD,K03785,b1693
"14818_ydiF_1",30.2327652483182,-1.63204787252113,0.533831052761579,-3.05723667455899,0.00223387818734184,0.00382295706205834,ydiF,NA,b1694
"14819_caiA_1",32.8192117972636,-1.46121560885633,0.524048369636193,-2.7883220204859,0.0052981850519922,0.00854348719416047,ydiO,NA,b0039
"14821_acrB_1",19.5970067024859,-0.391479231462752,0.57685377235953,-0.678645525470809,0.49736248978403,0.547229968970819,ydiQ,NA,b0462
"14822_etfA_1",16.3543901568703,-0.897263077785927,0.453198804180135,-1.97984431889473,0.0477210246866248,0.0656754696182262,ydiR,NA,b1698
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",29.7036601527135,-0.801538867398227,0.353386191689861,-2.2681669127063,0.0233190352920601,0.0335311645406519,fixC,K00313,b2766
"14824_hypothetical_protein",1.42574582861913,-1.18672719746495,0.633172883415181,-1.87425461283818,0.060895340026597,0.0822234974347252,ydiT,NA,b1316
"14825_fadK_1",20.1342012345743,-1.1693442453451,0.496928191044566,-2.35314531640293,0.0186153576143984,0.0271895065681406,ydiD,K12507,b1701
"14826_ppsA_1",3700.17668142273,-4.56591441285111,0.589566179416659,-7.74453245837273,9.59341882855097e-15,5.45516679750785e-14,pps,K01007,b1702
"14828_aroG_1",756.053461663434,0.679040371836581,0.193043823148645,3.51754519135127,0.000435558178537526,0.000826206643442676,aroH,K01626,b2601
"14829_hypothetical_protein",274.12987365775,-0.373153169361664,0.367370565426247,-1.01574052055234,0.309752966701916,0.360466010552648,ydiE,NA,b1316
"14830_hypothetical_protein",294.143524421432,-0.17422918953523,0.204534878358322,-0.85183119345543,0.394307790528889,0.446406376426824,ydiU,K08997,b1706
"14831_ydiV",259.193589711773,-1.99604032433948,0.274069803134846,-7.28296332360776,3.2656603389271e-13,1.62439009304088e-12,ydiV,NA,b1707
"14832_mepS_1",247.765766438028,-2.00186550603703,0.205593317893388,-9.73701639016843,2.09618502277703e-22,2.39481960136444e-21,nlpC,NA,b1708
"14833_btuD",253.922741130732,-0.443982511909581,0.138161420613973,-3.2135056945461,0.00131125197820205,0.00231691557165362,btuD,K06074,b1709
"14835_btuC",313.651442879814,-0.282790644991928,0.134114667316635,-2.10857358594702,0.0349814048532625,0.0491153058040757,btuC,K06073,b1711
"14836_ihfA",1171.33026025629,-0.45893138953328,0.192251437409909,-2.38714152526605,0.0169799532625531,0.0249758042697872,ihfA,K04764,b1712
"14838_pheS",3097.97168627642,1.09956845190108,0.283530828362736,3.8781266158978,0.000105263931379089,0.000216054435037311,pheS,K01889,b1714
"14839_rplT",3717.30362153033,0.796235605328967,0.155569310062945,5.11820490176886,3.08457390904246e-07,8.49956378901348e-07,rplT,K02887,b1716
"14841_infC",40477.2057880347,1.53855555024892,0.113121992684425,13.6008526170593,3.95792303094633e-42,2.67641173606154e-40,infC,K02520,b1718
"14846_pfkB",696.938896807289,-1.86839869111675,0.283180300139235,-6.59791196703334,4.1698873066291e-11,1.71033738380099e-10,pfkB,K00850,b3916
"14848_Fructosamine_kinase",188.4296581008,-3.30438111531647,0.259586235665544,-12.729415744423,4.05864844115801e-37,1.78153305259251e-35,yniA,NA,b1725
"14849_hypothetical_protein",381.438169938728,-0.440614491199167,0.15962603069809,-2.76029222346903,0.00577496795379144,0.00921256357094095,yniB,NA,b1316
"14850_yniC",810.609311052424,-0.521286677593246,0.153459497026172,-3.39690073077943,0.000681536861187267,0.00126498904057162,yniC,NA,b1727
"14851_ydjM",125.144483811125,1.27230491872355,0.218171162430743,5.83168235686251,5.48713000076425e-09,1.83295050225796e-08,ydjM,NA,b1728
"14852_tcyP",172.749446077897,0.0975190803320487,0.269375462859681,0.362019165727974,0.717337708297296,0.752446654841421,ydjN,NA,b1729
"14856_hypothetical_protein",93.4513719504483,-1.54108682938223,0.197705139674209,-7.79487489258865,6.44723240681747e-15,3.70827022571433e-14,chbG,K03478,b1733
"14857_chbF",130.365104812197,-1.49424245358791,0.212366713443356,-7.03614247901647,1.97634851257137e-12,9.27734329916244e-12,chbF,K01222,b1734
"14858_chbR",88.387180905159,-1.49600513876358,0.20018793971139,-7.47300332337887,7.83848671729773e-14,4.06885762794169e-13,chbR,NA,b1735
"14859_chbA_1",63.2811182743937,-1.25709856456268,0.223705936324794,-5.61942425496269,1.91594852605599e-08,5.99962855092877e-08,chbA,K02759,b1736
"14860_chbC_1",66.4602628265712,-0.752009214247115,0.271617047683705,-2.76863775915428,0.0056291182587567,0.00899939545265767,celB,K02761,b1737
"14861_chbB",148.848994395466,-1.10519942521131,0.203679845953548,-5.42615996215631,5.757936060655e-08,1.73570554503118e-07,celA,NA,b1738
"14862_osmE",188.356161826811,-1.62858790377598,0.416816880926454,-3.907202367035,9.3370949131399e-05,0.000192750919741551,osmE,K04064,b1739
"14863_nadE",1022.16427016531,-0.354650025466471,0.144247455853163,-2.45862239558311,0.0139471226133374,0.0208456993898268,nadE,K01916,b1740
"14864_cho",162.56139239425,-0.900134746663989,0.198783133986357,-4.52822494852992,5.9481241594282e-06,1.40530752095272e-05,ydjQ,K05984,b1741
"14865_hypothetical_protein",8.15121603674794,-1.49623613973981,0.504789617035507,-2.96407867603696,0.00303590656940657,0.00507743197637382,ydjR,K09975,b1742
"14866_spy",338.120957554463,0.302647082025449,0.305872541070605,0.98945489178641,0.322440629289283,0.372975707111321,spy,NA,b1743
"14869_astD",15.654410996224,-1.40427327675846,0.333872661054394,-4.2060145695178,2.59913484605253e-05,5.70942527201355e-05,astD,K06447,b1746
"14871_astC",24.6511593166154,-1.74876715994325,0.473626404133743,-3.69229237365203,0.000222241759877173,0.000434752840666682,astC,K00840,b1748
"14872_xthA",744.30908704418,1.52077682681027,0.185954763198914,8.17820850968746,2.88094933945328e-16,1.86739255111713e-15,xthA,K01142,b1749
"14873_ydjZ_1",47.6687849134866,1.15048613824038,0.34505708467999,3.33419074501066,0.000855479706456095,0.00155666198222047,ydjX,NA,b1750
"14874_hypothetical_protein",46.3919500083698,-0.843613340314014,0.254569005296562,-3.31388866186298,0.000920081361193018,0.00166814751138038,ydjY,NA,b1316
"14875_ydjZ_2",45.2379339215144,-0.69108537976625,0.258616292303985,-2.67224223814147,0.00753462356435152,0.011774908281079,ydjZ,NA,b1752
"14876_Carboxymuconolactone_decarboxylase_family_protein",59.9098644140611,-0.599346861360899,0.248683011656918,-2.41008365375498,0.015948863152013,0.0235979039658997,ynjA,NA,b1753
"14877_hypothetical_protein",124.076557640173,-1.39251285252568,0.232840436845314,-5.98054561051519,2.22391442573493e-09,7.63269395499149e-09,ynjB,K05777,b1754
"14879_fbpC2",26.6847779507013,-1.1792063617153,0.417081226056932,-2.82728228470859,0.00469449251784272,0.00761219720002754,ynjD,K05779,b1756
"14880_ynjE",75.0315949977965,-1.09035614067596,0.26676784826047,-4.08728468511447,4.36451423513284e-05,9.36536416492484e-05,ynjE,K01010,b1757
"14882_nudG",83.8974853678992,-0.862944772374217,0.205698164966863,-4.19519917697484,2.72631906007074e-05,5.96263137088898e-05,nudG,K08320,b1759
"14883_hypothetical_protein",25.5893170638663,-2.17860380000189,0.320512448560368,-6.79725174415979,1.06633675821023e-11,4.67901980977638e-11,ynjH,NA,b1316
"14886_topB",893.854324235246,0.295553835323138,0.170624878681152,1.73218488187436,0.0832406499034616,0.109441989520999,topB,K03169,b1763
"14888_ydjA",347.9326982197,-0.775278002853743,0.227176710672329,-3.41266497150747,0.000643309764454051,0.00119669965105133,ydjA,NA,b1765
"14889_sppA",2240.02804744188,1.43637344590696,0.205289224032039,6.99682826840821,2.61821879812432e-12,1.21086569924345e-11,sppA,K04773,b1766
