"","KO","baseMean","LFC","lfcSE","stat","pval","padj","gene_names","bnum"
"14816_ydiB_1","K05887",88.6258927896408,-2.64222780562601,0.563686248694094,-2.91337212754543,0.00357548239233043,0.0160607844624968,"ydiB","b1692"
"14826_ppsA_1","K01007",3700.17668142273,-4.5659144128511,0.589566179416675,-6.04837003435181,1.46318585846231e-09,1.91669686799618e-08,"ppsA","b1702"
"14841_infC","K02520",40477.2057880347,1.53855555024892,0.11312199268452,4.76083860855308,1.92790177519974e-06,1.53618160558909e-05,"infC","b1718"
"14846_pfkB","K00850",696.938896807289,-1.86839869111674,0.283180300139333,-3.0665928763034,0.00216513532985357,0.0103184163719879,"pfkB","b3916"
"14856_hypothetical_protein","K03478",93.4513719504483,-1.54108682938227,0.197705139674311,-2.73683744526637,0.0062032937331728,0.0262172988520243,"hypothetical","b1733"
"14872_xthA","K01142",744.30908704418,1.52077682681026,0.185954763199018,2.80055653241264,0.00510145711160337,0.0220066305055718,"xthA","b1749"
"14897_mipA_1","K07274",3405.27419710824,2.59737815557188,0.179548090536812,8.89665911119439,5.75529307555337e-19,3.51213250610599e-17,"mipA","b3584"
"14898_PrkA_AAA_domain_protein","K07180",1102.40530511309,-3.88467717928876,0.357008079168016,-8.08014537377224,6.46896101756087e-16,2.49005237937497e-14,"PrkA","b1783"
"14899_hypothetical_protein","K09786",222.210926771908,-3.86363595736207,0.429829951050397,-6.66225317794644,2.69660958675019e-11,4.49794479069932e-10,"hypothetical","b1784"
"14940_rlmA","K00563",263.378945709675,1.57662242743967,0.195367063618961,2.95148228549054,0.00316252686052605,0.0143866221909749,"rlmA","b1822"
"14961_exoX","K10857",314.916836356321,-1.5311280144974,0.151549482255425,-3.50465080179044,0.000457206547793274,0.00251967132726602,"exoX","b1844"
"14969_purT","K08289",109.271430613008,1.74795872162593,0.221528867539776,3.37634877987915,0.000734547383092909,0.0039270033173044,"purT","b1849"
"15028_otsA","K00697",261.487263671011,-3.00561194746447,0.34660548583131,-5.78644028860117,7.18936259448675e-09,8.44496958281965e-08,"otsA","b1896"
"15029_otsB","K01087",155.61727644847,-2.66200847126299,0.446015413525387,-3.72634761235305,0.00019427443551729,0.00113568840575762,"otsB","b1897"
