,Uniprot,Symbol,GO,Pubmed,evidence,alternative,category,Godef,acc,date,source
1,P0A776,rppH,GO:0050779,PMID:18202662,IMP,,P,,,20081017,EcoliWiki
2,P0A776,rppH,GO:0034353,PMID:18202662,IDA,,F,,,20081017,EcoliWiki
3,P0A776,rppH,GO:0016818,PMID:18202662,IDA,,F,,,20081017,EcoliWiki
4,P37351,rpiB,GO:0004751,PMID:8576032,IDA,,F,,,20081017,EcoliWiki
5,P37351,rpiB,GO:0004751,PMID:8576032,IGI,EcoliWiki:rpiA,F,,,20081017,EcoliWiki
6,P37351,rpiB,GO:0019316,PMID:10559180,IMP,,P,,,20081017,EcoliWiki
7,P0A6Y8,dnaK,GO:0008270,PMID:11985624,IDA,,F,,,20091030,EcoliWiki
8,P0A6Y8,dnaK,GO:0009408,PMID:8349564,IEP,,P,,,20091120,EcoliWiki
9,P08622,dnaJ,GO:0003756,PMID:7559385,IDA,,F,,,20090318,EcoliWiki
10,P08622,dnaJ,GO:0008270,PMID:12941935,IMP,,F,,,20090318,EcoliWiki
11,P08622,dnaJ,GO:0006457,PMID:7559385,IDA,,P,,,20090318,EcoliWiki
12,P08622,dnaJ,GO:0042026,PMID:7559385,IDA,,P,,,20090318,EcoliWiki
13,P08622,dnaJ,GO:0051082,PMID:7559385,IDA,,F,,,20090318,EcoliWiki
14,P08622,dnaJ,GO:0016020,PMID:6220698,IDA,,C,,,20090427,EcoliWiki
15,P08622,dnaJ,GO:0005737,PMID:6220698,IDA,,C,,,20090427,EcoliWiki
16,P08622,dnaJ,GO:0008270,PMID:11985624,IDA,,F,,,20091030,EcoliWiki
17,P08622,dnaJ,GO:0016020,PMID:3889001,IDA,,C,,,20091113,EcoliWiki
18,P08622,dnaJ,GO:0008270,PMID:8662861,IDA,,F,,,20091113,EcoliWiki
19,P08622,dnaJ,GO:0006260,PMID:2144273,IMP,,P,,,20091113,EcoliWiki
20,P08622,dnaJ,GO:0009408,PMID:8349564,IEP,,P,,,20091120,EcoliWiki
21,P0A7U7,rpsT,GO:0022627,PMID:4587209,IDA,,C,,,20080917,EcoliWiki
22,P22564,rihC,GO:0006974,PMID:11967071,IEP,,P,,,20100722,EcoliWiki
23,P04036,dapB,GO:0008652,PMID:4151489,IDA,,P,,,20100503,EcoliWiki
24,P04036,dapB,GO:0019877,PMID:4151489,IDA,,P,,,20100503,EcoliWiki
25,P0A6F1,carA,GO:0005737,PMID:2682645,IDA,,C,,,20090220,EcoliWiki
26,P0A6F1,carA,GO:0004088,PMID:1827118,IMP,,F,,,20090223,EcoliWiki
27,P0A6F1,carA,GO:0006541,PMID:1827118,IMP,,P,,,20090223,EcoliWiki
28,P0A6F1,carA,GO:0006526,PMID:5319709,IMP,,P,,,20110815,EcoliWiki
