"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"16544_gntU",1236.86075754535,4.88884427499395,0.351537240787772,13.9070451370625,5.74023228774242e-44,4.48814411997861e-42,"gntU","K06156","b4476"
"16545_gntK_1",1238.81463550342,4.5765185708298,0.419153844689754,10.9184697428153,9.40672962603611e-28,1.86790774002717e-26,"gntK","K00851","b4268"
"14939_mntP",166.138477438934,4.36916636148792,0.386209784188679,11.3129354572576,1.1323653758999e-29,2.69826492428719e-28,"yebN",NA,"b1821"
"15301_fruB",253.595982968436,4.20651466261913,0.328882651305683,12.7903209424973,1.85705412970948e-37,8.44790805915114e-36,"fruB","K11183","b2169"
"18538_cspG_2",1272.57006515867,4.11395372077524,0.410226597492723,10.0284909509024,1.14249315203841e-23,1.504483087579e-22,"cspG",NA,"b0990"
"18323_bioC",201.344384433801,3.90863352438008,0.58685654171821,6.6602879009175,2.73291701181107e-11,1.14152894216215e-10,"bioC","K02169","b0777"
"16674_cspA",11400.5802933029,3.74748745153717,0.306008202975412,12.2463627285125,1.75700842943281e-34,5.78425669794855e-33,"cspA","K03704","b3556"
"16389_dusC_2",13492.8525989905,3.62180582556094,0.242411808764031,14.9407153225217,1.79042921414546e-50,2.63509052575997e-48,"yhdG","K05540","b3260"
"15679_suhB",3561.98905565823,3.54155096055442,0.2033987343975,17.4118633090076,6.70651587110471e-68,8.389851354752e-65,"suhB","K01092","b2533"
"15786_proW",523.842125034643,3.35410286878886,0.593713785768607,5.64935992592242,1.61046349207867e-08,5.09403243638537e-08,"proW","K02001","b2678"
"15370_YfaZ_precursor",260.380559366768,3.32046502367214,0.322495777893063,10.2961503724653,7.33376764642511e-25,1.11884674703388e-23,"yfaZ",NA,"b2250"
"18385_rimO",2112.25330205674,3.31065116507829,0.239031565867954,13.8502676542192,1.26738958794011e-43,9.06002499721757e-42,"yliG",NA,"b0835"
"18345_rhlE",894.325302838254,3.30454799544763,0.258511629639866,12.7829761471513,2.0410703225129e-37,9.11921061951301e-36,"rhlE","K11927","b0797"
"17268_epmA",621.831305292762,3.28608967773457,0.237196334797483,13.853880501738,1.20521231333315e-43,8.86894472929279e-42,"yjeA","K04568","b4155"
"18321_bioB",708.283650873183,3.26745779717711,0.803767968152703,4.06517543201765,4.79963456061201e-05,0.000102288634332634,"bioB","K01012","b0775"
"16299_deaD",7271.02606959969,3.20491266152818,0.214217773464084,14.9610025802342,1.32022000821316e-50,2.06449403784334e-48,"deaD","K05592","b3162"
"18324_bioD1_1",173.927926829708,3.10269511995053,0.567952882655236,5.46294457639711,4.68300844364199e-08,1.42022874254452e-07,"bioD","K01935","b1593"
"16895_ppiC",428.709416516129,3.08595365770933,0.623879151644591,4.94639650896257,7.55998905828937e-07,1.99106238145684e-06,"ppiC","K03769","b3775"
"15787_proX",1511.76141405323,3.06745654182915,0.575970435806693,5.32571873681837,1.00554626691115e-07,2.94944520493752e-07,"proX","K02002","b2679"
"16320_yhbE",1160.69800457113,3.0190558223368,0.197882845599835,15.2567839480237,1.48383522963271e-52,2.85581211118541e-50,"yhbE",NA,"b3184"
"15299_fruA_1",1214.7086718142,2.9942697419296,0.279339297744653,10.7191138737189,8.27927155617746e-27,1.49026888011194e-25,"fruA","K02770","b2167"
"15136_plaP",4237.80889124216,2.98986376530227,0.276190986189254,10.8253488158862,2.61083135597675e-27,4.91150379898784e-26,"yeeF",NA,"b2014"
"16219_rlmG",438.360681486839,2.98964214187471,0.256755582652017,11.6439226403369,2.46415894368808e-31,6.62938244850277e-30,"ygjO","K11391","b3084"
"15899_sdaC",1323.99989546032,2.93739465243348,0.338722704183825,8.67197449758004,4.24690791463432e-18,3.21020048411332e-17,"sdaC","K03837","b2796"
"15273_hypothetical_protein",379.424706324771,2.89775885509082,0.38442964864909,7.53781313505274,4.77918015298971e-14,2.5387492022888e-13,"yohJ","K06518","b2141"
