,,COG,OCML,conditions,pan
id0,0.0,,,"C:50, S: 1",1
id0,1.0,3294.0,3103.0,"C:50, S: 1",2880
id0,2.0,701.0,676.0,"C:50, S: 1",706
id0,3.0,417.0,446.0,"C:50, S: 1",397
id0,4.0,440.0,449.0,"C:50, S: 1",391
id0,5.0,3329.0,3333.0,"C:50, S: 1",3189
id0,6.0,,,"C:50, S: 1",65
id0,7.0,,,"C:50, S: 1",11
id0,8.0,,,"C:50, S: 1",6
id0,9.0,,,"C:50, S: 1",11
id0,10.0,,,"C:50, S: 1",19
id0,11.0,,,"C:50, S: 1",3
id0,12.0,,,"C:50, S: 1",2
id0,13.0,,,"C:50, S: 1",2
id0,14.0,,,"C:50, S: 1",2
id0,15.0,,,"C:50, S: 1",5
id0,17.0,,,"C:50, S: 1",1
id0,24.0,,,"C:50, S: 1",1
id1,0.0,,,"C:50, S: 70",1
id1,1.0,3294.0,3371.0,"C:50, S: 70",2915
id1,2.0,701.0,744.0,"C:50, S: 70",642
id1,3.0,417.0,462.0,"C:50, S: 70",368
id1,4.0,440.0,451.0,"C:50, S: 70",361
id1,5.0,3329.0,3302.0,"C:50, S: 70",3156
id1,6.0,,,"C:50, S: 70",54
id1,7.0,,,"C:50, S: 70",7
id1,8.0,,,"C:50, S: 70",3
id1,9.0,,,"C:50, S: 70",6
id1,10.0,,,"C:50, S: 70",10
id1,11.0,,,"C:50, S: 70",1
id1,12.0,,,"C:50, S: 70",2
id1,13.0,,,"C:50, S: 70",1
id1,14.0,,,"C:50, S: 70",2
id1,15.0,,,"C:50, S: 70",1
id1,17.0,,,"C:50, S: 70",1
