"","K-statistic","P-value"
"14808_ydiI_1","0.434440526851396","0.045"
"14828_aroG_1","0.609950540777766","0.009"
"14849_hypothetical_protein","0.613469274463852","0.005"
"14875_ydjZ_2","0.453770347659296","0.042"
"14897_mipA_1","0.443589869162524","0.032"
"14958_pcoC","0.491105978762016","0.029"
"14963_ptrB_2","0.454654166735709","0.037"
"15010_argS","0.527343129246678","0.015"
"15034_hypothetical_protein","0.527166887074048","0.018"
"15046_yecS","0.465016593891038","0.047"
"15151_gnd","0.620160208661328","0.006"
"15176_wzc","1.0293982677909","0.01"
"15177_wzb","0.576818753735859","0.033"
"15257_yehT","0.553229239107033","0.015"
"15318_rplY","0.72390636891387","0.007"
"15340_eco","0.451121404424305","0.037"
"15345_apbE","1.33928090630533","0.001"
"15355_gyrA","0.603568561521841","0.016"
"15359_nrdB","0.559740867231352","0.015"
"15373_arnB","0.642726915200798","0.008"
"15383_menB","0.453259270977767","0.049"
"15388_putative_acyltransferase","0.520316302043823","0.027"
"15395_nuoK","0.581458034694573","0.013"
"15412_ackA","0.786725717584338","0.003"
"15413_pta","0.481223286092706","0.021"
"15422_hisP","0.610488088117847","0.025"
"15430_cell_division_protein_DedD","0.626584409652597","0.012"
"15433_yqjA_1","0.502427147564316","0.007"
"15446_mepA","0.428342939867295","0.042"
"15460_hypothetical_protein","0.478189348664422","0.033"
"15523_evgA","1.28906778630028","0.001"
"15595_eutD","0.432263929918809","0.045"
"15665_pbpF","0.55303993844992","0.009"
"15669_pepB","1.02034056835838","0.002"
"15670_hypothetical_protein","2.07666945906795","0.001"
"15673_hscB","0.59562302422087","0.011"
"15674_iscA_2","0.49769421821981","0.026"
"15676_iscS","0.495193852799009","0.042"
"15697_glyA","0.496413052825117","0.027"
"15706_pgpC","0.424738721760193","0.042"
"15731_pssA","0.471946196058508","0.027"
"15736_rluD","0.452659821749862","0.041"
"15742_lipoprotein","0.573821334040555","0.017"
"15759_smpB","0.462373549922119","0.041"
"15786_proW","0.623919982698583","0.012"
"15787_proX","0.632490033907752","0.012"
"15795_gshA","0.51606576169317","0.02"
"15801_recombinase_A","0.624454290348146","0.006"
"15882_pyrG","0.521131113032067","0.014"
"15883_mazG","0.570762537703677","0.016"
"15916_mltA","0.669510702098506","0.012"
"16023_dsbC","0.606224605093167","0.007"
