"","K-statistic","P-value"
"14808_ydiI_1","0.679018358011777","0.003"
"14819_caiA_1","0.614475590625057","0.008"
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase","0.505547636085762","0.027"
"14831_ydiV","0.901015769803363","0.005"
"14832_mepS_1","0.59272419482027","0.009"
"14841_infC","0.545568072646455","0.028"
"14856_hypothetical_protein","2.24389775225366","0.002"
"14857_chbF","0.48845833047503","0.043"
"14858_chbR","0.555787424835021","0.02"
"14863_nadE","0.452293575105384","0.042"
"14886_topB","0.981490989343","0.004"
"14900_yeaI","0.699884088687633","0.004"
"14904_ripA_1","0.484525899986","0.024"
"14907_hypothetical_protein","0.411260107396047","0.042"
"14925_yabJ","0.433071345966751","0.037"
"14927_hypothetical_protein","1.18999799944456","0.001"
"14929_putative_NUDIX_hydrolase","0.421142683156231","0.043"
"14930_sdaA","0.633259939162431","0.006"
"14936_manY","0.440087247248453","0.046"
"14944_kdgR_1","1.47188642371957","0.001"
"14972_zwf","0.800794533210103","0.002"
"14975_pykA","0.479719085308916","0.038"
"14981_ruvB","0.915747926857709","0.001"
"14983_hypothetical_protein","1.24581451799618","0.001"
"14985_yebC","0.462747332193708","0.039"
"15030_rbsC_1","1.09290543574387","0.002"
"15031_araG","0.794744699932362","0.004"
"15032_araF","0.735546909042536","0.017"
"15145_hisH","0.489812967655132","0.036"
"15176_wzc","1.33030128477886","0.003"
"15186_hypothetical_protein","0.404875314524055","0.041"
"15223_gatD","2.06509512747491","0.001"
"15225_gatB_1","0.412940529538901","0.049"
"15226_PTS_system_galactitol-specific_transporter_subunit_IIA","0.648247778214952","0.004"
"15228_gatY","0.617196292293806","0.008"
"15237_rcnR","0.503057097937626","0.033"
"15245_hypothetical_protein","0.879549955772691","0.001"
"15257_yehT","0.594062176927856","0.013"
"15267_pbpG_1","0.572338771699215","0.01"
"15278_preT","1.34075145232607","0.001"
"15279_preA","0.954839418952874","0.001"
"15290_hypothetical_protein","0.650074540114755","0.006"
"15291_nfo","2.09582363068994","0.003"
"15293_nupX","0.452073958268647","0.045"
"15302_setB","0.748188982237251","0.003"
"15303_Flagellin_N-methylase","0.498308260777862","0.038"
"15308_mepS_2","0.581000209743636","0.024"
"15324_ccmH_1","0.446270628709434","0.049"
"15325_dsbE","0.513119632685351","0.04"
"15338_ferredoxin-type_protein","0.550589916201628","0.018"
"15348_rcsB","0.467941299858723","0.042"
"15353_hypothetical_protein","0.901110785587734","0.004"
"15356_ubiG","0.611319365012556","0.006"
"15362_glpQ","0.579865755124014","0.024"
"15365_glpB","1.73448161164749","0.001"
"15366_glpC","1.88466733121157","0.001"
"15367_hypothetical_protein","0.517566794054051","0.02"
"15370_YfaZ_precursor","0.573200425807535","0.022"
"15373_arnB","0.465161248407493","0.031"
"15388_putative_acyltransferase","0.578134683585363","0.029"
"15405_gltC_1","0.679639986177737","0.043"
"15422_hisP","0.779099824186023","0.002"
"15430_cell_division_protein_DedD","0.676089240974736","0.008"
"15431_folC","0.610119477992882","0.017"
"15452_prsF","0.692839167864249","0.012"
"15453_hypothetical_protein","1.07875923888996","0.002"
"15456_mrpA_2","0.450431921792572","0.046"
"15515_kdgK_2","0.501459712166597","0.039"
"15520_dsdA_2","0.672621123970652","0.02"
"15523_evgA","0.773069480212294","0.006"
"15531_hypothetical_protein","0.468270379316337","0.026"
"15532_htrB_1","0.484690423945082","0.033"
"15549_Helix-turn-helix_domain_protein","0.436324550402545","0.038"
"15562_ptsH","0.537045386655084","0.036"
"15572_fabG_2","1.04423190886935","0.001"
"15574_murQ","0.526536872880508","0.02"
"15579_yfeZ","0.617410536805748","0.014"
"15580_ypeA","0.711410833820018","0.01"
"15581_amiA","0.488945322458938","0.035"
"15589_Ethanolamine_utilization_protein-_EutH","0.721325930002736","0.002"
"15590_mdh_1","0.479090154241332","0.03"
"15592_adhE_1","0.546197642706354","0.023"
"15611_putative_hydrolase","0.49860426598941","0.023"
"15620_gcvR","0.482381132656292","0.033"
"15640_arsC_1","0.677563626794749","0.003"
"15647_ppx","0.491107160291121","0.045"
"15653_guaA","0.681670151998834","0.009"
"15655_xseA","0.531662856891317","0.018"
"15661_ispG","0.694272734964186","0.003"
"15662_rodZ","0.501837211640489","0.024"
"15665_pbpF","0.441770928885385","0.037"
"15671_fdx","0.503235191824705","0.027"
"15672_hscA","0.46021891350359","0.029"
"15699_glnB","0.521563163594583","0.015"
"15707_murR_2","0.565283853745712","0.017"
"15710_pdxJ","0.527772938981029","0.03"
"15726_ung","0.5661873004363","0.019"
"15728_trxC","0.47585590620964","0.022"
"15735_yfiH","1.16808585822254","0.001"
"15738_raiA","0.569093719344439","0.014"
"15757_pasI","0.802587782884333","0.001"
"15759_smpB","1.65526931272632","0.001"
"15772_csiR","0.516197938122459","0.03"
"15778_alaE","0.964588951345941","0.002"
"15781_nrdH","0.629473781544602","0.007"
"15782_Putative_NrdI-like_protein","0.874216939207368","0.001"
"15803_mltB","0.511349320878301","0.014"
"15804_srlA","0.934874970391496","0.007"
"15805_srlE","1.20387191462471","0.004"
"15806_PTS_system_glucitol-sorbitol-specific_transporter_subunit_IIA","0.869809759613232","0.002"
"15808_DNA-binding_transcriptional_activator_GutM","0.695186670704702","0.004"
"15809_srlR_2","0.988671159921075","0.002"
"15810_gutQ","1.392546694143","0.001"
"15818_bglH_1","0.705880606024058","0.004"
"15834_hypothetical_protein","0.591369957697664","0.023"
"15858_cysN","0.573372437220903","0.013"
"15863_small_toxic_polypeptide","0.52137786731302","0.035"
"15866_cysJ_1","0.823357097599215","0.001"
"15902_fucO","0.767126160542136","0.003"
"15904_fucP","0.49130473272012","0.032"
"15905_fucI","0.843870770656827","0.005"
"15906_fucK","1.0131396085526","0.002"
"15908_glpR_1","1.71053545287986","0.001"
"15909_rlmM","0.528210155681202","0.021"
"15922_ptrA","0.891428949577856","0.004"
"15923_recC","0.666167454571929","0.009"
"15924_hypothetical_protein","0.496342877340964","0.028"
"15928_thyA","0.495833877038891","0.024"
"15930_ptsI_3","0.571797636171134","0.01"
"15933_mutH","0.483860135806677","0.033"
"15936_yhdN","0.574646759774196","0.008"
"15939_galR","0.762187193653748","0.005"
"15944_kduD_2","0.631939087559155","0.017"
"15945_kduI","0.644082673428623","0.02"
"15998_ndhS","0.417226101732648","0.039"
"15999_Limonene_hydroxylase","0.723500262779777","0.004"
"16007_mocA","1.45872645475011","0.002"
"16010_cdhB","0.454450528560222","0.046"
"16012_xanQ","0.675852810695614","0.003"
"16013_guaD","0.507077092793354","0.011"
"16025_isiB","0.556089103893111","0.025"
"16030_hypothetical_protein","0.453117244845978","0.036"
"16031_bglA_1","0.85791926957638","0.004"
"16041_5-formyltetrahydrofolate_cyclo-ligase_family_protein","0.510488609415149","0.022"
"16056_epd","0.451895667920885","0.034"
"16065_adhT","0.639516515496519","0.009"
"16066_mtlA_1","0.630654843373856","0.011"
"16067_cmtB","0.932796199511182","0.005"
"16097_hypothetical_protein","0.59697669544948","0.015"
"16162_DNA_gyrase_inhibitor","0.486732887919276","0.015"
"16174_tolC","2.23755434621041","0.002"
"16181_Membrane_fusogenic_activity","0.870407071209233","0.001"
"16187_yqiJ","0.789230155992472","0.003"
"16189_hldE","1.30709633226684","0.001"
"16191_CYTH_domain_protein","1.42551900360148","0.001"
"16197_dmlR_2","0.471132869849075","0.03"
