"","K-statistic","P-value"
"15176_wzc","1.11429035213695","0.003"
"15305_por_1","0.967593041631428","0.002"
"15341_mqo","0.688375808481184","0.005"
"15345_apbE","1.32690661151197","0.001"
"15373_arnB","1.53257565864707","0.001"
"15395_nuoK","0.695555879405453","0.007"
"15412_ackA","0.687288334433435","0.006"
"15430_cell_division_protein_DedD","0.678430750391522","0.008"
"15515_kdgK_2","0.709965537001506","0.005"
"15523_evgA","0.735941143207797","0.001"
"15601_tal_1","0.705932650629648","0.003"
"15665_pbpF","0.719022537251224","0.008"
"15670_hypothetical_protein","1.69821089243398","0.001"
"15837_pphB","0.648719091737533","0.008"
"15883_mazG","0.551325176695758","0.009"
"16039_hypothetical_protein","0.826177247621237","0.005"
"16063_mtlR_1","0.865701592991643","0.004"
"16157_hypothetical_protein","0.788713664756119","0.006"
"16180_ribB","0.747728352461657","0.003"
"16210_ygjH","0.691175534571482","0.004"
"16252_tdcE","0.809110360978841","0.003"
"16304_rbfA","1.26373385071083","0.001"
"16530_glpG","0.973052608866231","0.001"
"16588_nikR","0.841738543069619","0.001"
"16738_hldD","0.979641974927639","0.001"
"16743_gspA_1","0.613284713496548","0.008"
"16798_yidG","1.24327888410831","0.001"
"16875_potassium_transport_protein_Kup","0.743407500304576","0.002"
"16937_hypothetical_protein","0.666092478797661","0.007"
"16968_hypothetical_protein","0.768653394686647","0.004"
"16978_hypothetical_protein","0.896657906195381","0.002"
"17026_cpxA","0.919350130307926","0.002"
"17027_walR","0.604101010350243","0.006"
"17065_gldA_1","0.794323567211209","0.005"
"17066_fsaB","1.14449575344346","0.003"
"17083_sthA","0.855223468283929","0.003"
"17085_yijD","0.644582908829867","0.005"
"17108_rsd","0.698199354745896","0.007"
"17140_hypothetical_protein","0.71785656867629","0.005"
"17158_lexA_1","1.28441618208827","0.001"
"17164_pspG","0.850352345258671","0.004"
"17256_hypothetical_protein","0.638770776796616","0.008"
"17295_hypothetical_protein","0.710245583106151","0.005"
"17448_uxuA","1.88633149650974","0.001"
"17584_fkpB","0.628268701194092","0.006"
"17609_rsmA","0.819292136972349","0.002"
"17669_aceE","0.856146836102541","0.001"
"17670_aceF","0.604980452116576","0.008"
"17682_drrA","1.26764305292739","0.001"
"17683_yadH","0.903950475822693","0.001"
"17711_erpA","1.12118439329243","0.003"
"17724_pyrH","0.820790157005146","0.004"
"18003_ispA","0.638060225204536","0.005"
"18037_amtB","0.662383261149747","0.008"
"18052_priC","0.957893416762185","0.001"
"18250_kdpA","0.794700547902182","0.004"
"18357_glnQ_3","0.560058589057986","0.005"
"18390_deoR_2","1.06826626054439","0.002"
"18437_trxB","0.709941888894385","0.008"
"18565_efeU","0.732184596716654","0.005"
"18567_efeB","0.754337061485483","0.003"
"18662_lolD_2","0.675405443015858","0.005"
"18743_chaB","0.846503534915588","0.002"
"18817_oppF_3","1.09577462043452","0.001"
"18963_flr","0.744289576412957","0.005"
"19144_tyrS","0.979830252079167","0.004"
