"","K-statistic","P-value"
"14849_hypothetical_protein","0.613469274463852","0.004"
"15151_gnd","0.620160208661328","0.009"
"15176_wzc","1.0293982677909","0.006"
"15345_apbE","1.33928090630533","0.002"
"15373_arnB","0.642726915200798","0.007"
"15412_ackA","0.786725717584338","0.003"
"15523_evgA","1.28906778630028","0.001"
"15669_pepB","1.02034056835838","0.005"
"15670_hypothetical_protein","2.07666945906795","0.001"
"15673_hscB","0.59562302422087","0.009"
"15916_mltA","0.669510702098506","0.006"
"16023_dsbC","0.606224605093167","0.005"
"16028_ygfZ","0.900493261722137","0.003"
"16039_hypothetical_protein","0.991008217152791","0.002"
"16063_mtlR_1","0.683772898514993","0.008"
"16157_hypothetical_protein","0.760787299558972","0.006"
"16180_ribB","0.575364570212603","0.008"
"16252_tdcE","0.702823984936332","0.006"
"16304_rbfA","1.39325402578074","0.001"
"16530_glpG","1.1159576802607","0.002"
"16659_eptB","0.949341701809997","0.003"
"16738_hldD","1.30245477381627","0.002"
"16743_gspA_1","0.729871382089117","0.002"
"16798_yidG","0.979181709579071","0.001"
"16873_ravA","0.948926511118186","0.001"
"16911_rffA","0.643147496469963","0.007"
"17026_cpxA","1.10142346325198","0.001"
"17027_walR","0.647156617975713","0.002"
"17033_cdh","0.626493685584889","0.009"
"17039_fpr","0.59987531217761","0.007"
"17083_sthA","0.914439009192779","0.003"
"17140_hypothetical_protein","1.28832035720223","0.006"
"17158_lexA_1","0.774030767904952","0.002"
"17164_pspG","0.615717705681117","0.006"
"17275_orn","0.957172747952053","0.002"
"17545_hypothetical_protein","0.564431584358165","0.006"
"17552_rob_1","0.62330846220303","0.003"
"17584_fkpB","0.930081665167488","0.002"
"17609_rsmA","0.9113351387277","0.003"
"17669_aceE","1.0497812142671","0.003"
"17670_aceF","0.885352057606873","0.003"
"17671_lpdA","0.711859105173286","0.003"
"17682_drrA","1.34536537509137","0.001"
"17683_yadH","0.727965125476436","0.008"
"17711_erpA","0.924797346811534","0.004"
"17724_pyrH","1.1817560738194","0.001"
"17989_preprotein_translocase_subunit_YajC","0.683195809786854","0.007"
"18003_ispA","0.894567104313658","0.001"
"18018_cyoA","0.707588352768813","0.006"
"18019_muropeptide_transporter","0.76051346368768","0.005"
"18028_comEA","0.593700267083465","0.009"
"18052_priC","0.725779911709547","0.001"
"18326_Putative_gluconeogenesis_factor","0.544450088181631","0.008"
"18358_glnP","0.548545916255631","0.009"
"18390_deoR_2","0.791500688467041","0.003"
"18394_ybjI","0.5964751703349","0.007"
"18437_trxB","0.769378744788199","0.003"
"18605_solA","0.62318675689389","0.007"
"18662_lolD_2","0.858278945340202","0.004"
"18700_pliG","1.0845086480487","0.006"
"18737_hypothetical_protein","0.716845419809073","0.006"
"18785_trpA","0.811498694486887","0.004"
"18817_oppF_3","0.922228769544963","0.001"
"19119_manA","0.854078577340958","0.002"
"19144_tyrS","1.01904191111872","0.003"
"19154_ydhF","1.16657332337035","0.002"
