"","K-statistic","P-value"
"14857_chbF","0.561749999935338","0.009"
"15176_wzc","1.11429035213695","0.001"
"15305_por_1","0.967593041631428","0.002"
"15318_rplY","0.54876695715895","0.009"
"15341_mqo","0.688375808481184","0.002"
"15345_apbE","1.32690661151197","0.003"
"15373_arnB","1.53257565864707","0.001"
"15395_nuoK","0.695555879405453","0.005"
"15412_ackA","0.687288334433435","0.004"
"15430_cell_division_protein_DedD","0.678430750391522","0.006"
"15523_evgA","0.735941143207797","0.004"
"15665_pbpF","0.719022537251224","0.005"
"15670_hypothetical_protein","1.69821089243398","0.001"
"15673_hscB","0.580218599750883","0.008"
"15837_pphB","0.648719091737533","0.003"
"16039_hypothetical_protein","0.826177247621237","0.003"
"16063_mtlR_1","0.865701592991643","0.002"
"16157_hypothetical_protein","0.788713664756119","0.003"
"16180_ribB","0.747728352461657","0.007"
"16212_ebgA","0.734000377187295","0.003"
"16252_tdcE","0.809110360978841","0.004"
"16304_rbfA","1.26373385071083","0.001"
"16530_glpG","0.973052608866231","0.002"
"16588_nikR","0.841738543069619","0.006"
"16637_Peptidase_M16_inactive_domain_protein","0.511469572572167","0.008"
"16659_eptB","0.601308822552954","0.007"
"16738_hldD","0.979641974927639","0.002"
"16743_gspA_1","0.613284713496548","0.005"
"16798_yidG","1.24327888410831","0.002"
"16875_potassium_transport_protein_Kup","0.743407500304576","0.007"
"16937_hypothetical_protein","0.666092478797661","0.006"
"16968_hypothetical_protein","0.768653394686647","0.003"
"16978_hypothetical_protein","0.896657906195381","0.001"
"17026_cpxA","0.919350130307926","0.003"
"17027_walR","0.604101010350243","0.009"
"17033_cdh","0.622120796783736","0.008"
"17065_gldA_1","0.794323567211209","0.007"
"17066_fsaB","1.14449575344346","0.004"
"17083_sthA","0.855223468283929","0.001"
"17085_yijD","0.644582908829867","0.009"
"17108_rsd","0.698199354745896","0.004"
"17140_hypothetical_protein","0.71785656867629","0.008"
"17158_lexA_1","1.28441618208827","0.001"
"17164_pspG","0.850352345258671","0.002"
"17256_hypothetical_protein","0.638770776796616","0.005"
"17278_tsaE","0.611842901457732","0.009"
"17295_hypothetical_protein","0.710245583106151","0.004"
"17448_uxuA","1.88633149650974","0.001"
"17545_hypothetical_protein","0.56549785935104","0.006"
"17609_rsmA","0.819292136972349","0.005"
"17668_pdhR_3","0.581869362927581","0.009"
"17669_aceE","0.856146836102541","0.001"
"17682_drrA","1.26764305292739","0.001"
"17683_yadH","0.903950475822693","0.001"
"17711_erpA","1.12118439329243","0.002"
"17724_pyrH","0.820790157005146","0.003"
"18003_ispA","0.638060225204536","0.006"
"18052_priC","0.957893416762185","0.001"
"18250_kdpA","0.794700547902182","0.002"
"18390_deoR_2","1.06826626054439","0.001"
"18394_ybjI","0.587465251346568","0.005"
"18437_trxB","0.709941888894385","0.004"
"18565_efeU","0.732184596716654","0.004"
"18567_efeB","0.754337061485483","0.003"
"18662_lolD_2","0.675405443015858","0.007"
"18743_chaB","0.846503534915588","0.002"
"18817_oppF_3","1.09577462043452","0.001"
"18879_ldhA","0.579194148515782","0.009"
"18963_flr","0.744289576412957","0.004"
"19144_tyrS","0.979830252079167","0.002"
