"","lambda","P-value"
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase","0.753207181619365","0.003"
"14856_hypothetical_protein","0.999933893038648","0.003"
"14879_fbpC2","0.744341677086433","0.003"
"14886_topB","0.774403387403431","0.002"
"14900_yeaI","0.873196644186016","0.007"
"14905_yeaN","0.973062120629869","0.007"
"14906_hypothetical_protein","0.909505580581574","0.007"
"14927_hypothetical_protein","0.979251785140377","0.002"
"14944_kdgR_1","0.999933893038648","0.001"
"14972_zwf","0.948270650741464","0.001"
"14981_ruvB","0.955062280143715","0.003"
"14983_hypothetical_protein","0.963148880233297","0.001"
"14985_yebC","0.999933893038648","0.008"
"15031_araG","0.941745157444731","0.007"
"15142_hisD","0.999933893038648","0.009"
"15176_wzc","0.999933893038648","0.002"
"15177_wzb","0.896020063585711","0.005"
"15223_gatD","0.999933893038648","0.001"
"15228_gatY","0.999933893038648","0.003"
"15245_hypothetical_protein","0.999933893038648","0.001"
"15278_preT","0.999933893038648","0.002"
"15291_nfo","0.88389713643147","0.002"
"15293_nupX","0.999933893038648","0.005"
"15294_rihB","0.984249717664371","0.001"
"15297_psuG","0.999933893038648","0.001"
"15298_psuK_2","0.999933893038648","0.002"
"15302_setB","0.79015207679218","0.002"
"15353_hypothetical_protein","0.999933893038648","0.001"
"15365_glpB","0.999933893038648","0.001"
"15366_glpC","0.894928225461278","0.003"
"15370_YfaZ_precursor","0.999933893038648","0.001"
"15388_putative_acyltransferase","0.813617780141994","0.005"
"15422_hisP","0.999933893038648","0.007"
"15430_cell_division_protein_DedD","0.999933893038648","0.002"
"15431_folC","0.999933893038648","0.002"
"15452_prsF","0.859839613858429","0.003"
"15453_hypothetical_protein","0.934462565266754","0.001"
"15520_dsdA_2","0.999933893038648","0.008"
"15532_htrB_1","0.743216574780498","0.003"
"15572_fabG_2","0.999933893038648","0.001"
"15574_murQ","0.999933893038648","0.008"
"15580_ypeA","0.766993251636996","0.004"
"15653_guaA","0.906752397697779","0.004"
"15661_ispG","0.934511709661134","0.002"
"15665_pbpF","0.930848969182331","0.008"
"15726_ung","0.781670663305451","0.008"
"15735_yfiH","0.999933893038648","0.001"
"15759_smpB","0.939580046556043","0.001"
"15804_srlA","0.999933893038648","0.004"
"15805_srlE","0.999933893038648","0.002"
"15806_PTS_system_glucitol-sorbitol-specific_transporter_subunit_IIA","0.999933893038648","0.003"
"15808_DNA-binding_transcriptional_activator_GutM","0.999933893038648","0.001"
"15809_srlR_2","0.999933893038648","0.004"
"15810_gutQ","0.90236634612923","0.002"
"15863_small_toxic_polypeptide","0.999933893038648","0.003"
"15866_cysJ_1","0.92527180247446","0.001"
"15904_fucP","0.983956731259839","0.008"
"15905_fucI","0.914621743767324","0.001"
"15906_fucK","0.855943321623864","0.004"
"15908_glpR_1","0.991151143536755","0.001"
"15922_ptrA","0.970514317377082","0.001"
"15923_recC","0.784745421689258","0.004"
"15928_thyA","0.672448387607316","0.008"
"15936_yhdN","0.919127222500073","0.008"
"16007_mocA","0.995856613319384","0.001"
"16013_guaD","0.840211855722199","0.007"
"16031_bglA_1","0.78489821138351","0.002"
"16066_mtlA_1","0.999933893038648","0.004"
"16067_cmtB","0.999933893038648","0.001"
"16097_hypothetical_protein","0.870995766390046","0.002"
"16174_tolC","0.999933893038648","0.002"
"16181_Membrane_fusogenic_activity","0.941560552579994","0.001"
"16187_yqiJ","0.999933893038648","0.008"
"16189_hldE","0.806070806973744","0.001"
"16191_CYTH_domain_protein","0.999933893038648","0.001"
"16251_tdcF","0.836338150852819","0.008"
"16252_tdcE","0.951580630986511","0.002"
"16254_tdcC","0.999933893038648","0.007"
"16263_garD","0.993859140031311","0.001"
"16286_diaA","0.944570396783391","0.003"
"16294_SCP-2_sterol_transfer_family_protein","0.89220889197638","0.003"
"16303_truB","0.547079459072739","0.003"
"16305_infB","0.562741085743474","0.002"
"16316_greA","0.859211116282091","0.008"
"16328_mlaC","0.999933893038648","0.005"
"16336_lptA","0.809302696699795","0.003"
"16337_lptB_1","0.704070957555432","0.002"
"16357_lutR_1","0.968281856129972","0.002"
"16359_sspB","0.939324620905083","0.005"
