"","lambda","P-value"
"15176_wzc","0.872220910831421","0.001"
"15305_por_1","0.606951183363736","0.001"
"15341_mqo","0.908198520674636","0.006"
"15345_apbE","0.999933893038648","0.001"
"15373_arnB","0.924913170379926","0.001"
"15395_nuoK","0.999933893038648","0.008"
"15412_ackA","0.971769253478978","0.006"
"15430_cell_division_protein_DedD","0.913343804991533","0.007"
"15515_kdgK_2","0.939018357346195","0.005"
"15523_evgA","0.999933893038648","0.003"
"15601_tal_1","0.999933893038648","0.008"
"15665_pbpF","0.999933893038648","0.005"
"15670_hypothetical_protein","0.964562883986712","0.001"
"15673_hscB","0.999933893038648","0.008"
"15837_pphB","0.952012074169082","0.004"
"16023_dsbC","0.999933893038648","0.008"
"16039_hypothetical_protein","0.986257034551389","0.001"
"16063_mtlR_1","0.999933893038648","0.003"
"16157_hypothetical_protein","0.752796173528102","0.002"
"16180_ribB","0.999933893038648","0.008"
"16210_ygjH","0.999933893038648","0.005"
"16212_ebgA","0.991206181467441","0.007"
"16252_tdcE","0.999933893038648","0.004"
"16304_rbfA","0.992820635925154","0.001"
"16530_glpG","0.936912503134566","0.004"
"16588_nikR","0.903479777915528","0.002"
"16659_eptB","0.822843307498261","0.009"
"16738_hldD","0.999933893038648","0.003"
"16743_gspA_1","0.889556188210894","0.008"
"16798_yidG","0.977253658938212","0.001"
"16875_potassium_transport_protein_Kup","0.948329605188111","0.001"
"16937_hypothetical_protein","0.980307847665423","0.006"
"16968_hypothetical_protein","0.714123400221333","0.001"
"16978_hypothetical_protein","0.703896552869492","0.003"
"17026_cpxA","0.957465872212243","0.001"
"17027_walR","0.958065446341678","0.004"
"17065_gldA_1","0.578282998954247","0.006"
"17066_fsaB","0.739912253822009","0.002"
"17083_sthA","0.957836187450443","0.002"
"17085_yijD","0.990837019017929","0.005"
"17108_rsd","0.89431022878359","0.005"
"17140_hypothetical_protein","0.977822766082832","0.009"
"17158_lexA_1","0.999933893038648","0.001"
"17164_pspG","0.778462496892963","0.007"
"17256_hypothetical_protein","0.861028049436449","0.005"
"17275_orn","0.701338330107485","0.008"
"17295_hypothetical_protein","0.849881633434196","0.001"
"17448_uxuA","0.999933893038648","0.001"
"17584_fkpB","0.999933893038648","0.009"
"17609_rsmA","0.999933893038648","0.001"
"17669_aceE","0.933461864627583","0.002"
"17670_aceF","0.895430078067297","0.005"
"17682_drrA","0.988728706426635","0.001"
"17683_yadH","0.999933893038648","0.001"
"17702_ligT","0.774808668312118","0.009"
"17711_erpA","0.999933893038648","0.003"
"17724_pyrH","0.999933893038648","0.002"
"18003_ispA","0.999933893038648","0.003"
"18052_priC","0.999933893038648","0.001"
"18250_kdpA","0.905148918747263","0.001"
"18390_deoR_2","0.999933893038648","0.001"
"18437_trxB","0.942110867959359","0.006"
"18565_efeU","0.849427813652026","0.004"
"18567_efeB","0.962905718804321","0.005"
"18662_lolD_2","0.999933893038648","0.004"
"18743_chaB","0.824296622499502","0.003"
"18817_oppF_3","0.897769806095189","0.001"
"18879_ldhA","0.999933893038648","0.008"
"18963_flr","0.999933893038648","0.008"
"19144_tyrS","0.999933893038648","0.002"
