"","UR1","UTI1","UR3","UTI3","UR6","UTI6","UR7","UTI7","UR14","UTI14","UR17","UTI17","UR43","UTI43","UR54","UTI54","UR56","UTI56","UR57","UTI57","UR66","UTI66","UR68","UTI68","UR86","UTI86"
"14805_sufB_1",0.585289137783951,-0.327875768882702,-1.92080579965011,-1.87821529502161,0.571079663121157,0.953912574865595,1.14695823903557,1.36243212635152,1.19467450137232,-0.0877744375180701,1.06567464439035,-0.282737461195489,0.340588657605601,1.44278610196098,1.53371443872806,0.715305220189716,1.16060306772084,0.141227973204801,1.21538149240238,-0.00951771707974583,1.09439682640742,0.453373554164021,0.261943103404214,0.514196937707915,1.29928854491751,0.742748611451931
"14806_iscA_1",-0.223763096374357,-1.04816118909685,-2.79463443097074,-2.26388587228724,0.0415887536554628,0.154395170391804,0.482435788350433,0.53604643468028,0.537203435690567,-0.795265920748074,0.503932867289159,-0.60923888859913,-0.260906427221613,0.883625366128032,0.789779976331334,-0.0737026345840335,0.632319295773981,-0.315215652864623,0.758684072840514,-0.525665406492229,0.476815923993832,-0.01753327031675,-0.374767034531571,-0.0145273335016775,0.523366223402541,0.0295588738183826
"14807_hypothetical_protein",0.475693761637348,0.562843924720184,-2.5761058109601,-2.70674882282772,0.227873988871864,0.288999272269299,0.398518801813015,0.418120096214171,0.0726980970105267,-0.333166249740881,0.380146149232067,-0.355490417839531,0.260906427221613,0.348029877053067,0.154395170391804,-0.196109602491126,0.419213711682226,0.0105196172325792,0.615280785617414,-0.248487817989766,0.562843924720184,-0.831527924941135,0.861634120174172,0.159466488275284,0.582912748061848,0.164541910706185
"14808_ydiI_1",-0.264017301796484,-0.35655781673343,-2.66961064482022,-2.30470584083904,-0.311006916354638,-0.185906626482097,-0.745391349448187,-0.765380898095667,-0.464504730581609,-0.529119403602546,-0.199174432081963,-0.511911385301684,-0.0516181793123685,-0.303654813022629,0.0245477860024861,-0.349094473663316,0.189985435368796,-0.265054826545692,-0.106900261775172,-0.897027512004271,0.294226107913565,-0.419213711682226,0.149327820203282,-0.450045188289223,0.0235456464316025,-0.265054826545692
"14813_hypothetical_protein",-1.82272320613445,-1.77233521550386,-2.98912660256994,-2.29067160535031,-1.86665029128676,-1.58789470129483,-1.53047466209302,-1.45711755669697,-1.49279213496691,-2.04184341326152,-1.17247302941618,-2.01825080022236,-1.70427707093824,-2.13976082407984,-1.30162221007061,-1.74413764063219,-1.48974625589009,-2.41843267022251,-1.48974625589009,-0.928944854387909,-0.99088322195151,-1.32535945357346,-1.35486795081936,-2.07518249562542,-1.60582052612519,-2.70674882282772
"14816_ydiB_1",-1.0464274839483,-1.22169617852471,-2.84821777772749,-2.25107960998202,-0.50165919246799,-1.13543036268585,-0.495986300091678,-2.91148756061042,-0.344838447035891,-0.748039303591388,-0.429079036819003,-2.14975322091112,-0.660718331275542,-0.854395855663118,-0.328933126416804,-0.927403591975154,-0.0506150197149764,-0.809086787077897,-0.470091889450453,-1.42320664800711,-0.526816040165083,-1.37521516480702,-0.244356877358282,-0.754682268256712,-0.29318010210394,-0.791149229275127
"14817_aroD_1",-0.0666723761806854,-0.60442134347452,-2.7480435884651,-2.34977084345694,-0.152367761831973,-1.04296947590532,-0.00350648159055285,-1.42320664800711,0.23507737212361,-0.51763031429618,-0.112947796720367,-0.835782313570353,-0.108915661465241,-0.457819208948832,-0.0566347768217647,-0.591244642576431,0.110931503650438,-0.505070681634923,-0.154395170391804,-0.648306747459764,-0.256762513058071,-0.497119596517209,-0.00851582648074538,-0.942916877770303,-0.123036319898809,-0.315215652864623
"14818_ydiF_1",-1.21538149240238,-1.77717428882017,-3.54029483495992,-2.23863221849027,-1.21958587816004,-1.2695734527514,-1.48974625589009,-2.36591421129296,-1.1297226133925,-1.04989805047739,-1.07813117749112,-0.953912574865595,-1.22805995958862,-1.17646659603127,-1.06038644805984,-1.29464232319399,-1.03437854037983,-1.19263184317989,-1.14502635204003,-1.54024272495743,-1.07813117749112,-0.728305071520615,-0.351224855784054,-1.13543036268585,-1.2695734527514,-1.03609061082656
"14819_caiA_1",-1.30162221007061,-1.50511635588495,-2.70674882282772,-2.66961064482022,-1.09988347938638,-1.3157755126811,-1.70857352609408,-1.02078963388972,-1.42597035804861,-1.3086660930935,-0.861634120174172,-0.95707544453674,-0.935132103346774,-1.06567464439035,-0.9634300848207,-1.23877817680227,-0.939796133930897,-1.1109572972803,-0.979489590476129,-0.883625366128032,-0.922792964544846,-1.84424198812917,-0.437883381074217,-0.857285770818294,-1.2174809951261,-1.01910424893407
"14821_acrB_1",-1.55016000158205,-1.06390860623682,-2.91148756061042,-2.91148756061042,-1.47769882413884,-1.95350831916131,-1.62054196530643,-1.44848300933804,-1.67098712648806,-1.45711755669697,-1.73503947793926,-1.14502635204003,-1.65501397739333,-1.47472024918325,-1.42874500291357,-1.62427773559839,-1.40684814730257,-1.24527800890579,-1.57737948309498,-1.70427707093824,-1.55016000158205,-0.191005628992909,-1.50511635588495,-0.977872293344177,-1.50201387634077,-1.53697039392964
"14822_etfA_1",-1.41225904367471,-1.49585192655746,-2.60480538439737,-2.60480538439737,-1.31102854010497,-1.486714135379,-1.33262810631357,-0.758684072840514,-1.26510042176139,-1.14695823903557,-1.48069056711247,-1.56362493531528,-1.51136514879802,-1.38039185324106,-1.34738051175087,-1.18653352364626,-1.26287336821314,-1.17247302941618,-1.37264058387008,-2.66961064482022,-1.42874500291357,-1.55349988383315,-1.23233026315555,-1.08713213629046,-1.24745634992057,-1.23662315791218
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",-1.18856138664783,-0.873310232311131,-1.71726231111282,-1.32295206597073,-1.08713213629046,-1.14695823903557,-1.69157300034828,-2.66961064482022,-1.53697039392964,-1.63181803090575,-1.10725093403067,-1.32055232123266,-1.22169617852471,-1.14117534421527,-1.05687739571846,-0.95549281488762,-1.24964062646712,-1.00572398675281,-1.18047901429228,-0.93668451606905,-1.34243054965433,-0.479062053021177,-1.10725093403067,-0.848637320605592,-1.06214588007863,-1.35738071774154
"14824_hypothetical_protein",-2.52436572673771,-2.47861256927773,-3.0904697972545,-2.63582561559906,-2.47861256927773,-2.203238576878,-2.54938314541611,-1.61682867531629,-2.1920305864606,-2.40018270433395,-2.41843267022251,-1.89604845833917,-2.36591421129296,-2.09275642718297,-2.04184341326152,-2.36591421129296,-2.09275642718297,-2.34977084345694,-2.50083502844607,-1.77233521550386,-2.22652230528581,-1.73957055992116,-1.91450582505556,-2.09275642718297,-2.50083502844607,-1.92080579965011
"14825_fadK_1",-1.3498679206062,-2.05822702720147,-3.23910820172794,-2.84821777772749,-1.2070365573178,-1.49585192655746,-1.31339832692035,-1.33019740967933,-1.05163808486155,-1.19877484166589,-1.23662315791218,-1.59858848344773,-1.29928854491751,-1.27181952444196,-1.1905941491015,-1.43153069100622,-1.08713213629046,-0.979489590476129,-1.27859654103756,-0.979489590476129,-1.40147812965981,-1.62054196530643,-1.25402715827605,-1.14502635204003,-1.3157755126811,-0.98273189536729
"14826_ppsA_1",1.78205533907556,-0.339527173683474,-2.63582561559906,-2.31920925218679,1.64718325930842,0.0606490752287264,2.10179151475154,-0.164541910706185,2.04996644009243,-0.0405860577776668,2.12997761820762,-0.0797314578706269,2.04996644009243,0.472330858566116,2.03385292145811,-0.353356833144139,1.76753729187679,0.0195373145341226,2.03385292145811,-0.360831491562524,1.64718325930842,0.128085217043655,1.70001184752272,-0.136170303703044,1.65108596278654,0.383378895758176
