"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"17066_fsaB",45.6634289114865,4.06039706276949,0.460266876185347,7.73550574023002,1.02992852840087e-14,1.09532898995433e-11
"17448_uxuA",445.774741869332,3.63362693536624,0.393371625359051,7.9660726228182,1.63796704668233e-15,3.48395590829332e-12
"15298_psuK_2",22.353696389641,3.39089675487108,0.596176186844451,4.84906445219247,1.24045115231362e-06,0.000293159955663452
"16356_nanA",136.148497554636,3.19739813410496,0.521374745356423,5.17362637551799,2.29593707808303e-07,8.13909694180434e-05
"15297_psuG",81.7054129936084,2.8498959250163,0.650417353907969,3.61290471556021,0.000302785991292215,0.0378838707928554
"16227_uxaC",121.93987959406,2.82745672877962,0.532093462287607,4.37415020807301,1.21906421397742e-05,0.00235722689375453
"15373_arnB",29.9083329359538,2.53625535339658,0.428281214398243,4.75448206678321,1.98955799835347e-06,0.000423178986249784
"16212_ebgA",94.4706063945284,2.40155847262697,0.513263632393741,3.70483773369749,0.000211526099864308,0.0281197509007115
"15305_por_1",290.651580978945,2.17214635456626,0.328692001453331,5.08727424814952,3.63246376016349e-07,0.000110375005969539
"16255_tdcB",19.5463930447596,2.16756347913539,0.50405154776979,3.30831933065901,0.000938577221531033,0.0943841795821299
"18225_asnB",342.161341632677,1.8229245905574,0.401216023146436,3.29728753149661,0.000976235049744644,0.0943841795821299
"17158_lexA_1",703.66559278913,1.54639216710324,0.29394114834904,3.55986963029995,0.000371038947477504,0.043844435626925
"18700_pliG",101.04805685839,-1.82279168762097,0.337985877254571,-3.91374840382647,9.08743227581612e-05,0.0138064060361863
"18878_hslJ",111.682159933237,-2.25795381232914,0.525863944349983,-3.34298221282719,0.000828832123596377,0.0927855750994471
"15670_hypothetical_protein",224.633961862282,-2.54797821638015,0.270329437961393,-7.57586088967727,3.5675392251137e-14,2.52938531060561e-11
"15014_flhB_1",25.0590708761716,-2.60080656736426,0.642039090477104,-3.27208514017914,0.00106757421746814,0.0987274069806406
"16707_adhB",41.6036442882226,-2.60365572322454,0.566991528036316,-3.71020662426864,0.000207090157085171,0.0281197509007115
"18619_flgB_2",83.6307562217465,-2.64847374264281,0.649020046736963,-3.31033494796432,0.000931843903407002,0.0943841795821299
"18629_flgL_2",72.6917061772115,-2.83493278986137,0.553639676874052,-4.21742314973669,2.47109996528938e-05,0.00438002468847542
"18621_flgD_2",174.121674644605,-3.13349075330271,0.640819550974095,-4.10956680285363,3.96402032833216e-05,0.0064857471064327
"18626_flgI_2",91.4705736576851,-3.41275224227704,0.544292132084369,-5.35145020583459,8.72521480287657e-08,3.71170637714369e-05
"17141_hypothetical_protein",139.282862269494,-3.6574032206923,0.632465929755567,-4.99221076131732,5.96920654463309e-07,0.000158706279005432
"15176_wzc",622.659603267021,-4.6625593412241,0.672998933860364,-6.18509054293355,6.20668351534284e-10,3.30040395928355e-07
