,HM1_iJO1366,HM3_iJO1366,HM6_iJO1366,HM7_iJO1366,HM14_iJO1366,HM17_iJO1366,HM43_iJO1366,HM54_iJO1366,HM56_iJO1366,HM57_iJO1366,HM66_iJO1366,HM68_iJO1366,HM86_iJO1366
2-Oxoglutarate exchange,0.1883,0.6179,0.6179,-0.0,0.6157,0.6119,0.0525,0.6179,0.6179,0.6179,0.0,0.6179,0.567
Acetaldehyde exchange,0.0704,0.3544,0.3544,0.0,0.3532,0.3505,0.0683,0.3544,0.3544,0.3544,0.0,0.3544,0.346
Acetate exchange,-0.0491,0.2472,0.2472,0.0,0.2466,0.2456,-0.05,0.2472,0.2472,0.2472,0.0,0.2472,0.225
D-Fructose exchange,0.4025,0.9824,0.9824,-0.0,0.9793,0.9707,0.4025,0.9755,0.9824,0.9824,0.8239,0.9824,0.9662
D-Glucose exchange,0.4025,0.9824,0.9824,0.8295,0.9793,0.9707,0.4025,0.9755,0.9824,0.9824,0.8561,0.9824,0.9662
D-lactate exchange,0.0704,0.4285,0.4285,0.0,0.4269,0.4237,0.0683,0.4285,0.4285,0.4285,-0.0,0.4285,0.419
Ethanol exchange,0.0704,0.4219,0.4219,-0.0,0.4204,0.4173,0.0683,0.4219,0.4219,0.4219,0.0,0.4219,0.4157
Fumarate exchange,0.0766,0.4494,0.4494,-0.0,0.4482,0.4464,0.0766,0.4386,0.4494,0.4494,0.0,0.4494,0.4302
L-Glutamate exchange,0.1883,0.697,0.6971,-0.0,0.6952,0.6923,0.0525,0.6971,0.6971,0.697,-0.0,0.6971,0.6468
L-Glutamine exchange,0.1883,0.6984,0.6984,0.0,0.6966,0.6937,0.0525,0.6984,0.6984,0.6984,-0.0,0.6984,0.6482
L-Malate exchange,0.0766,0.4494,0.4494,-0.0,0.4482,0.4464,0.0766,0.4386,0.4494,0.4494,-0.0,0.4494,0.4302
Pyruvate exchange,0.0704,0.3599,0.3599,-0.0,0.3586,0.3559,0.0683,0.3599,0.3599,0.3599,0.0,0.3599,0.3488
Succinate exchange,0.0766,0.4925,0.4925,0.0,0.4912,0.4891,-0.05,0.4817,0.4925,0.4925,0.0,0.4925,0.4758
