,HM1_iJO1366,HM3_iJO1366,HM6_iJO1366,HM7_iJO1366,HM14_iJO1366,HM17_iJO1366,HM43_iJO1366,HM54_iJO1366,HM56_iJO1366,HM57_iJO1366,HM66_iJO1366,HM68_iJO1366,HM86_iJO1366
2-Oxoglutarate exchange,0.0768,0.0836,0.0836,-0.0,0.0832,0.0809,0.0,0.0766,0.0836,0.0836,0.0,0.0836,0.0808
Acetaldehyde exchange,0.0151,0.0181,0.0181,-0.0,0.0179,0.0178,0.0151,0.0181,0.0181,0.0181,0.0,0.0181,0.0174
Acetate exchange,-0.053,0.0,0.0,0.0,0.0,0.0,-0.0554,0.0,0.0,0.0,0.0,0.0,0.0
D-Fructose exchange,0.1625,0.2415,0.1903,-0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
D-Glucose exchange,0.1625,0.2415,0.1903,0.0,0.2391,0.1894,0.1625,0.1903,0.1903,0.1903,0.0,0.1903,0.1852
D-lactate exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethanol exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fumarate exchange,0.002,0.0213,0.0022,0.0,0.0211,0.0022,0.002,0.0,0.0022,0.0022,-0.0,0.0022,0.0022
L-Glutamate exchange,0.0772,0.0807,0.0734,0.0,0.0802,0.0731,0.0,0.0734,0.0734,0.0734,0.0,0.0734,0.0724
L-Glutamine exchange,0.0772,0.0812,0.0738,-0.0,0.0806,0.0735,0.0,0.0738,0.0738,0.0738,0.0,0.0738,0.0728
L-Malate exchange,0.002,0.0213,0.0022,0.0,0.0211,0.0022,0.002,0.0,0.0022,0.0022,0.0,0.0022,0.0022
Pyruvate exchange,0.0166,0.042,0.0191,0.0,0.0417,0.0189,0.0166,0.0191,0.0191,0.0191,-0.0,0.0191,0.0185
Succinate exchange,0.0,0.0,0.0,0.0,0.0,0.0,-0.0554,0.0,0.0,0.0,0.0,0.0,0.0
