,CFT073_iML1515,HM1_iML1515,HM3_iML1515,HM6_iML1515,HM7_iML1515,HM14_iML1515,HM17_iML1515,HM43_iML1515,HM54_iML1515,HM56_iML1515,HM57_iML1515,HM66_iML1515,HM68_iML1515,HM86_iML1515
2-Oxoglutarate exchange,1.4368,0.4688,1.4629,1.4628,1.4629,1.4629,1.4629,0.4688,1.4628,1.4628,1.4628,1.4628,1.4628,1.396
Acetaldehyde exchange,1.213,0.3709,1.2246,1.2246,1.2246,1.2246,1.2246,0.3709,1.2246,1.2246,1.2246,1.2246,1.2246,1.1984
Acetate exchange,0.2101,0.0,0.2101,0.2101,0.2101,0.2101,0.2101,0.0,0.2101,0.2101,0.2101,0.2101,0.2101,0.1891
D-Fructose exchange,1.743,0.6288,1.7798,1.7797,1.7798,1.7798,1.7798,0.6288,1.7797,1.7797,1.7797,1.7797,1.7797,1.7583
D-Glucose exchange,0.8582,0.2849,0.877,0.877,0.877,0.877,0.877,0.2849,0.877,0.877,0.877,0.877,0.877,0.8651
D-lactate exchange,1.2609,0.3709,1.2896,1.2896,1.2896,1.2896,1.2896,0.3709,1.2896,1.2896,1.2896,1.2896,1.2896,1.2706
Ethanol exchange,1.2801,0.3709,1.2896,1.2896,1.2896,1.2896,1.2896,0.3709,1.2896,1.2896,1.2896,1.2896,1.2896,1.2706
Fumarate exchange,1.2993,0.3806,1.3301,1.3301,1.3301,1.3301,1.3301,0.3806,1.3301,1.3301,1.3301,1.3301,1.3301,1.292
L-Glutamate exchange,1.5087,0.4688,1.5354,1.5353,1.5354,1.5354,1.5354,0.4688,1.5353,1.5353,1.5353,1.5353,1.5353,1.4687
L-Glutamine exchange,1.5111,0.4688,1.5377,1.5377,1.5377,1.5377,1.5377,0.4688,1.5377,1.5377,1.5377,1.5377,1.5377,1.4711
L-Malate exchange,1.2993,0.3806,1.3301,1.3301,1.3301,1.3301,1.3301,0.3806,1.3301,1.3301,1.3301,1.3301,1.3301,1.292
Pyruvate exchange,1.1938,0.3709,1.2246,1.2246,1.2246,1.2246,1.2246,0.3709,1.2246,1.2246,1.2246,1.2246,1.2246,1.1984
Succinate exchange,1.3389,0.3806,1.368,1.368,1.368,1.368,1.368,0.3806,1.368,1.368,1.368,1.368,1.368,1.3336
