,CFT073_iML1515,HM1_iML1515,HM3_iML1515,HM6_iML1515,HM7_iML1515,HM14_iML1515,HM17_iML1515,HM43_iML1515,HM54_iML1515,HM56_iML1515,HM57_iML1515,HM66_iML1515,HM68_iML1515,HM86_iML1515
2-Oxoglutarate exchange,0.1949,0.2694,0.2948,0.2948,0.2948,0.2948,0.2948,0.2694,0.2948,0.2948,0.2948,0.2948,0.2948,0.2931
Acetaldehyde exchange,0.201,0.1548,0.201,0.201,0.201,0.201,0.201,0.1548,0.201,0.201,0.201,0.201,0.201,0.1985
Acetate exchange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-Fructose exchange,0.3747,0.2828,0.3747,0.3747,0.3747,0.3747,0.3747,0.2828,0.3747,0.3747,0.3747,0.3747,0.3747,0.37
D-Glucose exchange,0.1575,0.1121,0.1575,0.1575,0.1575,0.1575,0.1575,0.1121,0.1575,0.1575,0.1575,0.1575,0.1575,0.1556
D-lactate exchange,0.1792,0.1121,0.1793,0.1792,0.1793,0.1793,0.1793,0.1121,0.1792,0.1792,0.1792,0.1792,0.1792,0.177
Ethanol exchange,0.1575,0.1121,0.1575,0.1575,0.1575,0.1575,0.1575,0.1121,0.1575,0.1575,0.1575,0.1575,0.1575,0.1556
Fumarate exchange,0.27,0.2687,0.27,0.27,0.27,0.27,0.27,0.2687,0.27,0.27,0.27,0.27,0.27,0.2672
L-Glutamate exchange,0.1949,0.2854,0.2948,0.2948,0.2948,0.2948,0.2948,0.2854,0.2948,0.2948,0.2948,0.2948,0.2948,0.2931
L-Glutamine exchange,0.1956,0.2874,0.2958,0.2958,0.2958,0.2958,0.2958,0.2873,0.2958,0.2958,0.2958,0.2958,0.2958,0.2941
L-Malate exchange,0.27,0.2687,0.27,0.27,0.27,0.27,0.27,0.2687,0.27,0.27,0.27,0.27,0.27,0.2672
Pyruvate exchange,0.2227,0.1548,0.2227,0.2227,0.2227,0.2227,0.2227,0.1548,0.2227,0.2227,0.2227,0.2227,0.2227,0.2199
Succinate exchange,0.1575,0.1121,0.1575,0.1575,0.1575,0.1575,0.1575,0.1121,0.1575,0.1575,0.1575,0.1575,0.1575,0.1556
