Gene_id,UR1,UTI1,UR3,UTI3,UR6,UTI6,UR7,UTI7,UR14,UTI14,UR17,UTI17,UR43,UTI43,UR54,UTI54,UR56,UTI56,UR57,UTI57,UR66,UTI66,UR68,UTI68,UR86,UTI86
10002_aldA_2,,,,,650.0,29.0,,,,,578.0,12.0,858.0,113.0,,,,,,,,,1181.0,7.0,298.0,52.0
10011_ydbC_2,,,,,110.0,4.0,,,,,75.0,2.0,,,,,,,,,,,28.0,1.0,,
10012_putative_autotransporter_precursor,,,,,4668.0,121.0,,,,,2271.0,80.0,1517.0,152.0,,,,,,,1377.0,7.0,2885.0,39.0,1887.0,424.0
10013_hypothetical_protein,,,,,,,,,,,67.0,8.0,,,,,,,,,,,,,,
10023_mntB_1,,,,,39.0,2.0,,,,,77.0,1.0,45.0,6.0,12.0,0.0,52.0,19.0,38.0,1.0,81.0,0.0,,,21.0,10.0
10030_mdtN_1,,,,,,,,,,,4.0,0.0,,,,,,,12.0,1.0,,,26.0,0.0,,
10031_ripA_1,,,,,272.0,17.0,,,,,210.0,23.0,239.0,29.0,691.0,231.0,119.0,140.0,137.0,3.0,0.0,0.0,,,170.0,85.0
10032_ogt_1,,,,,2829.0,466.0,528.0,10.0,,,436.0,24.0,4088.0,476.0,2717.0,1432.0,,,1608.0,28.0,3.0,0.0,3202.0,165.0,,
10033_ogt_2,,,,,635.0,88.0,409.0,13.0,,,146.0,7.0,707.0,129.0,421.0,328.0,,,525.0,9.0,0.0,0.0,488.0,28.0,,
10035_uspE_1,,,,,6059.0,114.0,,,,,4439.0,37.0,,,,,,,,,,,,,,
10036_uspE_2,,,,,6042.0,97.0,,,,,5074.0,53.0,,,,,,,,,,,,,,
10039_mppA_1,,,,,1293.0,35.0,,,,,995.0,45.0,,,878.0,166.0,,,649.0,11.0,,,,,519.0,216.0
10040_mppA_2,,,,,1278.0,33.0,,,,,1303.0,67.0,,,1460.0,314.0,,,961.0,18.0,,,,,756.0,307.0
10043_hypothetical_protein,,,,,,,,,,,232.0,4.0,,,,,,,,,,,,,,
10044_hypothetical_protein,,,,,,,,,,,208.0,3.0,,,,,,,,,,,,,,
10045_murein_peptide_amidase_A,,,,,,,,,,,116.0,2.0,,,,,,,97.0,0.0,,,,,,
10046_murein_peptide_amidase_A,,,,,,,,,,,40.0,1.0,,,,,,,38.0,1.0,,,,,,
10054_ugpC_1,,,,,21.0,4.0,,,,,28.0,0.0,,,,,,,,,,,,,,
10057_hypothetical_protein,,,,,,,,,,,14.0,0.0,,,,,,,,,,,,,,
1005_putative_E3_ubiquitin-protein_ligase_ipaH7.8,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1006_ompD_1,78867.0,644.0,,,,,11932.0,680.0,,,36366.0,1021.0,53151.0,5478.0,153424.0,524.0,12400.0,5646.0,51320.0,62.0,46430.0,32.0,2605.0,129.0,68676.0,20945.0
10077_bcr_1,,,,,535.0,10.0,,,,,483.0,14.0,,,,,475.0,104.0,582.0,3.0,427.0,0.0,517.0,6.0,323.0,73.0
10078_ttgC,,,,,239.0,17.0,,,,,216.0,10.0,345.0,35.0,224.0,34.0,248.0,98.0,229.0,3.0,172.0,0.0,228.0,1.0,146.0,55.0
10080_mexA,,,,,125.0,15.0,,,,,130.0,25.0,153.0,31.0,78.0,42.0,126.0,171.0,96.0,3.0,79.0,1.0,295.0,8.0,94.0,83.0
10081_yfiR,,,,,708.0,59.0,,,,,461.0,48.0,508.0,82.0,366.0,156.0,412.0,427.0,279.0,8.0,511.0,2.0,1008.0,19.0,361.0,221.0
10085_gmr_1,,,,,,,,,,,545.0,7.0,,,,,,,1782.0,6.0,,,,,,
10086_gmr_2,,,,,,,,,,,953.0,14.0,,,,,,,2613.0,17.0,,,,,,
10135_hypothetical_protein,,,,,296.0,22.0,,,,,226.0,16.0,303.0,22.0,102.0,23.0,273.0,75.0,210.0,4.0,83.0,2.0,151.0,1.0,66.0,16.0
1013_higB-1,285.0,26.0,,,,,,,,,416.0,13.0,594.0,24.0,488.0,56.0,351.0,105.0,538.0,5.0,302.0,1.0,310.0,7.0,354.0,41.0
10143_Fatty_acid_desaturase,,,,,332.0,18.0,,,,,266.0,7.0,,,,,244.0,44.0,264.0,5.0,,,,,,
10144_Fatty_acid_hydroxylase_superfamily_protein,,,,,92.0,4.0,,,,,108.0,2.0,,,,,109.0,22.0,147.0,2.0,,,,,,
10145_PAP2_superfamily_protein,,,,,28.0,7.0,,,,,37.0,1.0,,,,,53.0,5.0,42.0,1.0,,,,,,
10146_hypothetical_protein,,,,,106.0,15.0,,,,,180.0,5.0,,,,,176.0,47.0,83.0,1.0,,,,,,
10147_4-pyridoxolactonase,,,,,84.0,10.0,,,,,74.0,1.0,,,,,43.0,9.0,43.0,0.0,,,,,,
10148_hypothetical_protein,,,,,33.0,3.0,,,,,82.0,0.0,,,,,23.0,7.0,,,,,,,,
10149_hypothetical_protein,,,,,,,,,,,59.0,1.0,,,,,,,,,,,,,,
1014_hypothetical_protein,1.0,0.0,,,0.0,0.0,,,,,2.0,0.0,4.0,0.0,2.0,0.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10150_fabH_1,,,,,325.0,34.0,,,,,217.0,8.0,,,,,199.0,53.0,263.0,0.0,,,,,,
10154_narG_1,,,,,,,,,,,71.0,3.0,,,,,,,,,,,,,,
10155_narG_2,,,,,,,,,,,21.0,1.0,,,,,,,,,,,,,,
10165_ldrD_1,,,,,,,,,,,31.0,1.0,,,,,,,24.0,0.0,,,26.0,0.0,,
10182_dhaM_1,,,,,,,,,,,232.0,3.0,,,,,,,,,447.0,0.0,,,,
10183_dhaM_2,,,,,,,,,,,434.0,8.0,,,,,520.0,225.0,,,1001.0,1.0,,,,
10186_putative_ABC_transporter_permease_protein,,,,,12.0,0.0,,,,,7.0,0.0,2.0,0.0,10.0,4.0,,,6.0,1.0,14.0,1.0,64.0,0.0,,
10187_putative_ABC_transporter_permease_protein,,,,,21.0,1.0,,,,,9.0,0.0,5.0,0.0,14.0,7.0,,,10.0,2.0,18.0,2.0,41.0,0.0,,
10191_cirA_1,,,,,,,,,,,368.0,14.0,,,,,,,,,,,,,,
10192_btuB_1,,,,,,,,,,,108.0,2.0,,,,,,,,,,,,,,
10204_DNA_polymerase_V_subunit_UmuC,,,,,,,,,,,129.0,11.0,,,,,,,,,,,,,,
10215_hypothetical_protein,,,,,,,,,,,17.0,10.0,27.0,10.0,,,,,,,,,,,12.0,16.0
10218_icsA_1,,,,,,,,,,,59.0,10.0,,,,,,,17.0,1.0,47.0,0.0,91.0,0.0,38.0,13.0
10219_hypothetical_protein,,,,,100.0,4.0,,,,,79.0,7.0,108.0,9.0,158.0,44.0,43.0,25.0,46.0,0.0,85.0,1.0,128.0,1.0,38.0,10.0
10260_hypothetical_protein,,,,,,,,,,,1366.0,10.0,,,,,,,891.0,2.0,,,,,,
10261_hypothetical_protein,,,,,,,,,,,12.0,0.0,,,,,,,12.0,0.0,,,,,,
10262_transport_protein_TonB,,,,,604.0,14.0,,,,,17.0,1.0,,,2039.0,79.0,,,11.0,1.0,,,686.0,11.0,279.0,21.0
10278_helix-turn-helix_protein,,,,,,,,,,,56.0,11.0,,,,,44.0,33.0,56.0,0.0,,,,,30.0,14.0
10279_putative_HTH-type_transcriptional_regulator,,,,,2977.0,315.0,,,,,5306.0,412.0,,,,,1588.0,1626.0,4401.0,55.0,,,,,4849.0,1728.0
10280_hypothetical_protein,,,,,,,,,,,3760.0,237.0,,,,,,,3103.0,27.0,,,,,2791.0,657.0
10281_hypothetical_protein,,,,,,,,,,,6048.0,401.0,,,,,,,4599.0,44.0,,,,,4519.0,1320.0
10282_hypothetical_protein,,,,,,,,,,,65.0,18.0,,,,,,,62.0,1.0,,,,,89.0,52.0
10284_Antirestriction_protein_Ral,,,,,,,,,,,134.0,22.0,,,,,,,100.0,0.0,,,,,126.0,21.0
10295_hypothetical_protein,,,,,,,,,,,174.0,24.0,,,,,,,132.0,1.0,,,,,109.0,38.0
10296_hypothetical_protein,,,,,,,,,,,16.0,2.0,,,,,,,14.0,0.0,,,,,13.0,0.0
10297_hypothetical_protein,,,,,,,,,,,140.0,7.0,,,,,,,113.0,1.0,,,,,92.0,27.0
10298_hypothetical_protein,,,,,,,,,,,89.0,7.0,,,17.0,5.0,,,75.0,0.0,,,,,56.0,13.0
10299_hypothetical_protein,,,,,,,,,,,363.0,39.0,,,,,,,287.0,4.0,,,,,296.0,77.0
10300_hypothetical_protein,,,,,40.0,5.0,,,,,144.0,7.0,,,,,14.0,4.0,147.0,1.0,,,,,91.0,24.0
10318_hypothetical_protein,,,,,,,,,,,559.0,21.0,,,78.0,11.0,,,328.0,3.0,,,,,,
10319_hypothetical_protein,,,,,,,,,,,699.0,34.0,,,188.0,33.0,,,226.0,3.0,,,,,,
10322_Fibronectin_type_III_protein,,,,,,,,,,,299.0,17.0,548.0,46.0,,,,,,,,,,,,
10323_hypothetical_protein,,,,,,,,,,,218.0,12.0,128.0,17.0,,,,,,,,,,,,
10326_Phage_minor_tail_protein_L,,,,,69.0,4.0,,,,,36.0,2.0,138.0,3.0,52.0,11.0,,,35.0,0.0,66.0,0.0,,,,
10327_Phage_minor_tail_protein,,,,,,,,,,,21.0,3.0,,,,,,,40.0,1.0,,,,,,
1032_hypothetical_protein,102.0,2.0,,,,,,,911.0,102.0,,,,,,,,,,,,,,,,
10337_Bacteriophage_lambda_head_decoration_protein_D,,,,,,,,,,,16.0,0.0,,,,,,,,,,,,,,
10343_Phage_DNA_packaging_protein_Nu1,,,,,,,,,,,121.0,8.0,,,,,,,143.0,0.0,81.0,0.0,,,,
