"","UR1","UR3","UR6","UR7","UR14","UR17","UR43","UR54","UR56","UR57","UR66","UR68","UR86"
"14805_sufB_1",2552,35,3480,8389,8293,5613,1899,12431,6313,7118,4807,1681,6098
"14806_iscA_1",732,0,1490,3152,2915,2383,789,3691,2525,3295,1772,504,1816
"14807_hypothetical_protein",2103,0,1964,2752,1396,1913,1695,1276,1740,2641,2026,4186,2001
"14808_ydiI_1",689,0,826,444,555,802,1060,1042,1221,844,1328,1417,814
"14813_hypothetical_protein",33,0,34,80,64,119,42,61,50,47,149,55,28
"14816_ydiB_1",156,0,577,691,694,520,378,570,842,445,371,673,468
"14817_aroD_1",961,0,1069,1496,1808,904,991,909,1082,790,571,1055,629
"14818_ydiF_1",105,0,129,89,137,145,114,115,135,115,128,530,57
"14819_caiA_1",90,0,162,55,71,229,218,145,162,160,168,428,65
"14821_acrB_1",53,0,72,65,46,36,45,44,60,41,44,42,36
"14822_etfA_1",68,0,103,123,101,58,59,57,80,61,57,71,59
"14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",112,60,164,57,60,137,116,119,83,106,75,93,88
"14824_hypothetical_protein",4,0,9,7,11,7,11,7,10,3,9,19,4
"14825_fadK_1",81,0,132,127,163,104,95,82,121,78,62,68,51
"14826_ppsA_1",15982,0,19583,31472,32727,37607,34651,34849,19695,31257,12462,14996,11800
"14828_aroG_1",1388,3307,2167,3465,3144,1584,2509,1688,1064,849,1272,2077,1338
"14829_hypothetical_protein",1203,1625,1398,1754,894,969,570,643,905,571,845,229,1353
"14830_hypothetical_protein",507,1538,760,2345,1107,874,847,885,1002,1062,914,567,808
"14831_ydiV",1005,3153,1304,3627,2115,939,741,1128,1082,609,1207,780,589
"14832_mepS_1",1099,2149,1415,2367,1742,1093,1164,1001,1028,1045,845,1748,644
"14833_btuD",869,1391,1470,1603,1247,944,757,669,860,600,534,941,593
"14835_btuC",767,1389,1520,1307,1290,923,1090,889,868,786,829,2016,942
"14836_ihfA",3505,5694,3552,6796,5151,4040,4540,4325,3727,5178,4054,5480,2238
"14838_pheS",4770,5339,6968,4895,4549,9860,4732,4860,3861,2886,3194,25035,2857
"14839_rplT",5359,8523,7120,9379,9727,8921,11205,9285,8662,8775,9656,7336,8144
"14841_infC",73611,70082,87053,61179,60723,62173,79750,62371,68124,58641,61647,51835,59770
"14846_pfkB",3755,3652,4682,3621,3322,3441,3733,3301,3183,4804,2702,4024,2019
"14848_Fructosamine_kinase",1608,1502,854,1475,1227,842,1003,1182,914,1305,1326,477,635
"14849_hypothetical_protein",1404,1796,1846,1629,1042,1260,1835,1243,1058,1350,1276,1983,978
"14850_yniC",1959,4192,4820,5450,4196,3230,2703,2883,2374,2318,1858,3029,2546
"14851_ydjM",137,262,336,217,326,121,309,287,163,162,342,163,241
"14852_tcyP",421,980,358,921,939,566,668,269,277,315,591,696,339
"14856_hypothetical_protein",529,861,452,811,660,358,380,394,342,336,300,477,307
"14857_chbF",268,757,717,937,594,603,612,402,471,495,473,964,741
"14858_chbR",626,594,434,659,429,395,383,296,357,329,283,340,363
"14859_chbA_1",253,360,341,482,380,321,318,183,293,234,231,188,271
"14860_chbC_1",406,334,391,300,266,299,208,150,176,165,211,120,282
"14861_chbB",398,969,619,1176,694,534,655,642,747,486,596,305,559
"14862_osmE",440,1747,534,2095,650,544,1268,817,954,1800,844,571,175
"14863_nadE",2655,5702,3633,5747,4022,3676,4216,2795,2919,3462,2710,4951,2599
"14864_cho",708,831,764,862,833,659,759,532,275,571,608,844,542
"14865_hypothetical_protein",44,199,25,354,32,31,49,22,19,27,27,15,18
"14866_spy",981,1111,817,1098,957,799,878,744,936,1963,807,16217,520
"14869_astD",83,85,73,98,78,26,80,45,53,155,54,59,40
