"","ur_rpkms_means","uti_rpkms_means"
"15301_fruB",2.09330194814056,5.79306502696933
"14939_mntP",2.26249608016834,5.95658374111247
"16544_gntU",3.08642918577625,7.87902665490199
"18323_bioC",2.26123497162517,5.02409099349149
"16545_gntK_1",4.28142489268555,9.22678545057862
"18322_bioF_2",1.8909705039047,3.74643128576594
"18315_galD",0.382802570678443,0.729952307110462
"18619_flgB_2",2.27472521453427,4.27303831932625
"18321_bioB",3.17883062587025,5.88317466056646
"15370_YfaZ_precursor",3.72195702166177,6.81528815957819
"16776_xanP",2.9003925851225,5.30239849700283
"17696_Fimbrial_protein",2.25505847087653,3.97006230261192
"17569_hypothetical_protein",2.402679727991,4.1673395377413
"18345_rhlE",4.00571744873525,6.91481473423263
"17269_yjeM",2.7921948041482,4.79696681129662
"16219_rlmG",3.82730280320462,6.55231655797765
"17268_epmA",4.28778648582354,7.29205880864363
"18594_mdoC",3.58079253068214,6.04703935462008
"18324_bioD1_1",2.93793571573086,4.95710503968755
"16944_EamA-like_transporter_family_protein",2.7720376412948,4.60283277621283
"16393_envR",0.830168007108834,1.36546004403677
"15704_mltF",3.40835717258365,5.53568535138465
"17695_ecpD_2",1.80030593582688,2.91836650426317
"18385_rimO",5.46641363629046,8.68917342352557
"16223_alx",2.29590328495565,3.64870980350267
"16157_hypothetical_protein",3.89467031900401,6.08317190350562
"16084_endA",3.7254177367664,5.81035182469918
"16895_ppiC",4.88816343218043,7.59750370636547
"15680_Alpha-beta_hydrolase_family_protein",1.83207052280935,2.8464932973429
"18538_cspG_2",6.52787706347901,10.0619653806144
"18454_ycaO",4.94290370517786,7.59244274085281
"15299_fruA_1",4.75635556738208,7.2758651264651
"17887_ykgB",2.36653966163843,3.59899802022753
"18363_ybiP_2",3.69454879432784,5.60715670427492
"19111_ydgI",3.61847281442875,5.48290645284376
"15786_proW",3.44036084618944,5.20593411159285
"16320_yhbE",5.49290483520104,8.28978694783722
"16391_yhdJ",3.25893168563318,4.91333822109117
"15679_suhB",6.79680103283644,10.1700086684984
"15528_frc_2",2.02021604807629,3.00972502395306
"16790_liaS",3.07746929145078,4.55848106471757
