"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10"
"1006_ompD_1",78867,644,11932,680,36366,1021,53151,5478,153424,524,12400,5646,51320,62,46430,32,2605,129,68676,20945
"1014_hypothetical_protein",1,0,0,0,2,0,4,0,2,0,7,1,4,1,0,0,0,0,1,0
"1201_rnfD_1",113,49,54,12,108,247,112,19,256,68,144,227,45,4,45,1,205,15,53,88
"1202_rnfD_2",169,132,262,103,301,598,502,135,544,204,708,736,318,25,114,2,784,30,147,504
"1219_sodC",899,28,456,21,470,5,931,18,746,39,380,98,1326,4,554,0,452,2,213,17
"12_Prophage_minor_tail_protein_Z_-GPZ-",46,12,0,0,19,0,43,6,39,11,8,11,67,0,13,0,163,7,175,16
"13441_Gene_25-like_lysozyme",27,2,68,2,94,2,31,2,38,9,47,22,67,0,45,1,31,0,16,3
"13459_hypothetical_protein",40,2,53,0,34,2,24,0,42,10,42,16,32,1,37,2,22,2,30,3
"1345_yhdN_3",132,11,257,4,323,3,270,7,254,31,303,35,234,81,289,2,281,1,336,1
"14814_ydiM_1",46,0,0,0,26,0,32,2,31,2,22,1,23,2,23,2,58,0,64,0
"14845_hypothetical_protein",1045,56,2271,233,5464,21,1041,4529,473,689,771,544,393,573,265,23,656,25,630,79
"14920_fadD",588,630,582,537,995,211,380,26,755,834,898,356,399,1869,819,30,336,3,1181,70
"15120_hypothetical_protein",3430,63,143,4,1644,151,658,14,29,7,468,41,1004,128,1381,678,1138,15,778,649
"15180_putative_assembly_protein",3244,785,4450,2051,5033,306,4947,3075,4001,456,4414,571,3006,1768,4261,4690,3419,87,2806,9
"15334_yccM_1",1528,27,825,89,1388,23,606,114,1994,9,852,113,640,186,218,0,2593,5,318,90
"1536_ompF_2",196,6,154,2,1248,9,310,8,364,19,332,16,693,112,358,5,247,4,230,30
"15440_mnmC",1059,315,2138,1218,1730,208,1879,1046,1042,896,905,1789,896,44,833,5,1905,125,946,729
"1551_irtA",283,11,595,22,706,10,222,2254,316,38,359,2050,344,14,1060,39,97,173,2962,5872
"15524_evgS",2263,412,8128,1101,2714,74,2797,212,1780,375,5589,1086,1659,28,4847,6,2492,25,1865,351
"15553_xapA",150,2,128,6,115,4,99,1,97,5,53,14,86,2,82,0,128,1,51,14
"1557_srfAD",43,5,27,3,157,4,137,13,34,439,94,17,100,549,88,4,18,44,194,442
"15613_Putative_neutral_zinc_metallopeptidase",2195,649,4105,1610,5731,142,5632,3802,2479,313,2887,1410,2731,2766,3843,45,2454,13,4120,151
"1562_hypothetical_protein",91,3,81,4,96,4,52,0,25,4,63,5,54,0,77,1,72,1,29,6
"15666_hypothetical_protein",10534,942,9997,74,9699,1667,8825,286,7025,430,6452,828,7703,1827,9800,56,9379,14,5147,84
"15817_bglF_1",226,9,166,15,203,5,159,8,148,7,90,22,292,77,108,1,91,6,93,10
"15887_rlmD",2271,394,3586,607,3222,1224,2851,221,2408,500,2031,1193,2558,27,1966,10,2674,78,1875,590
"15898_ygdH",7117,332,7920,781,4875,263,8447,1352,6703,293,3572,485,4950,982,7232,29,5178,9,6075,60
"1596_Integrase_core_domain_protein",88,6,162,16,2204,8,0,0,93,4,147,31,137,65,220,2,89,0,0,0
"15_Bacteriophage_lambda_minor_tail_protein_-GpG-",99,7,3,1,43,12,114,10,97,24,20,7,108,3,78,0,64,3,15,4
"16015_hydN_2",67,1,73,13,43,1,57,7,37,9,55,17,32,1,67,2,42,2,35,6
"16124_lptF_1",228,27,139,9,235,1,82,12,123,27,83,21,112,4,154,3,79,6,123,41
"1614_klcA_1",17,3,35,5,22,4,19,1,62,10,12,13,2,2,0,0,20,0,6,2
"16182_mrpA_3",36,12,84,30,214,5,79,0,66,47,44,0,115,7,132,62,14,2,33,1
"16333_kdsD",1738,606,3064,1247,3284,280,3349,130,2972,1798,2348,1049,2128,2527,1996,10,2452,148,1722,991
"16349_gltB",36962,1222,36468,2132,25126,180,36484,6623,28538,413,34335,712,31125,2633,19108,50,22537,115,24277,1925
"16355_nanT_1",49663,34,30797,4,43466,26,15754,4,61557,236,11681,123,26682,20,35734,6,433,20,24207,79
"16382_csrD",1500,252,2875,466,2217,180,2487,545,1613,73,2039,177,1945,529,1983,21,1680,40,1265,429
"16423_preprotein_translocase_subunit_SecY",18586,45516,22567,100629,33798,14886,21788,179054,48719,27412,46464,66783,55328,197120,45389,3151,51190,525,42082,6447
"16507_hypothetical_protein",673,84,1294,145,880,26,1196,24,1061,314,1913,117,855,221,633,353,1567,21,704,31
"16535_hypothetical_protein",107,10,95,1,95,1,35,3,49,18,59,27,45,3,61,3,57,4,23,10
"16549_ywnH",1261,44,1426,30,1587,10,1123,192,2015,30,521,223,1270,147,459,3,1586,12,859,44
"16624_gadW",400,24,2445,91,467,3,4404,8,1365,173,493,16,474,90,664,6,356,5,126,16
"16665_yhjX",158,1526,109,226,238,10,165,43,367,11,165,99,269,23,176,7,9757,402,104,38
"16681_xylB",767,19,7442,49,5072,71,609,13,264,58,879,81,563,11,2036,1,80,4,711,145
"16690_hydN_3",118,8,255,21,205,7,333,2,324,71,155,4,99,20,78,29,102,1,75,0
"16778_yicI",3958,84,6145,15,2022,32,856,57,1256,110,2205,240,1456,14,2702,8,340,9,1297,118
"16808_aspT_1",1084,57,1364,103,1442,9,1090,172,881,35,970,110,907,237,828,13,1190,6,865,119
"16841_axe1-6A",121,14,148,4,0,0,144,27,126,5,112,13,100,28,94,43,62,4,119,5
"16844_bglF_2",118,9,119,3,114,0,66,24,80,2,60,13,73,19,67,9,56,10,44,3
"16910_wecD",229,166,185,23,204,20,246,416,164,32,197,204,208,4,288,4,269,8,246,100
"17081_yjjL_1",715,31,319,7,799,64,177,5,174,6,118,21,253,4,128,6,61,3,155,28
"17119_purD",399,372,548,1078,936,179,758,85,776,77,1005,557,564,21,386,1,458,45,324,374
"17145_malF",5326,13,535,24,5113,80,450,7,1429,78,803,83,2772,3,351,3,167,3,2814,35
"17163_dus",739,318,3506,726,1951,254,2936,90,1647,856,291,1144,207,2015,295,47,392,199,1478,1062
"17186_nrfB",321,3,132,1,66,0,29,5,43,0,40,4,34,1,31,0,38,1,34,0
"17219_crfC",631,72,3572,151,1528,218,1096,23,823,70,352,86,657,301,559,9,747,4,589,9
"17319_ydiF_2",563,20,229,9,470,0,188,3,124,13,112,28,97,6,125,4,65,1,110,7
"17320_paaF_1",612,7,144,11,231,3,155,1,72,2,72,21,76,3,91,4,37,3,72,5
"17321_Xylose_isomerase-like_TIM_barrel",338,5,59,4,136,0,83,1,26,2,43,9,32,2,59,2,21,0,55,4
"17322_fabG_4",581,14,137,15,286,2,165,0,113,8,93,9,105,1,188,0,36,1,153,5
"17323_nicS",1801,237,964,66,1758,16,685,65,546,56,607,466,633,5,581,5,763,21,681,189
"17376_gntR_2",1422,18,2153,67,2393,149,1038,30,559,54,631,75,825,176,692,6,1113,5,562,106
"17378_gno",12181,4,19108,14,17022,18,3328,11,199,114,3141,7,8250,81,1751,1,9343,0,537,28
"17379_idnD",24269,4,31946,16,37041,23,7882,29,316,442,9194,14,17138,110,4302,5,23961,3,1131,50
"17380_gntK_2",908,3,1668,5,2633,10,1189,5,251,17,1016,6,1625,25,1012,2,4624,2,268,13
"17594_caiD",191,7,105,20,81,3,82,14,107,4,79,16,101,50,110,0,15,2,43,14
"17595_lcfB",440,66,637,175,568,32,744,242,430,27,584,134,564,306,573,14,544,3,275,10
"17694_htrE_4",424,41,278,13,538,6,210,61,199,31,210,76,248,159,140,7,267,10,112,34
"17775_hcpA_3",424,43,537,127,40,2,376,160,281,1,745,98,32,15,203,2,276,1,411,6
"17789_yafL",43,6,295,16,186,0,105,36,25,9,48,5,33,18,30,39,39,6,66,2
"17901_betB_2",1309,85,1455,1179,2142,83,1739,29,2375,445,3472,725,8327,11,3277,2,8821,114,3793,746
"18067_ybaK",1529,243,2274,60,1358,13,1302,444,866,27,667,189,1029,391,606,6,671,4,939,37
"18132_cusC",20,4,70,11,63,1,25,4,25,2,23,9,38,11,18,2,40,0,21,4
"18165_hypothetical_protein",187,18,355,47,104,79,134,17,169,26,140,26,1602,9,119,5,167,3,89,43
"18297_zitB",536,9,500,28,465,8,0,0,630,88,314,24,395,101,366,1,501,2,334,39
"18310_modB",521,63,611,103,1250,46,506,25,1167,99,929,264,573,5,577,0,621,14,629,154
"18348_trpD",971,98,1803,166,1652,55,1625,14,1369,216,1486,23,2275,67,1537,215,1545,498,1750,6
"18351_hypothetical_protein",525,7,488,29,893,27,598,4,637,36,640,72,705,170,1123,4,1026,13,230,163
"18360_dps",8236,2904,4101,972,12409,755,12336,1499,7613,2404,7510,4407,19522,46,6923,7,5795,325,4048,929
"18421_poxB",1356,25,4355,126,5541,19,2624,12,5717,53,2610,70,2684,192,2617,0,525,3,361,63
"18457_aroA",3021,518,4684,988,6076,342,4882,90,5904,2342,6586,380,3372,1738,3020,50,2726,19,3658,1527
"18508_tfoX",514,46,1382,82,847,36,1229,178,813,101,793,148,867,8,666,0,615,11,817,79
"18512_mgsA",781,46,1468,180,739,34,1319,188,759,36,928,123,604,203,717,7,944,21,794,165
"18528_appX",80,1,144,7,52,2,188,0,130,23,40,1,71,6,38,6,45,0,45,0
"18572_pgaB",358,13,361,4,352,27,263,10,188,22,590,141,152,6,524,1,238,5,146,31
"18613_hypothetical_protein",2237,113,2721,248,3158,55,2780,549,2842,81,2715,181,2583,609,3027,9,1537,2,2416,29
"18643_tmk",2961,696,1834,1234,1845,82,2599,1604,1164,219,991,465,1830,2665,801,4,1432,30,1011,588
"18691_hypothetical_protein",228,13,354,2,177,13,32,6,12,4,84,33,47,0,38,0,41,3,16,9
"18706_dinB_3",162,33,662,117,291,10,267,5,428,45,381,120,341,310,332,4,290,0,370,17
"18721_dhaM",1973,97,1608,95,1134,60,1360,19,1741,452,539,207,703,51,609,10,1361,21,751,210
"18775_kch",1287,95,5130,376,4033,68,1951,86,2405,230,2038,408,1574,606,1859,15,2702,29,1515,459
"18798_cysB",3139,842,4282,977,5062,125,4675,746,4527,1313,5354,4532,0,0,4600,10,6046,152,4834,2252
"18812_gmr",1158,84,4025,180,1030,75,2014,338,3083,74,1467,596,1695,546,1642,2,655,24,257,117
"1883_zraS_1",362,7,140,10,263,5,162,35,379,31,243,26,244,7,376,6,139,7,299,28
"18854_NmrA-like_family_protein",704,21,613,43,784,13,1023,3,567,16,259,27,770,0,534,0,717,7,298,45
"18869_ydaM",599,4,2084,22,2210,4,1444,60,884,3,909,34,1231,6,0,0,167,3,135,15
"1887_atoE",22922,5,72937,2,25735,1,27924,8,38867,11,56335,23,13415,1,32645,2,54930,1,35592,5
"18911_gap",806,30,3212,82,681,15,3075,175,1369,7,1353,21,1125,49,1031,5,817,1,533,2
