"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11"
"1042_sfaS_1",48,4,49,4,47,15,36,7,44,7,26,53,20,14,15,1,19,2,125,1,12,4
"1217_aaeA_1",1001,83,679,40,1152,27,508,52,367,61,464,417,254,381,580,13,409,5,742,14,260,113
"1343_ydjE_1",88,9,153,8,170,1,101,10,66,12,34,10,38,54,46,6,52,1,127,4,22,9
"1344_glpR_1",1665,92,1697,42,1879,28,1241,75,1054,133,1141,186,799,858,832,11,860,3,759,39,766,271
"1346_ydjH_1",116,4,151,5,201,3,162,9,187,19,204,26,156,56,134,4,208,0,200,1,86,29
"1348_fbaA_1",61,4,124,6,181,0,121,6,134,6,142,3,115,34,99,1,107,1,146,2,57,22
"1349_gutB_1",139,4,91,4,131,2,51,5,69,6,122,6,78,22,74,1,76,0,88,0,36,5
"1351_D-arabitol-phosphate_dehydrogenase",119,8,89,7,68,0,39,3,95,9,107,8,103,24,92,3,61,2,115,2,53,6
"1448_hypothetical_protein",346,163,725,139,433,8,399,396,313,31,427,45,222,273,486,2,242,4,1560,26,206,83
"14834_gpx1",2471,278,4425,546,4896,58,4091,1639,2535,112,2552,244,1983,308,1963,15,1602,4,2584,40,1404,567
"14855_katE",361,9,1412,91,553,40,3473,19,1272,51,531,5,1058,45,511,94,848,5,361,1,277,0
"14878_ynjC",306,21,226,26,204,11,281,2,164,35,361,13,115,19,180,46,295,3,197,1,604,5
"14902_proS_1",2230,150,2605,440,2998,42,3457,668,1875,42,3475,162,2661,240,2136,6,2833,5,2343,38,2275,391
"14988_yecD",753,241,886,272,1700,215,1243,16,774,289,959,62,560,415,983,11,379,2,3338,33,366,130
"15033_ftnA_1",9518,110,3452,218,0,0,3631,182,1617,17,1621,218,2793,146,2998,572,2375,7,2354,6,783,14
"15048_fliY",3911,214,16724,671,5360,120,20434,146,12336,2997,5906,70,6784,425,7038,889,7053,15,4770,12,4334,678
"15063_putative_kinase_inhibitor",403,21,363,23,660,20,447,233,456,46,387,52,323,147,361,6,400,3,993,23,228,109
"15089_putative_hydrolase",435,137,815,369,843,41,1629,56,554,494,519,74,695,90,444,321,464,672,472,12,932,41
"15090_hypothetical_protein",11,0,8,0,18,0,4,1,5,0,4,1,1,1,4,4,2,0,4,0,4,0
"15121_hypothetical_protein",20,2,7,0,32,2,102,0,38,2,5,1,249,11,5,3,2,8,10,2,32,9
"15122_hypothetical_protein",5,1,4,2,7,2,11,0,1,0,14,2,4,12,5,8,8,3,8,0,5,0
"15124_hypothetical_protein",76,3,103,6,68,1,4,1,46,5,9,0,76,18,37,16,78,3,35,6,44,9
"15125_Prophage_CP4-57_regulatory_protein_-AlpA-",1,1,4,0,3,1,0,0,0,0,1,0,2,0,2,6,0,0,7,0,4,0
