"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11","UR12","UTI12"
"1296_hypothetical_protein",114,11,86,9,444,0,139,30,146,8,105,7,119,21,137,43,131,1,169,1,162,6,118,31
"14815_ydiN_1",17,0,0,0,28,1,92,0,39,0,36,1,14,2,37,1,25,3,25,3,67,0,13,2
"14820_rhaS_1",483,5,49,2,727,5,696,34,1091,13,664,37,773,7,593,51,718,1,690,1,436,2,314,30
"14827_ppsR",1202,29,1967,88,1392,14,2414,15,2473,261,2054,18,3267,112,1791,293,2571,2,1185,2,2850,13,1024,113
"14837_pheT",7343,5573,13141,10288,12267,2179,16402,838,13173,14312,23339,2589,17740,2653,18842,8068,16768,25724,19379,404,14875,53,58383,1323
"14840_rpmI",29826,9803,21035,23812,26740,3731,18103,39026,21125,5345,29195,7361,24431,13620,22219,35605,21311,1065,24648,302,17085,3144,20378,14563
"14842_thrS",71834,19634,87857,39127,79267,7274,82667,3010,75315,73406,64199,7496,60783,11484,46385,24838,50183,68838,59243,1297,44981,280,52875,3879
"14847_hypothetical_protein",2053,67,4387,273,3945,89,6708,41,5361,36,5605,255,5708,231,5806,526,8791,11,5990,5,3008,28,3224,323
"14854_cedA",170,15,204,38,580,39,145,9,81,60,397,28,524,34,466,122,375,247,479,6,461,3,465,16
"14867_astE",42,5,68,9,62,2,58,6,37,0,102,9,70,2,49,7,112,0,52,0,55,0,25,4
"14868_astB",114,6,129,15,97,3,82,13,63,1,158,5,118,12,78,24,225,1,89,0,115,1,64,7
"14870_astA",77,7,68,7,53,8,54,7,34,4,111,4,67,1,54,22,170,0,24,1,65,0,15,8
"14881_ynjF",424,65,659,107,234,11,408,87,181,6,148,16,135,33,135,69,211,4,146,0,189,2,163,60
"14884_gdhA",13931,267,9642,226,9080,136,7922,554,9496,92,9496,405,7300,337,6974,700,6523,27,8468,7,9151,50,6013,744
