"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6"
"10012_putative_autotransporter_precursor",4668,121,2271,80,1517,152,1377,7,2885,39,1887,424
"10262_transport_protein_TonB",604,14,17,1,2039,79,11,1,686,11,279,21
"10326_Phage_minor_tail_protein_L",69,4,36,2,138,3,52,11,35,0,66,0
"10344_hypothetical_protein",7650,38,2712,22,11361,214,2464,2,945,22,4729,380
"10529_hypothetical_protein",57,7,216,19,236,40,47,1,31,2,18,1
"10878_hypothetical_protein",2,0,2,0,0,0,5,0,6,0,6,2
"11028_Phage_integrase_family_protein",50,5,16,1,30,4,28,0,19,2,26,6
"1105_Phage_minor_tail_protein_L",62,1,134,6,152,42,68,14,57,1,308,26
"11273_hbp_2",4865,120,3364,916,11910,19,4708,11,767,260,4009,319
"11599_hypothetical_protein",24,3,25,7,50,0,33,0,50,1,17,5
"11633_carB_1",5944,165,2311,380,5567,1965,4638,8,2785,118,3339,1637
"11634_carB_2",1076,52,770,65,923,395,955,3,512,15,384,322
"11741_iadA",2839,70,4903,127,1603,11,1921,3,555,26,1535,404
"12135_kgtP_1",297,13,114,6,165,67,113,73,153,1,106,2
"12247_dsbA_1",1268,111,602,64,874,82,559,260,480,1,463,180
"12248_dsbA_2",1945,192,1163,157,1743,235,988,519,794,9,775,339
"12439_hypothetical_protein",131,18,129,24,161,101,92,4,172,7,34,2
"12617_yhjE_2",6687,26,4199,24,3740,40,3268,1,2435,1,3702,95
"12648_hypothetical_protein",1,0,1,1,2,0,1,0,0,0,1,0
"12650_hypothetical_protein",6,5,5,2,9,17,8,6,8,2,4,1
"12718_hypothetical_protein",1789,90,1143,212,907,357,712,773,1844,20,944,300
"13177_pitA_2",14,0,22,1,4,11,15,1,10,0,1,2
"13178_pitA_3",34,4,42,6,28,26,36,0,35,0,29,11
"13250_hypothetical_protein",4263,103,3058,101,3050,671,3101,14,1101,13,1531,450
"13429_recB",2379,106,3759,372,3831,1918,4176,3279,3444,65,4341,155
"13590_cca_2",233,16,149,4,228,39,235,158,169,6,130,16
"13863_papC_5",117,2,93,11,82,6,56,1,240,9,84,22
"14089_hypothetical_protein",20,2,8,0,10,4,15,5,44,0,16,8
"14105_hypothetical_protein",12,2,5,1,18,16,11,3,9,3,13,7
"14146_Integral_membrane_protein_TerC_family_protein",1070,63,1386,11,943,34,1004,684,1039,3,3177,19
"14208_hypothetical_protein",6,0,0,0,58,4,21,4,4,0,1,0
"14253_hypothetical_protein",372,14,426,34,332,1,593,1,414,7,308,34
"14254_Integrase_core_domain_protein",216,1,251,4,165,0,791,2,252,1,231,12
"14256_sfp",4286,21,2673,55,1930,2,5664,0,1747,12,2855,60
"14257_esaR",4961,23,3394,33,2234,5,5462,2,1783,17,3054,34
"14266_mmgB",7909,38,215,20,6833,6,10410,0,3412,26,3098,170
"14267_D-alanine--poly-phosphoribitol-_ligase_subunit_2",1824,4,69,4,1221,0,1580,0,577,2,531,12
"14270_fenF",6786,42,357,53,3560,3,6300,1,2411,23,2009,133
"14273_ppsE_4",12244,65,1638,236,12387,9,16497,6,8540,63,6949,361
"14279_aam",918,13,404,107,789,2,1211,0,985,15,465,66
"14280_mepA_2",1267,10,620,101,1267,3,1441,8,1479,14,748,100
"14281_srfAA",3763,91,2250,435,3815,14,4237,15,4730,57,2684,433
"14283_ampC_2",2696,128,3419,602,3846,26,3673,6,5148,64,2899,475
"14307_mbtB_5",1332,62,201,2305,489,1571,586,11,1601,58,4944,3478
"14319_hypothetical_protein",3,0,12,1,9,13,1,1,5,0,12,0
"14321_DNA_binding_protein-_nucleoid-associated",28,2,88,6,21,0,98,1,28,0,15,3
"14331_hypothetical_protein",56,1,10,29,27,27,103,1,82,3,625,28
"14337_mobA_2",132,4,192,90,89,3,125,8,268,1,80,13
"14343_intA_5",3505,126,2947,947,3623,20,3033,4,3290,43,3235,803
"1435_mepM_1",570,456,740,125,701,298,419,56,515,13,399,1
"1436_mepM_2",988,1029,1242,432,1263,1116,882,123,1266,56,534,7
"14812_putative_inner_membrane_protein",327,24,0,0,708,19,800,60,536,1,1071,11
"14934_hypothetical_protein",159,38,335,43,466,12,158,29,431,13,202,72
"14965_hypothetical_protein",23,0,20,0,11,2,6,0,4,0,5,0
"15119_Transposase",36,6,0,0,0,0,23,18,29,2,193,36
"15188_hypothetical_protein",25,2,20,1,12,0,5,0,1,0,0,0
"15201_Phage_virion_morphogenesis_family_protein",13,2,14,1,12,0,5,3,18,5,3,0
"15211_hypothetical_protein",3,0,4,0,5,0,0,0,0,0,0,0
"15212_hypothetical_protein",15,3,7,5,8,0,4,3,10,4,6,0
"15213_hypothetical_protein",6,0,6,10,4,0,3,2,2,1,1,2
"15214_hypothetical_protein",4,2,17,12,6,0,10,2,24,5,9,1
"15215_hypothetical_protein",9,2,33,20,33,0,32,7,21,4,12,1
"15250_hypothetical_protein",9,0,54,1,48,0,8,1,0,0,6,0
"15496_Prophage_CP4-57_regulatory_protein_-AlpA-",137,23,3,1,4,2,30,37,2,0,11,0
"15614_vapC",1573,354,616,20,1528,26,1229,672,713,371,399,153
"1574_cirA_2",66083,324,39215,344,21855,706,31334,2836,19697,73,24021,1122
"15814_hypF",400,24,1432,154,948,150,353,11,180,98,586,59
"15921_recB_2",726,220,1188,589,1412,228,956,570,1309,150,671,363
"16064_yggF",44,2,208,27,181,10,83,2,74,54,118,60
"1613_hypothetical_protein",4,1,1,0,0,0,3,2,2,0,0,0
"16229_cfaE",1160,88,1581,17,814,248,238,87,321,4,246,48
"16232_cfaB",30,17,43,3,43,29,28,17,36,0,26,16
"16233_hypothetical_protein",109,47,56,3,59,79,42,86,26,3,14,29
"16351_hypothetical_protein",909,59,706,58,365,13,327,174,523,31,447,40
"16633_yhjE_2",1591,14,3317,21,3127,9,4146,7,1738,59,2825,8
"1691_von_Willebrand_factor_type_A_domain_protein",18,10,18,2,53,1,21,17,3,1,9,8
"1702_Phage_late_control_gene_D_protein_-GPD-",167,12,110,10,339,4,456,107,429,151,398,30
"1706_Phage_tail_tube_protein_FII",6,1,397,34,35,0,34,14,28,21,24,3
"1707_Phage_tail_sheath_protein",85,22,97,6,75,3,41,11,196,50,152,3
"1711_Phage_tail_protein_-Tail_P2_I-",39,6,108,8,43,0,28,13,67,19,127,2
"1712_Baseplate_J-like_protein",37,7,93,4,45,1,47,4,41,10,56,2
"17271_yjeO",145,64,24,16,40,3,16,47,21,78,29,1
"17361_yjgH",326,16,552,51,260,5,636,3,374,52,139,25
"17362_bdcA",108,8,255,35,111,4,206,3,78,18,71,8
"17401_yusV_1",2270,2292,2618,197,1749,478,6927,4792,1115,39,1057,186
"17403_fecC",752,685,994,106,522,19,2396,1670,283,22,597,63
"17468_yjiR",743,41,951,51,612,9,1494,11,507,13,588,0
"17522_hypothetical_protein",57,3,18,4,32,1,25,0,20,0,124,5
"17524_hypothetical_protein",46,3,28,4,51,1,76,5,16,0,419,12
"17590_carB",5486,510,6948,6122,11521,1456,8043,220,8687,615,3824,30
"17743_tilS_2",501,138,0,0,198,107,133,164,291,3,795,18
"17808_hypothetical_protein",64,9,24,10,18,7,4,1,9,8,34,2
"17809_FlgN_protein",19,4,41,16,15,1,8,3,19,4,26,2
"17810_anti-sigma28_factor_FlgM",51,12,143,34,54,6,46,1,67,26,82,3
"17811_flagellar_basal_body_P-ring_biosynthesis_protein_FlgA",62,5,146,38,44,6,28,3,28,22,37,3
"17812_flgB_1",0,1,10,2,8,0,16,2,5,3,7,0
"17813_flgC_1",0,0,8,3,6,1,8,0,16,0,4,1
"17814_flgD_1",18,0,28,7,34,1,47,3,20,4,23,0
"17815_flgE_1",94,7,90,20,90,4,114,3,73,26,69,1
"17816_flgF_1",25,6,44,14,55,3,51,3,33,10,30,0
"17817_flgG_1",38,0,41,17,53,5,62,5,37,14,43,2
"17820_flgI_1",13,5,35,9,56,7,17,1,27,13,34,0
"17821_flgJ_1",5,2,11,7,24,2,7,0,9,0,21,1
"17822_flgK_1",119,12,152,33,293,19,132,10,85,25,108,3
"17823_flgL_1",95,6,113,32,193,6,75,5,78,18,64,2
"17824_hypothetical_protein",62,4,53,8,97,5,44,2,33,5,30,1
"17825_DNA-binding_transcriptional_activator_CadC",148,53,103,80,512,339,310,16,63,218,698,71
"17826_fliC1",38,7,61,4,39,4,149,4,29,9,141,4
"17827_fliD_2",48,1,56,13,38,4,34,1,13,5,33,1
"17831_flagellar_basal_body-associated_protein_FliL",2,1,19,4,22,3,21,4,12,1,26,0
"17832_lafS",15,1,77,8,51,2,38,3,20,9,43,1
"17979_sbcC",1388,1454,1968,1425,2412,292,1448,38,2381,127,1211,916
"18209_podJ",377,12,202,24,374,14,141,6,57,18,242,160
"18291_cell_envelope_integrity_inner_membrane_protein_TolA",2655,734,3273,1532,5050,854,4253,937,4038,2297,2943,25
"18537_cspG_1",123,208,55,39,39,33,4,2,14,48,5,91
"18568_hypothetical_protein",1096,59,3044,10,2869,147,1696,16,5796,7,10224,8
"18569_ybeZ_2",1859,40,2722,3,4364,203,1397,10,4596,2,9165,2
"18863_ogt_2",3325,303,1950,743,3639,1071,1314,1711,75,2,2262,1393
"1888_thlA_1",22853,4,20639,4,29497,9,30923,9,39191,2,29068,11
"18915_trg",352,29,1120,55,1644,15,329,49,272,106,213,35
"19074_Antitermination_protein",170,4,284,16,133,10,50,6,180,104,148,1
"19079_hypothetical_protein",26,7,54,40,39,5,28,19,287,89,28,2
"19974_photosystem_I_assembly_protein_Ycf3",1869,18,61,9,2668,174,84,2,112,2,49,11
"20935_exuT_1",113,5,34,2,43,2,29,3,48,1,20,5
"21507_hypothetical_protein",394,146,0,0,290,1043,399,8,1770,40,704,186
"22713_hypothetical_protein",1987,69,4090,306,4220,715,2001,591,4962,33,3426,24
"2303_gabR",706,85,640,31,628,67,822,9,542,20,643,165
