"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7"
"10077_bcr_1",535,10,483,14,475,104,582,3,427,0,517,6,323,73
"10186_putative_ABC_transporter_permease_protein",12,0,7,0,2,0,10,4,6,1,14,1,64,0
"10187_putative_ABC_transporter_permease_protein",21,1,9,0,5,0,14,7,10,2,18,2,41,0
"10477_hypothetical_protein",8,2,0,0,9,4,12,1,0,0,6,0,6,0
"10527_P_fimbrial_regulatory_protein_KS71A",73,0,442,213,43,2,129,1,368,1,444,6,0,0
"10923_Integral_membrane_protein_TerC_family_protein",16,1,15,0,17,1,9,1,16,1,6,0,5,1
"10927_Sodium-sulfate_symporter_transmembrane_region",39,4,31,1,45,8,46,1,36,1,36,2,39,8
"11259_NADH_oxidase",339,1,124,7,272,22,49,10,108,36,58,2,71,3
"11274_mprA_2",82,7,27,11,174,31,156,4,96,1,53,8,71,12
"11600_hypothetical_protein",48,2,548,39,112,26,139,2,135,0,366,2,72,10
"11637_hypothetical_protein",408,12,39,2,148,19,206,106,75,0,255,1,40,3
"11678_higA-2_1",474,16,659,42,642,80,519,4,398,1,624,6,347,90
"11679_higB-2_1",2397,202,2578,398,3117,832,2302,42,1894,6,3850,85,1927,1215
"12016_oxyR_2",477,24,376,28,470,100,366,162,483,7,332,2,240,12
"12069_hypothetical_protein",10,0,1,0,2,1,5,0,3,0,5,0,3,1
"12089_hypothetical_protein",389,13,277,18,478,32,234,0,337,0,147,1,147,25
"12165_tsx_2",296,12,415,13,233,31,339,7,243,2,71,2,41,5
"12215_hypothetical_protein",818,20,761,39,3030,812,527,136,461,6,687,8,255,17
"12270_kdgR_1",798,24,560,16,1327,80,589,142,578,10,108,4,606,38
"12271_2-keto-3-deoxy-galactonokinase",1248,17,306,12,705,51,387,138,347,7,84,6,393,31
"12272_dgoA_1",1264,9,256,11,507,31,263,57,213,2,50,1,301,36
"12274_Tripartite_tricarboxylate_transporter_TctB_family_protein",732,4,138,1,297,12,133,13,98,2,36,2,76,12
"12294_hypothetical_protein",1528,22,1222,52,1215,161,1046,2,719,0,343,6,242,40
"12717_recQ_2",1444,251,3890,71,2319,268,1350,229,793,1086,4219,41,1135,355
"12888_hypothetical_protein",9,2,7,0,0,0,1,0,0,0,0,0,1,0
"12890_acrF_2",1067,143,957,30,217,6,843,551,449,608,371,8,301,53
"12904_rbsA_4",48,7,53,4,34,3,26,6,17,3,53,0,71,1
"13134_hypothetical_protein",71,4,69,10,46,8,65,0,75,1,82,0,48,6
"13331_yggF",3,0,2,1,1,3,4,1,2,0,3,0,0,1
"13443_hypothetical_protein",31,6,100,2,16,0,17,4,60,18,18,0,14,0
"13446_Intracellular_multiplication_and_human_macrophage-killing",376,8,738,29,100,31,490,8,80,2,341,5,84,19
"13566_hypF_1",440,11,271,2,764,11,206,42,198,1,229,0,157,11
"13567_hypF_2",59,7,216,1,141,1,39,8,37,1,63,1,105,1
"13845_dsdX",308,55,8359,17,3669,152,532,668,12733,8,1791,14,343,822
"13846_gcvA_2",181,25,498,37,1634,158,148,129,501,15,337,12,172,70
"14255_Transposase",575,9,506,21,89,7,286,4,1003,0,431,6,554,6
"14285_hypothetical_protein",0,0,97853,561,84562,1351,83732,61,74514,28,67109,308,62705,2521
"14318_Prophage_CP4-57_regulatory_protein_-AlpA-",29,0,9,0,28,14,6,1,18,1,5,0,30,7
"14320_hypothetical_protein",9,2,30,4,33,31,13,0,16,0,18,0,6,5
"14324_hypothetical_protein",16,1,26,7,21,13,25,0,44,0,31,0,13,4
"14332_hypothetical_protein",150,2,360,22,170,15,119,3,281,1,59,1,3485,49
"14338_Conjugal_transfer_protein_TraD",11,0,34,0,4,6,17,0,9,1,32,0,3,0
"14339_bfpA",34,2,49,2,41,10,42,1,28,1,45,1,35,1
"14391_fliC",64657,1030,10926,218,22315,2165,3951,16,1389,4,358,52,1080,211
"14809_putative_FAD-linked_oxidoreductase",2667,322,67,7,4310,186,3580,996,4768,1045,4531,17,3353,5
"14896_yvgN",408,105,868,253,987,28,390,45,569,74,488,1,373,129
"14977_mepM",2264,1360,2228,100,1725,286,1172,1335,833,2020,2739,122,901,402
"14_Bacterial_Ig-like_domain_-group_2-",10,2,0,0,39,5,34,8,41,28,44,0,173,7
"15104_amn_1",6826,764,5740,166,8365,1471,5975,99,6768,349,8500,25,7650,37
"15208_Phage_portal_protein",70,4,58,4,391,12,56,0,18,1,170,38,34,1
"15219_xerC_1",3129,745,2059,1118,2021,75,2955,69,1863,1722,3752,1504,656,98
"15418_yfcG",100,1,324,11,76,1,165,4,95,9,110,13,37,0
"15421_putative_transposase",924,42,1502,85,1076,8,1180,273,875,81,868,2,615,16
"15514_lacY_1",337,4,619,17,680,6,502,67,345,54,387,2,174,33
"15516_sacA",475,9,419,24,414,4,357,50,6444,260,470,7,304,24
