"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8"
"10023_mntB_1",39,2,77,1,45,6,12,0,52,19,38,1,81,0,21,10
"10031_ripA_1",272,17,210,23,239,29,691,231,119,140,137,3,0,0,170,85
"10032_ogt_1",2829,466,528,10,436,24,4088,476,2717,1432,1608,28,3,0,3202,165
"10033_ogt_2",635,88,409,13,146,7,707,129,421,328,525,9,0,0,488,28
"10526_papB_1",564,422,3015,7263,1162,1625,1480,845,483,0,785,3,534,5,13,0
"10907_potE",87,4,296,1,115,0,225,27,132,46,173,1,71,2,161,17
"11547_imm_1",2587,73,4115,48,3633,146,3450,406,4014,18,4242,2,1594,28,3442,281
"11549_imm_3",345,13,173,16,311,15,233,85,290,1,437,2,282,13,839,32
"11550_pys2",280,39,356,27,260,132,634,255,498,6,307,4,750,14,224,47
"11615_ccdB",145,28,106,32,103,111,116,135,128,5,46,1,159,13,128,43
"11649_atsA_1",182,44,237,13,193,21,147,35,182,6,262,8,319,1,100,28
"11715_siaP",205,3,25,2,25,7,16,17,27,4,17,1,62,0,12,3
"11870_anaerobic_benzoate_catabolism_transcriptional_regulator",1455,84,649,62,689,91,519,647,688,19,587,7,418,42,742,430
"12014_yohK_1",2668,45,1484,19,1242,429,1154,146,1384,3,249,3,471,43,217,53
"12015_cidA",5392,93,2865,30,2409,533,3131,166,3800,12,207,3,941,69,223,71
"12030_ldh",135,6,165,6,110,13,141,31,104,46,175,7,109,6,149,5
"12214_hypothetical_protein",403,9,406,11,236,25,1292,225,176,41,254,4,317,2,106,17
"12273_Tripartite_tricarboxylate_transporter_family_receptor",3622,27,348,3,356,13,1370,39,762,122,333,3,64,5,386,27
"12451_hypothetical_protein",133,5,24,2,59,15,0,0,35,20,18,1,22,0,30,0
"12546_Fic-DOC_family_protein",825,50,673,38,863,58,619,148,631,320,697,17,420,7,359,13
"1272_hypothetical_protein",22,0,64,1,56,1,31,2,42,2,42,0,23,0,31,2
"12825_gspO",106,4,131,4,115,29,102,16,119,1,118,1,63,3,103,15
"12929_degS_2",2159,99,1262,127,1399,197,1120,878,1233,17,1067,8,2143,63,999,498
"13125_fhuA_2",3674,32,7663,142,1562,604,2412,86,5063,581,5634,15,2309,5,3602,31
"13130_ybbH_2",895,45,1237,64,635,128,1477,131,1112,238,1095,13,1129,6,1000,152
"13433_licT",2,0,1,1,5,2,3,4,3,0,8,1,16,0,2,1
"14012_hypothetical_protein",128,1,98,5,201,6,68,6,156,25,141,1,82,2,173,4
"14024_gsiA_2",848,42,1189,35,976,132,1304,251,1005,12,1144,0,1604,20,764,155
"1423_putative_transposase",2818,418,1120,33,833,55,1255,366,1067,11,1219,0,0,0,1136,190
"14535_ydjE_1",63,3,46,0,35,1,38,5,33,10,27,0,34,2,60,1
"14903_hypothetical_protein",273,18,542,97,606,1,585,109,454,4,802,133,283,2,298,10
"14910_putative_transposase",902,75,2534,525,2028,30,4304,110,73,7,3580,162,952,67,3953,14
"14957_yebZ",1284,358,2396,599,1793,91,2756,1409,1696,477,1391,1117,1489,5,3684,61
"15059_yedK",758,20,470,0,206,2,213,6,371,3,15,0,127,0,60,12
"15126_hypothetical_protein",273,5,544,13,304,5,206,2,254,22,200,43,282,1,186,14
"15144_hisB",2679,411,2013,45,2534,699,2760,295,2286,1174,1549,6,1190,3,11472,42
"15167_gmm",12,1,7,0,627,1105,7,0,8,0,7,4,13,0,9,2
"15174_cysE_1",10,3,24,3,11,2,13,4,11,2,5,2,13,1,4,0
"15249_hypothetical_protein",566,45,560,77,527,5,720,204,0,0,544,13,507,10,587,112
"1544_hypothetical_protein",86,11,0,0,347,53,488,76,0,0,301,1,352,7,10,1
"1550_Putative_multidrug_export_ATP-binding-permease_protein",266,8,380,16,194,1410,252,38,355,1348,299,5,505,37,1369,2967
"15512_hns_1",2417,319,2697,131,938,73,2180,687,2136,8,2422,6,1711,45,1180,254
"15513_hypothetical_protein",2771,68,1813,53,2943,162,979,142,474,4,519,1,427,12,583,71
"1583_rbsK_1",3874,11,1725,100,469,10,389,4,278,21,1777,287,1745,3,544,179
"1584_hypothetical_protein",1875,10,811,44,249,1,194,5,761,14,536,167,661,2,224,96
"15868_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase",457,116,441,141,250,34,363,19,150,14,181,183,151,5,306,42
"15892_gudP",89,7,220,19,236,1,123,34,223,17,204,92,920,7,139,32
"1590_hypothetical_protein",28,1,14,3,3,1,7,1,11,0,12,6,5,0,5,2
"1598_hypothetical_protein",44,1,56,3,0,0,53,7,66,13,0,0,50,2,46,3
"1600_hmuU_1",82,1,64,5,0,0,73,6,42,12,6,0,59,1,40,3
"1602_fcuA",192,14,149,8,2,0,130,21,85,51,0,0,115,2,105,12
"1603_hypothetical_protein",2,2,3,1,2,0,4,0,6,4,5,3,1,0,2,0
"1604_crfC_1",446,36,136,13,271,24,139,39,1933,3542,421,8,961,21,866,66
"1605_hypothetical_protein",93,12,84,3,33,2,59,19,518,816,53,1,133,2,213,22
"1606_hypothetical_protein",182,14,149,7,280,15,171,22,833,1008,359,9,247,3,336,30
"1611_hypothetical_protein",2551,48,2855,45,475,6,473,16,956,324,691,3,91,0,451,36
"16154_dkgA",5064,178,2602,101,5587,20,3478,304,1704,22,3403,265,3476,10,1146,13
"1616_hypothetical_protein",1,0,4,0,3,0,0,0,3,0,1,0,4,3,1,0
"16290_yfkM",24,0,103,5,28,0,135,3,52,0,49,6,123,0,4,0
"1652_rfbC",1197,407,2002,103,6014,507,4474,902,5262,2840,7494,136,6789,14,4834,360
"16550_hcpA_1",36,10,58,7,41,55,68,22,61,10,61,5,554,7,30,16
"16762_DNA-damage-inducible_protein_D",457,98,402,157,393,27,466,143,518,9,411,4,440,15,391,80
"16902_hypothetical_protein",401,331,885,503,1030,75,512,997,349,123,327,791,327,0,394,269
"16983_phnR",143,23,114,43,94,2,153,144,141,10,130,3,215,1,125,40
"16991_ygcS_2",337,23,216,26,110,6,116,44,132,4,125,1,61,1,77,15
"16992_proP_1",456,40,305,23,176,7,162,54,144,11,158,5,160,3,91,20
"17056_hypothetical_protein",31,4,202,52,208,30,122,2,0,0,1,0,0,0,0,0
"17116_hypothetical_protein",1,0,8,0,3,1,1,0,2,2,1,1,2,0,1,0
