"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9"
"10078_ttgC",239,17,216,10,345,35,224,34,248,98,229,3,172,0,228,1,146,55
"10080_mexA",125,15,130,25,153,31,78,42,126,171,96,3,79,1,295,8,94,83
"10081_yfiR",708,59,461,48,508,82,366,156,412,427,279,8,511,2,1008,19,361,221
"10135_hypothetical_protein",296,22,226,16,303,22,102,23,273,75,210,4,83,2,151,1,66,16
"1013_higB-1",285,26,416,13,594,24,488,56,351,105,538,5,302,1,310,7,354,41
"10219_hypothetical_protein",100,4,79,7,108,9,158,44,43,25,46,0,85,1,128,1,38,10
"10713_focA",8593,765,9624,719,7985,597,3296,1177,8451,5548,8730,71,11311,12,8077,185,9690,1568
"10815_ybiA",71,1,39,1,65,1,77,7,62,14,56,0,60,0,26,0,28,10
"10918_glcR_1",1345,85,912,56,851,86,731,361,735,575,768,18,749,4,1200,45,876,242
"10919_pdxA2",295,8,134,5,369,19,220,23,198,61,190,0,253,2,113,6,188,46
"10920_hypothetical_protein",123,10,104,4,196,15,87,5,101,23,168,3,81,2,48,1,112,12
"10921_gbsB",102,5,79,3,88,14,105,19,58,16,143,1,102,2,57,0,84,8
"10922_dapA_1",46,2,40,0,35,6,58,7,18,14,54,3,29,1,24,0,28,3
"10924_hypothetical_protein",20,1,9,1,10,2,16,1,12,5,4,0,8,0,14,0,6,2
"10926_tabA_1",10,0,8,0,6,0,20,0,1,4,2,0,5,0,5,0,3,0
"11024_bacteriophage_N4_receptor-_outer_membrane_subunit",1209,103,672,43,1937,75,1224,386,1131,936,623,16,716,8,1204,49,463,174
"11036_hypothetical_protein",273,28,162,18,178,24,124,164,138,199,118,11,127,0,358,14,153,49
"11616_ccdA",175,8,151,16,31,12,292,78,107,73,166,1,29,1,181,8,232,43
"11648_hypothetical_protein",221,22,124,8,113,12,124,26,113,36,89,3,173,3,135,3,81,15
"11650_hypothetical_protein",29,24,68,2,54,10,100,46,19,11,25,1,44,0,62,1,19,9
"11716_siaT_1",66,1,20,1,16,1,18,2,64,38,31,2,11,2,32,0,16,2
"11717_siaT_2",175,2,38,2,57,2,32,6,56,33,30,3,25,1,25,2,27,10
"11983_rpiR",1299,19,575,30,473,45,826,142,436,197,439,6,482,7,589,15,730,193
"11984_alsB",274,5,103,2,94,5,166,9,140,32,86,2,183,2,162,1,122,17
"11985_rbsA_2",185,1,64,3,62,6,98,13,42,20,42,7,78,2,86,1,125,4
"11986_alsC",105,3,87,0,59,8,70,7,62,25,58,2,56,0,67,0,75,16
"11987_alsE",355,6,229,6,221,20,252,53,222,89,235,7,230,2,169,2,219,46
"11988_alsK",178,5,116,1,121,5,175,18,97,34,109,1,64,0,121,1,88,13
"11997_ddpA",6305,205,4567,85,5105,228,3683,489,6253,1491,72,11,3410,10,3331,35,2634,334
