"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"18320_bioA",396.596083272513,5.37936105054026,0.702705941861577,6.23213892135116,4.60109162636601e-10,1.27910347212975e-08
"16107_epsL",196.181696056515,4.30975517134781,0.393767121104555,8.40536193591692,4.26544080041068e-17,3.38797869289763e-15
"16670_yiaD",1467.67293129812,4.12853699422966,0.465614444477185,6.71915794567442,1.82777704950542e-11,6.77496026350008e-10
"15185_dnaK_1",650.975056629078,4.05458646288669,0.334795591128911,9.12373562801949,7.2578471451635e-20,6.72560502118485e-18
"18792_rluB",1428.68675863509,3.88344245853067,0.597722578463005,4.82404808254894,1.40673481596882e-06,2.79337342028095e-05
"17259_entericidin_A",190.782455377944,3.66460424441146,0.33250360825771,8.01376038706391,1.11253358958192e-15,6.87298528675053e-14
"16106_epsM",114.609869575125,3.64497728695567,0.418382144539462,6.32191722681463,2.58337759586343e-10,7.55977864894772e-09
"15947_yqeG",688.126379013763,3.57134860508744,0.432912894424307,5.93964429843756,2.85641158920967e-09,7.21893110727535e-08
"15785_proV",2989.87555243345,3.45782182422802,0.548689766671575,4.47943806048634,7.48398026497818e-06,0.000126093728100844
"15300_lacC",342.740000745035,3.43073563036338,0.341589030837768,7.11596512452945,1.1113239623486e-12,4.41354373618443e-11
"18631_rluC",1933.389718456,3.26137474162354,0.349014445850414,6.47931559426844,9.21396005875482e-11,3.2018511204173e-09
"17987_queA",1703.29233872571,3.25661595819482,0.352809244218552,6.39613614204772,1.59357931392154e-10,5.21194175611987e-09
"17311_priB",16443.9276281118,3.2362182913237,0.353562838026765,6.32481146436102,2.53541955079221e-10,7.55977864894772e-09
"15132_dacD",741.786224077221,3.11467925674728,0.613985737942053,3.44418302587162,0.000572787817441428,0.00522082010651531
"16916_yifK",1518.40042742173,2.99223559630244,0.396113192764207,5.02946034793733,4.91862201424842e-07,1.05182839997005e-05
"18940_hypothetical_protein",299.474330058676,2.99178669893936,0.43016657265596,4.63026842518596,3.65192003908415e-06,6.76822513910263e-05
"19008_fimA_9",52.8499059738955,2.92422134079971,0.551252431700284,3.4906355603088,0.000481873080349273,0.0049615080124851
"17442_fimC_2",5078.59355481872,2.90927538407881,0.669124123288199,2.85339493470402,0.00432548284017581,0.028630576894497
"19007_focC_3",50.2635761281093,2.62937681089251,0.46467908809808,3.5064560739359,0.000454116383187556,0.00476393790664682
"16440_rplB",12842.1850077722,2.59727833231723,0.479247924401086,3.33288523745479,0.000859503876832001,0.007466939929978
"16387_panF",560.781227853952,2.49779001274073,0.305768014304455,4.89845223395204,9.65945133283864e-07,1.98913145965122e-05
"16384_accB",8402.24479511386,2.475191608955,0.355214418358629,4.15296095178666,3.28200759594802e-05,0.000479468725831206
"16427_rplR",8794.65722400245,2.46369376392357,0.404315279147334,3.62017920027749,0.000294399051788968,0.00327371745589332
"18654_ndh",6041.9301693606,2.43168946397061,0.467193847176707,3.06444417584356,0.00218074868812076,0.0159538982973045
"14922_tsaB",703.126911598551,2.42387459134296,0.255669635562232,5.56919709378777,2.55915870509916e-08,6.07561987618982e-07
"18005_thiI",1382.15248040073,2.40122983050951,0.460931872446622,3.03999335752548,0.00236583366408543,0.0168641476568141
"16867_rsmG",686.359075290071,2.36428517068292,0.395116189286207,3.45287084578224,0.000554654496125744,0.00519669366208493
"18409_rlmC",538.24230372723,2.34765894353819,0.312778042711777,4.30867503311303,1.64235473146455e-05,0.000260899780198369
"15915_tcdA",607.214953780924,2.33709533887937,0.322396050104112,4.14736886028096,3.36317991140594e-05,0.000479468725831206
"16760_rph",630.546075204181,2.2583753730638,0.36475705936349,3.44989998345666,0.000560794280081108,0.00519669366208493
"14919_rnd",945.930910166796,2.24962393631997,0.306805150133766,4.07302138107896,4.64071622612545e-05,0.000611259289625246
"18813_rnb",3862.58408183617,2.19950610731544,0.337044471836719,3.55889565783042,0.000372417438919189,0.00406008031449155
"16749_waaA",1498.15692494183,2.1591489882964,0.334516302329299,3.46514947171491,0.000529936855441802,0.00508008433837313
"15703_purL",1913.88340979119,2.12428749108998,0.344400213602443,3.26447965676291,0.00109665337936181,0.00896675410184069
"16733_Divergent_polysaccharide_deacetylase",629.409057636656,2.09922071916452,0.285362361725188,3.85201717745489,0.000117148802940394,0.00141597248771433
"15729_DTW_domain_protein",330.709882453651,2.09607674676014,0.344533820192891,3.18133281123602,0.00146599111294668,0.0110147440378156
"16906_wecB_2",1213.65223694082,2.08079948067762,0.357147067681278,3.02620286845568,0.0024764608623978,0.017429268854344
"15428_purF",868.560960356473,2.05961464031411,0.305182692355428,3.47206662388324,0.00051646814605047,0.00503782963515897
"16751_mutM",646.2874695603,2.05744556287423,0.397558757394327,2.65984723819171,0.00781760998509125,0.0472455559968558
"16756_coaBC",2314.2561721586,2.03863352380223,0.322224587335537,3.22332175949282,0.00126713130901271,0.0100646429687295
"14952_rsmF",776.869487052253,2.03201814280509,0.358978503455898,2.87487449212089,0.00404188129869945,0.0279617174952055
"17675_speD",4061.06177126878,1.99120180954638,0.345543557995177,2.86852926819784,0.00412385042195476,0.0279617174952055
"17999_thiL",488.102943211902,1.97706212288422,0.31968090494448,3.05636685761355,0.00224036955455939,0.0161772139264288
"16939_recQ",721.876795170499,1.79235031274156,0.293654145016743,2.69824324358296,0.00697064864759704,0.0425898972314721
"14840_rpmI",13784.6951564805,1.50548339547621,0.180295145650584,2.80364395642604,0.0050528669609751,0.0326673724453739
"16466_hypothetical_protein",231.118265124259,-1.62959574066388,0.195879104177894,-3.2142057383114,0.00130805911710718,0.0102433925226985
