"","log2FoldChange","symbol","bnum"
"16544_gntU",4.88884427499391,"gntU","b4476"
"16545_gntK_1",4.57651857082976,"gntK","b4268"
"14939_mntP",4.36916636148789,"yebN","b1821"
"15301_fruB",4.20651466261909,"fruB","b2169"
"18538_cspG_2",4.11395372077521,"cspG","b0990"
"18323_bioC",3.9086335243801,"bioC","b0777"
"16674_cspA",3.74748745153715,"cspA","b3556"
"16389_dusC_2",3.62180582556091,"yhdG","b3260"
"15679_suhB",3.5415509605544,"suhB","b2533"
"15786_proW",3.35410286878886,"proW","b2678"
"15370_YfaZ_precursor",3.32046502367212,"yfaZ","b2250"
"18385_rimO",3.31065116507826,"yliG","b0835"
"18345_rhlE",3.3045479954476,"rhlE","b0797"
"17268_epmA",3.28608967773454,"yjeA","b4155"
"18321_bioB",3.26745779717711,"bioB","b0775"
"16299_deaD",3.20491266152816,"deaD","b3162"
"18324_bioD1_1",3.10269511995054,"bioD","b1593"
"16895_ppiC",3.08595365770934,"ppiC","b3775"
"15787_proX",3.06745654182914,"proX","b2679"
"16320_yhbE",3.01905582233678,"yhbE","b3184"
"15299_fruA_1",2.99426974192957,"fruA","b2167"
"15136_plaP",2.98986376530224,"yeeF","b2014"
"16219_rlmG",2.98964214187469,"ygjO","b3084"
"15899_sdaC",2.93739465243346,"sdaC","b2796"
"15273_hypothetical_protein",2.8977588550908,"yohJ","b2141"
"18322_bioF_2",2.84002697394874,"bioF","b0776"
"15746_rplS",2.83379453534517,"rplS","b2606"
"16439_rpsS",2.81710958953574,"rpsS","b3316"
"16776_xanP",2.81178896952353,"yicE","b3654"
"17097_rplJ",2.8069130007538,"rplJ","b3985"
"16319_obgE",2.78364872495831,"obgE","b3183"
"16432_rplX",2.75745827984807,"rplX","b3309"
"16390_fis",2.75599636016617,"fis","b3261"
"18454_ycaO",2.75032298574504,"ycaO","b0905"
"15747_trmD",2.73611427210024,"trmD","b2607"
"17615_rapA",2.71571140191128,"hepA","b0059"
"15199_yhbU_1",2.71206035772573,"yegQ","b3158"
"16084_endA",2.68952222204998,"endA","b2945"
"15663_rlmN",2.67314534239302,"yfgB","b2517"
"15461_fadL",2.67002620812262,"fadL","b2344"
"16157_hypothetical_protein",2.66950766887701,"ygiQ","b1316"
"15654_guaB",2.65199988385551,"guaB","b2508"
"18594_mdoC",2.63315076805909,"mdoC","b1047"
"17098_rplL",2.61107456394774,"rplL","b3986"
"16434_rpsQ",2.60242013617491,"rpsQ","b3311"
