time,LB1,LB2,LB3,LB4,LB5,LB6,LB7,LB8,Urine1,Urine2,Urine3,Urine4,Urine5,Urine6,Urine7,Urine8
0:18:21,0.028,0.027667,0.014333,0.018333,0.022,0.041833333,0.024,0.022333,0.031667,0.043333,0.033,0.045333,0.021667,0.017,0.027,0.011333
0:33:20,0.03633333,0.028,0.023333,0.020667,0.0263333,0.037,0.031,0.03,0.034667,0.031667,0.020333,0.043667,0.028333,0.0295,0.027667,0.018333
0:48:20,0.05466667,0.036333,0.029,0.022667,0.0386667,0.056166667,0.045333,0.045333,0.044667,0.034667,0.026,0.046333,0.038,0.0455,0.032333,0.027
1:03:19,0.08633333,0.054667,0.041,0.026,0.0623333,0.088666667,0.07,0.071,0.055667,0.044667,0.036,0.052333,0.055667,0.06,0.039,0.041
1:18:19,0.14033333,0.086333,0.064333,0.030667,0.1036667,0.146,0.112333,0.114333,0.073667,0.055667,0.043,0.058667,0.063,0.0855,0.049,0.053
1:33:19,0.209,0.140333,0.106333,0.042667,0.164,0.204166667,0.172,0.164,0.089333,0.073667,0.059333,0.067333,0.099667,0.124,0.065,0.078333
1:48:19,0.28666667,0.209,0.162667,0.063,0.2273333,0.2785,0.235333,0.231667,0.104,0.089333,0.073667,0.080667,0.119667,0.1345,0.076667,0.104667
2:03:19,0.37333333,0.286667,0.239,0.091333,0.307,0.392,0.321333,0.314,0.126333,0.104,0.086,0.096,0.127,0.1645,0.106,0.123667
2:18:19,0.502,0.373333,0.305333,0.147333,0.421,0.4995,0.442,0.427667,0.153333,0.126333,0.109667,0.109333,0.151667,0.194,0.127,0.134333
2:33:20,0.64766667,0.502,0.424,0.220333,0.539,0.604666667,0.565667,0.553,0.178333,0.153333,0.134667,0.126333,0.184333,0.2185,0.136333,0.165667
2:48:19,0.79566667,0.647667,0.555333,0.290667,0.629,0.6925,0.668333,0.664333,0.199667,0.178333,0.162333,0.153333,0.209,0.2385,0.159,0.189667
3:03:20,0.89866667,0.795667,0.719,0.378333,0.724,0.794166667,0.771333,0.766,0.219333,0.199667,0.187333,0.180667,0.224,0.248,0.188333,0.203667
3:18:20,1.002,0.898667,0.841333,0.5,0.83,0.896833333,0.872667,0.868333,0.234,0.219333,0.210667,0.209,0.247333,0.264,0.211667,0.226
3:33:20,1.09466667,1.002,0.950667,0.645667,0.932,0.987333333,0.97,0.967,0.246333,0.234,0.225,0.236667,0.259667,0.268,0.232333,0.237667
3:48:20,1.16733333,1.094667,1.051333,0.790667,1.0163333,1.063,1.053333,1.045667,0.255333,0.246333,0.236667,0.258,0.263667,0.27,0.249,0.248333
4:03:20,1.23166667,1.167333,1.137333,0.893333,1.085,1.1275,1.118667,1.109667,0.262,0.255333,0.246333,0.275667,0.265667,0.271,0.264333,0.257
4:18:20,1.285,1.231667,1.207667,0.999667,1.147,1.182833333,1.177,1.17,0.264,0.262,0.256,0.290333,0.266333,0.2715,0.27,0.259667
4:33:20,1.33066667,1.285,1.271,1.092,1.2,1.237333333,1.230333,1.221333,0.262,0.264,0.258333,0.305667,0.263333,0.2695,0.273333,0.256
4:48:20,1.372,1.330667,1.320667,1.166667,1.2493333,1.280333333,1.278667,1.271,0.261,0.262,0.261,0.309,0.267333,0.2725,0.275667,0.259667
5:03:20,1.415,1.372,1.366667,1.231,1.2993333,1.323833333,1.324667,1.317667,0.258,0.261,0.257667,0.309667,0.268333,0.2725,0.277,0.259333
5:18:19,1.44133333,1.415,1.413,1.286333,1.337,1.359666667,1.360667,1.348,0.257667,0.258,0.259333,0.311,0.268667,0.2735,0.28,0.259333
5:33:19,1.45966667,1.441333,1.439667,1.332667,1.3683333,1.390333333,1.382333,1.379333,0.255333,0.257667,0.256,0.312333,0.268667,0.2735,0.281333,0.258333
5:48:19,1.473,1.459667,1.460333,1.373667,1.3916667,1.414,1.407,1.404,0.255667,0.255333,0.254667,0.313667,0.270333,0.276,0.283667,0.259333
6:03:30,1.48233333,1.473,1.474333,1.419667,1.4103333,1.430666667,1.424,1.422333,0.253,0.255667,0.253667,0.312667,0.266333,0.2715,0.285667,0.256333
6:18:28,1.49166667,1.482333,1.486667,1.444333,1.4223333,1.446666667,1.435667,1.434333,0.251333,0.253,0.251,0.311667,0.264333,0.2695,0.287667,0.254333
6:33:20,1.49533333,1.491667,1.491667,1.463,1.4346667,1.456166667,1.445667,1.445667,0.252,0.251333,0.253,0.311,0.266667,0.2715,0.288333,0.255333
6:48:20,1.50066667,1.495333,1.499667,1.479333,1.4433333,1.463833333,1.457,1.455667,0.248667,0.252,0.25,0.312333,0.262,0.2665,0.288,0.253333
7:03:20,1.50333333,1.500667,1.504667,1.490667,1.45,1.469666667,1.462333,1.465,0.247333,0.248667,0.248,0.312,0.265333,0.27,0.287333,0.257333
7:18:20,1.50766667,1.503333,1.508667,1.498667,1.4553333,1.477,1.468333,1.473,0.247333,0.247333,0.248667,0.311667,0.265333,0.27,0.285667,0.258333
7:33:19,1.50833333,1.507667,1.511,1.505333,1.4603333,1.479166667,1.473,1.477,0.245,0.247333,0.245667,0.31,0.266,0.2695,0.286,0.259
7:48:19,1.51033333,1.508333,1.514667,1.510667,1.4656667,1.482333333,1.475333,1.480333,0.243,0.245,0.244333,0.310333,0.265333,0.2695,0.284667,0.259333
8:03:19,1.51266667,1.510333,1.518,1.514333,1.468,1.483333333,1.478667,1.484667,0.242333,0.243,0.244,0.309333,0.263,0.268,0.284667,0.257
8:18:20,1.51533333,1.512667,1.518,1.517333,1.4706667,1.4875,1.483,1.488333,0.241667,0.242333,0.244,0.31,0.263667,0.2675,0.282333,0.258
8:33:19,1.51566667,1.515333,1.521667,1.521667,1.4736667,1.489166667,1.484,1.492667,0.242,0.241667,0.242333,0.308667,0.262333,0.266,0.282667,0.256333
8:48:19,1.51533333,1.515667,1.522,1.522667,1.4756667,1.487833333,1.486667,1.491667,0.239667,0.242,0.242,0.307667,0.262,0.2665,0.281333,0.257667
9:03:20,1.51633333,1.515333,1.523333,1.525333,1.4766667,1.488333333,1.488667,1.492333,0.240333,0.239667,0.242333,0.306667,0.26,0.2655,0.280667,0.255
