,regulator,regulated_name,regulated_bnum,regulator_function,conformation
0,fis,mglA,b2149,repressor,Fis
1,fis,deoC,b4381,activator,Fis
2,fis,deoB,b4383,activator,Fis
3,fis,deoD,b4384,activator,Fis
4,fis,dmsB,b0895,repressor,Fis
5,fis,hyaA,b0972,repressor,Fis
6,fis,hyaB,b0973,repressor,Fis
7,fis,argU,b0536,activator,Fis
8,fis,tyrU,b3977,activator,Fis
9,fis,glyT,b3978,activator,Fis
10,fis,glnV,b0665,activator,Fis
11,fis,leuQ,b4370,activator,Fis
12,fis,hupB,b0440,repressor,Fis
13,fis,queA,b0405,activator,Fis
14,fis,actP,b4067,repressor,Fis
15,fis,proP,b4111,activator,Fis
16,fis,cbpA,b1000,repressor,Fis
17,fis,fau,b2912,repressor,Fis
18,fis,ssrS,b2911,repressor,Fis
19,fis,ogt,b1335,repressor,Fis
20,fis,alaT,b3853,activator,Fis
21,fis,nanT,b3224,repressor,Fis
22,fis,patA,b3073,unknown,Fis
23,fis,rrsC,b3756,activator,Fis
24,fis,gltV,b4008,activator,Fis
25,fis,rsmA,b0051,activator,Fis
26,fis,marR,b1530,activator,Fis
27,fis,adhE,b1241,activator,Fis
28,fis,nrfA,b4070,repressor,Fis
29,fis,nrfF,b4075,repressor,Fis
30,fis,glpA,b2241,activator,Fis
31,fis,cysG,b3368,repressor,Fis
32,fis,guaA,b2507,repressor,Fis
33,fis,glnL,b3869,activator,Fis
34,fis,malE,b4034,activator,Fis
35,fis,narH,b1225,repressor,Fis
36,fis,narI,b1227,repressor,Fis
37,fis,nirB,b3365,repressor,Fis
38,fis,yfaE,b2236,activator,Fis
39,fis,bglF,b3722,repressor,Fis
40,fis,fadA,b3845,activator,Fis
41,fis,hyaE,b0976,repressor,Fis
42,fis,hyaF,b0977,repressor,Fis
43,fis,rplM,b3231,repressor,Fis
44,fis,xylG,b3567,repressor,Fis
45,fis,mazF,b2782,activator,Fis
46,fis,gadA,b3517,repressor,Fis
47,fis,cbpM,b0999,repressor,Fis
48,fis,nanK,b3222,repressor,Fis
49,fis,osmY,b4376,repressor,Fis
50,fis,rrfB,b3971,activator,Fis
51,fis,gltT,b3969,activator,Fis
52,fis,rrfC,b3759,activator,Fis
53,fis,gltX,b2400,repressor,Fis
54,fis,cyoE,b0428,activator,Fis
55,fis,mtlR,b3601,repressor,Fis
56,fis,narG,b1224,repressor,Fis
57,fis,narK,b1223,repressor,Fis
58,fis,bglB,b3721,repressor,Fis
59,fis,glpQ,b2239,activator,Fis
60,fis,xylR,b3569,repressor,Fis
61,fis,pflB,b0903,repressor,Fis
62,fis,nuoI,b2281,activator,Fis
63,fis,leuX,b4270,activator,Fis
64,fis,metU,b0666,activator,Fis
65,fis,glnW,b0668,activator,Fis
66,fis,serX,b1032,activator,Fis
67,fis,alaX,b2396,activator,Fis
68,fis,leuV,b4368,activator,Fis
69,fis,mazG,b2781,activator,Fis
70,fis,bglG,b3723,repressor,Fis
71,fis,fau,b2912,activator,Fis
72,fis,crp,b3357,repressor,Fis
73,fis,flxA,b1566,activator,Fis
74,fis,glcC,b2980,repressor,Fis
75,fis,grcA,b2579,activator,Fis
76,fis,rrlC,b3758,activator,Fis
77,fis,rrfE,b4010,activator,Fis
78,fis,rrlD,b3275,activator,Fis
79,fis,rrsD,b3278,activator,Fis
80,fis,rpsO,b3165,activator,Fis
81,fis,cyoD,b0429,activator,Fis
82,fis,gyrA,b2231,repressor,Fis
83,fis,ndh,b1109,activator,Fis
84,fis,ndh,b1109,repressor,Fis
85,fis,nrfE,b4074,repressor,Fis
86,fis,nrfG,b4076,repressor,Fis
87,fis,glpB,b2242,activator,Fis
88,fis,xylF,b3566,repressor,Fis
89,fis,nuoM,b2277,activator,Fis
90,fis,nuoK,b2279,activator,Fis
91,fis,nuoH,b2282,activator,Fis
92,fis,nuoG,b2283,activator,Fis
93,fis,nuoC,b2286,activator,Fis
94,fis,nuoB,b2287,activator,Fis
95,fis,nuoA,b2288,activator,Fis
96,fis,valX,b2402,activator,Fis
97,fis,thrU,b3976,activator,Fis
98,fis,tpr,b1229,activator,Fis
99,fis,alaW,b2397,activator,Fis
100,fis,metY,b3171,activator,Fis
