Entry,log2FoldChange,padj,Name,Function,Pathways
b0010,2.6125653359563703,5.73166092333348e-10,satP,succinate-acetate transporter,
b0013,2.6688660693582498,8.3558034062864e-15,yaaI,UPF0412 family protein,
b0023,2.17647206406273,1.5359490570148798e-28,rpsT,30S ribosomal subunit protein S20,eco03010  Ribosome
b0058,2.42847469594846,2.6365240115382298e-20,rluA,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",
b0059,2.8322964055297404,1.4747934267890497e-53,rapA,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",
b0169,2.19061855938866,9.238114893143069e-51,rpsB,30S ribosomal subunit protein S2,eco03010  Ribosome
b0170,2.36330026901586,1.80146811260403e-39,tsf,translation elongation factor EF-Ts,
b0171,2.00670891501457,1.55665578156656e-25,pyrH,uridylate kinase,"eco00240  Pyrimidine metabolism, eco01100  Metabolic pathways"
b0238,2.0120775727852602,2.21196597282328e-13,gpt,xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase,"eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b0405,3.14617378057094,2.15096429438473e-26,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,
b0423,2.27850404908151,1.7346571840588198e-35,thiI,tRNA s(4)U8 sulfurtransferase,"eco00730  Thiamine metabolism, eco01100  Metabolic pathways, eco04122  Sulfur relay system"
b0477,2.2157792463263797,7.808189069432009e-18,gsk,inosine/guanosine kinase,eco00230  Purine metabolism
b0635,2.25261349202719,4.34499413393813e-34,mrdA,"penicillin-binding protein 2, transpeptidase involved in peptidoglycan synthesis","eco00550  Peptidoglycan biosynthesis, eco01501  beta-Lactam resistance"
b0661,2.0679546651249296,3.0103479690258502e-24,miaB,tRNA-i(6)A37 methylthiotransferase,
b0685,2.35159769292642,1.01169005288406e-21,ybfE,"LexA-regulated protein, CopB family",
b0797,3.4448002803173,1.4940505638829698e-41,rhlE,ATP-dependent RNA helicase,eco03018  RNA degradation
b0807,2.06188167924435,5.14769149670896e-11,rlmF,"23S rRNA m(6)A1618 methyltransferase, SAM-dependent",
b0815,2.17730205662197,9.66083755474982e-19,opgE,OPG biosynthetic transmembrane phosphoethanolamine transferase,
b0820,2.00444664855651,8.6023212050162e-46,ybiT,ABC-F family putative regulatory ATPase,
b0835,3.4526556119259397,6.269317359912159e-47,rimO,ribosomal protein S12 methylthiotransferase,
b0859,2.16237927740674,3.12896326447363e-27,rlmC,"23S rRNA m(5)U747 methyltransferase, SAM-dependent",
b0905,2.81530095235889,3.0484584773017897e-31,ycaO,ribosomal protein S12 methylthiotransferase accessory factor,
b0910,2.37927583630177,1.1552113610174398e-52,cmk,cytidylate kinase,"eco00240  Pyrimidine metabolism, eco01100  Metabolic pathways"
b0911,2.3180822401255297,1.9942229961807396e-39,rpsA,30S ribosomal subunit protein S1,eco03010  Ribosome
b0945,2.08303613465162,5.2439342866281696e-24,pyrD,"dihydro-orotate oxidase, FMN-linked","eco00240  Pyrimidine metabolism, eco01100  Metabolic pathways"
b0990,4.54658332338074,2.40174259412436e-27,cspG,"cold shock protein homolog, cold-inducible",
b1047,2.7595087506131204,5.35097588411004e-23,opgC,OPG biosynthetic transmembrane succinyltransferase,
b1055,2.13692047601245,8.0599894986998e-22,yceA,putative rhodanese-related sulfurtransferase,
