,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b4182,43.6114047056515,15.8404771030176,48.4416216815218,15.3020007202846,68.101452168851,37.4524122393602,64.1947605216802,36.8533978321376,11.4955127555069,2.81626156336741,172.75857103906,118.44306860648,26.7502003787009,43.1657555264137,37.6123716214079,24.6887538229728,60.7569466618845,19.8945545495303,63.3954621670362,166.980574460451,28.8058560015516,31.8952878416385,63.0283676863742,170.473444372398,25.1803222290182,16.8001469311899,36.5074370223673,24.2558732677091
b1960,52.5673181719906,128.986742124572,84.7080764163509,121.323005710828,76.1624403847558,82.7074103619204,109.587708338266,69.6119736829265,93.8282392476509,118.987051052273,95.8554940575377,159.640657686995,47.8861611717485,67.6917529846034,57.5699565633795,119.916804283011,49.024570754762,98.8699074582718,49.0050811843347,182.883486313827,59.3400633631962,85.0541009110359,45.7539261723309,170.473444372398,96.9782680441916,168.001469311899,60.5123271192664,100.853367797317
b2866,1095.34715568748,119.935040922847,237.027186302633,18.5810008746313,595.401267533383,143.567580250881,317.213440067382,81.8964396269723,236.12404578879,13.3772424259952,637.821728519737,46.3472877155793,228.862825462219,96.1419100361033,988.668054048437,50.5531625898967,1257.45928918838,36.1719173627824,588.060974212017,206.737854093891,339.332983698277,53.1588130693974,830.106946269432,340.946888744797,93.575521797027,26.8802350899039,578.617871710671,25.5324981765359
b0328,226.623549452582,4.52585060086217,216.303497882731,22.9530010804269,58.3726732875865,82.7074103619204,282.027190576419,16.3792879253945,222.764395829688,22.5300925069393,190.982048996767,5.14969863506437,60.4356378926205,131.459346375896,215.311637547039,14.107859327413,173.471558055312,10.8515752088347,160.23883688846,95.4174711202576,626.815426593762,223.267014891469,475.280580035029,340.946888744797,24.4997729795853,16.8001469311899,136.527812426113,7.65974945296077
b1660,413.140182077645,1269.50109354184,763.408872168153,2015.49209487177,829.169925794622,1563.63821099329,780.006629937068,1167.02426468436,773.616939492221,775.17599531688,477.819592051072,257.484931753218,270.804497660922,233.487495801965,697.747873548159,2075.03097607367,317.193162917562,859.685902655461,194.464607874344,834.902872302254,387.726821780884,1339.60208934882,328.214388766823,340.946888744797,615.216521487363,1018.08890403011,318.064793783912,439.158968636418
b1815,47.5052801257989,33.9438795064663,68.3881717856778,16.3950007717335,45.3083130756029,21.8472404729601,91.8602849306051,28.6637538694403,60.8951486507933,16.1935039893626,35.7180167971053,5.14969863506437,52.839901982619,22.5639176615345,47.5911640923937,34.0939933745815,61.5949735123932,19.8945545495303,99.5658792316643,71.5631033401932,54.1550092829169,31.8952878416385,47.1545565653614,255.710166558598,45.5967997120059,57.1204995660458,57.511715857154,30.6389978118431
b0784,238.694563255039,106.357489120261,163.717138517229,97.277004578952,246.55505336233,145.128097427521,186.406543104795,98.2757275523668,271.853342191041,58.4374274398738,178.954553544681,20.5987945402575,159.18020472264,55.9192742046724,108.999117759998,72.8906065249674,102.239275762068,103.08996448393,164.905987477444,39.7572796334406,172.835136009309,53.1588130693974,63.495244484051,85.2367221861992,111.610076906999,47.0404114073318,121.524756115551,103.40661761497
b0796,375.369590502214,201.400351738367,198.947408831063,155.206007305744,147.877438995219,340.192744507522,182.914777888135,229.310030955523,173.054070400469,135.884620432478,252.577404493816,139.041863146738,378.7960473379,308.046528074862,337.743745171826,331.534694194207,218.725007982784,237.528924015604,378.817056139223,206.737854093891,309.951010576695,244.530540119228,362.763271794909,170.473444372398,663.535518197101,268.802350899039,266.554300450983,206.813235229941
b2505,56.0718060501233,18.1034024034487,50.2549444182632,17.4880008231824,103.680986363189,59.2996527123203,105.29015114853,24.5689318880917,34.1758487325881,16.1935039893626,59.04406858297,25.7484931753218,22.7872077300045,22.5639176615345,50.2777620653514,48.2018527019946,44.4154230769638,23.5117462858085,35.7814878488793,47.7087355601288,28.2297388815205,31.8952878416385,47.1545565653614,170.473444372398,136.790399136018,6.72005877247597,32.0065201291987,29.3623729030163
b0400,341.492874346932,1740.1895560315,252.56995261756,335.551015794812,396.934178355589,535.257391587522,421.697799242836,434.051130022953,273.717479394637,161.935039893626,446.83967952297,365.62860308957,284.67497193136,575.870420318293,234.117823357743,590.178781863446,242.608773222284,337.604562052635,332.923408680877,294.203869287461,220.076739851854,382.743454099662,250.712840352466,681.893777489594,610.452676741333,383.04335003113,234.047678444766,488.947340080663
b0484,596.152326824575,1283.07864534442,554.876757442886,906.097042651138,437.517084546006,1064.27271446848,489.921519629894,409.482198134862,495.549806622527,392.868488089754,531.032147687576,221.437041307768,596.430393628812,244.278934683569,390.708105210135,920.537821113701,645.699688316993,361.116308338444,1521.10216279312,437.330075967847,550.191849629635,340.216403644144,614.876742540406,170.473444372398,901.047206249191,389.763408803606,426.586901096977,236.175608132957
b1743,381.989178716465,6037.48470155013,287.800222931394,130.067006122419,227.097495599801,1059.59116293856,294.919862145627,646.981873053081,297.329883973516,233.749709759495,291.211177764154,715.808110273947,289.958962129622,1111.51820480515,285.546984554362,547.855203881207,392.196566038096,243.557576909401,763.468050514675,198.786398167203,352.583677458991,287.057590574746,376.769575725215,340.946888744797,5518.23358902686,305.762674147657,260.05297604974,153.194989059215
