,NES,FDR,Regulon Size,Matched Size,Genes
fadR_activator,-1.987152363490943,0.003425439598081754,12,11,"b1187,b1288,b2316,b4018,b0954,b3256,b2323,b1093,b1092,b1091,b3255"
purR_repressor,-1.7522990492013635,0.04410253482530258,31,31,"b2551,b2904,b2905,b2903,b0033,b0032,b2553,b2311,b0337,b4177,b1062,b2476,b2938,b0336,b4005,b0523,b0522,b2500,b2937,b2557,b2312,b4006,b1132,b1658,b2313,b1207,b1131,b2507,b0945,b2508,b2499"
cra_repressor,-1.712185549799767,0.04267526832610184,59,50,"b2097,b3956,b0118,b3919,b2712,b1818,b2388,b1817,b3366,b1850,b3599,b1819,b0429,b3916,b0431,b0428,b1780,b0334,b0432,b1779,b3368,b3600,b0331,b0430,b3365,b2417,b1852,b3367,b1532,b0116,b0113,b4233,b0115,b2416,b1531,b0114,b1851,b2167,b3614,b2925,b2415,b3601,b2168,b2169,b3612,b2779,b3613,b2926,b2927,b1676"
lexA_repressor,-1.696072002272134,0.03586007079241836,59,43,"b0095,b1741,b2009,b0708,b0094,b0958,b1860,b0088,b0084,b0231,b0086,b0085,b1061,b1914,b2819,b1184,b4058,b1183,b1861,b0234,b2616,b2699,b2821,b0096,b0083,b0060,b0090,b4043,b0092,b1913,b0089,b3813,b4059,b2698,b1848,b4044,b0091,b1728,b0093,b0685,b3067,b3065,b3066"
fliZ_repressor,1.6094895285926822,0.04750681428611572,20,15,"b1040,b3510,b1038,b1042,b1492,b3509,b1039,b1041,b3508,b3512,b1892,b1891,b3513,b1037,b1043"
fhlA_activator,1.6253604776477781,0.045140742718158634,30,15,"b2728,b2729,b2730,b2717,b2712,b2726,b2727,b2725,b2720,b4079,b2713,b2724,b2722,b2718,b2723"
narP_repressor,1.6406358952854985,0.042790741496812286,33,26,"b1671,b1669,b0975,b0976,b2202,b2204,b2199,b2206,b2203,b0974,b2201,b2198,b2197,b2196,b2200,b2194,b2207,b2208,b1672,b2195,b0973,b0972,b2711,b1476,b1475,b2710"
narP_activator,1.6567589846381832,0.0404598238120662,32,29,"b2202,b0872,b2204,b1797,b1796,b2199,b2206,b2203,b2201,b0873,b2198,b4209,b2197,b4072,b2196,b4079,b2200,b2194,b2207,b2208,b3366,b4070,b2195,b3368,b4074,b4075,b4076,b3365,b3367"
rcsA_activator,1.6861563264522066,0.03448122441715608,42,24,"b1482,b3510,b0095,b1492,b3509,b3506,b3516,b3511,b3507,b1480,b3508,b4132,b0094,b2572,b1481,b4026,b4028,b0891,b2573,b4115,b4027,b3800,b2571,b2570"
gadE_activator,1.6940047766909392,0.035156547936846916,70,38,"b0889,b3212,b1482,b3510,b0095,b1492,b3509,b3506,b3516,b3511,b0178,b3507,b1480,b3508,b3512,b4132,b3515,b0094,b2572,b3513,b1481,b4026,b0429,b4028,b0431,b0428,b0432,b0891,b2573,b4115,b4027,b0430,b3800,b2571,b4177,b2029,b2570,b0180"
hns_repressor,1.698806648442649,0.03657747751447698,144,62,"b0889,b0757,b0756,b0758,b0077,b1482,b0344,b4238,b1967,b0759,b3510,b0078,b0034,b0076,b3509,b3506,b0435,b3516,b4237,b3511,b1237,b3507,b3508,b2369,b3512,b4132,b3515,b2370,b3125,b3124,b3126,b3366,b3513,b2421,b2422,b0035,b0036,b4116,b0812,b2423,b2424,b3368,b0039,b0161,b4133,b0038,b3365,b2425,b0019,b0020,b2912,b0040,b3367,b0734,b2234,b2235,b2679,b2678,b3665,b3265,b2669,b3556"
rcsB_activator,1.7066755785764438,0.03781811710268731,58,28,"b1482,b3510,b0095,b0076,b1492,b3509,b3506,b3516,b3680,b3511,b3507,b1480,b3508,b4132,b0094,b2572,b1481,b4026,b4028,b3013,b0891,b2573,b4115,b4027,b3800,b3188,b2571,b2570"
phoP_activator,1.760737899957541,0.02563340290248993,45,33,"b3429,b3432,b3431,b3430,b3510,b1641,b3940,b3939,b3509,b3511,b3508,b0677,b3512,b1609,b0622,b3515,b0154,b1008,b1009,b3571,b3207,b1010,b3037,b1011,b3038,b1129,b1006,b3035,b1007,b0841,b4242,b4005,b4006"
