"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0022610",9,7,1.68,"0.00019","biological adhesion","cpxA,csgA,csgB,csgE,csgF,csgG,dgcZ,uspF,yehD","csgA,csgB,csgE,csgF,csgG,uspF,yehD"
"3","GO:0042255",14,9,2.62,"0.00021","ribosome assembly","dbpA,deaD,der,obgE,rhlE,rimP,rlmE,rluD,rplE,rplT,rpsG,rpsS,rsmA,srmB","deaD,der,obgE,rhlE,rimP,rplE,rpsG,rpsS,srmB"
"4","GO:0009099",7,6,1.31,"0.00024","valine biosynthetic process","avtA,ilvB,ilvD,ilvE,ilvH,ilvI,ilvN","ilvB,ilvD,ilvE,ilvH,ilvI,ilvN"
"5","GO:0006526",12,8,2.24,"0.00034","arginine biosynthetic process","argA,argB,argC,argD,argE,argG,argH,astC,carA,carB,gabT,ygeW","argA,argB,argC,argD,argE,argG,argH,gabT"
"6","GO:0034219",37,20,6.91,"0.00050","carbohydrate transmembrane transport","araG,araH,chbA,chbB,chbC,exuT,fruA,fruB,fucP,gatA,gatB,gntU,malX,manX,manY,manZ,mglA,mtlA,murP,nagE,ptsG,rbsB,rbsC,srlE,treB,ulaA,ulaB,ulaC,xylF,xylG,xylH,yiaO,yjfF,yphD,ytfQ,ytfR,ytfT","araG,araH,exuT,fruA,fruB,fucP,gatA,gatB,gntU,mglA,nagE,ptsG,rbsB,rbsC,srlE,xylF,xylG,xylH,yiaO,ytfQ"
"7","GO:0019698",6,5,1.12,"0.00113","D-galacturonate catabolic process","kdgK,kduD,kduI,uxaA,uxaB,uxaC","kduD,kduI,uxaA,uxaB,uxaC"
"8","GO:0042956",4,4,0.75,"0.00120","maltodextrin transport","lamB,malF,malG,malK","lamB,malF,malG,malK"
"9","GO:0009409",14,8,2.62,"0.00144","response to cold","cspA,cspG,deaD,hscA,infC,lepA,lpxP,otsA,otsB,raiA,rbfA,rnr,typA,ybiT","cspA,cspG,deaD,lpxP,otsA,otsB,raiA,ybiT"
"10","GO:0044262",75,29,14.01,"0.00220","cellular carbohydrate metabolic process","aceA,aceB,aceK,acnB,araB,arnT,csrA,dctR,dgoD,dgoK,ebgA,eptC,fruK,fucK,galE,galT,galU,gatD,ghrB,gldA,glgA,glgB,glgC,glgS,glgX,glpK,gmhB,gntK,hybA,kdgK,kdsA,kdsB,kdsC,kdsD,lacZ,lgoD,lyxK,mak,malQ,malS,manA,mcbA,melA,mtlD,nagK,nanK,opgD,opgG,otsA,otsB,pfkA,pgm,phnN,prpB,ptsH,rbsK,rcsF,rffH,rhaB,rpe,suhB,tpiA,treA,treC,waaC,waaF,wecB,wecC,wzyE,wzzE,ygjK,yhjR,yjbE,yjbF,yjbG","aceA,aceB,araB,arnT,dctR,dgoD,dgoK,ebgA,fruK,fucK,galE,galT,gldA,glgA,glgB,glgC,glgS,glgX,glpK,gntK,lacZ,mcbA,melA,nanK,otsA,otsB,suhB,treA,ygjK"
"11","GO:0046352",7,5,1.31,"0.00334","disaccharide catabolic process","ebgA,lacZ,malQ,melA,treA,treC,ygjK","ebgA,lacZ,melA,treA,ygjK"
