,HM43_LB_rep2,HM43_UR_rep1,HM43_UTI,HM43_UR_rep2,HM43_LB_rep1,HM43_mouse
PROKKA_00001,0,0,0,0,0,0
PROKKA_00002,0,0,0,0,0,0
PROKKA_00003,0,0,0,0,0,0
PROKKA_00004,0,0,0,0,0,0
PROKKA_00005,0,0,0,0,0,0
PROKKA_00006,0,0,0,0,0,0
PROKKA_00007,0,0,0,0,0,0
PROKKA_00008,0,0,0,0,0,0
PROKKA_00009,0,0,0,0,0,0
PROKKA_00010,0,0,0,0,0,0
PROKKA_00011,0,0,0,0,0,0
PROKKA_00012,0,0,0,0,0,0
PROKKA_00013,0,0,0,0,0,0
PROKKA_00014,67,82,57,60,76,156
PROKKA_00015,17,79,70,53,45,86
PROKKA_00016,169,762,132,898,325,256
PROKKA_00017,20,78,10,77,63,20
PROKKA_00018,41,111,25,111,49,44
PROKKA_00019,77,159,20,162,74,63
PROKKA_00020,845,1449,94,1799,1487,161
PROKKA_00021,0,1,1,0,0,3
PROKKA_00022,31,131,6,132,49,42
PROKKA_00023,7492,6917,1298,4554,13667,1121
PROKKA_00024,303,406,70,243,540,71
PROKKA_00025,573,5504,5739,1417,1076,1629
PROKKA_00026,1014,5277,4214,1548,1810,1978
PROKKA_00027,1228,4002,5814,1484,1978,2424
PROKKA_00028,11604,12781,33,8200,19778,413
PROKKA_00029,34516,55079,110,45921,58565,1195
PROKKA_00030,2427,578,418,371,3848,128
PROKKA_00031,367,1245,66,1254,605,25
PROKKA_00032,539,1285,42,1292,900,44
PROKKA_00033,28463,96699,254,126932,46833,474
PROKKA_00034,2031,3366,38,2753,3513,146
PROKKA_00035,4060,12616,99,18969,6224,62
PROKKA_00036,36509,20472,1995,18067,63681,925
PROKKA_00037,27495,15704,254,14569,48199,411
PROKKA_00038,3724,1660,24,884,7161,82
PROKKA_00039,77,3,0,7,100,6
PROKKA_00040,822,1300,81,887,1201,60
PROKKA_00041,144,268,27,170,210,13
PROKKA_00042,566,893,798,925,976,1857
PROKKA_00043,78,203,349,126,228,1265
PROKKA_00044,130,229,561,205,195,3512
PROKKA_00046,107,96,103,96,135,854
PROKKA_00047,538,702,147,342,819,59
PROKKA_00048,919,7246,18,6522,1597,27
PROKKA_00049,2278,13271,59,7208,4027,99
PROKKA_00050,1627,9790,45,8465,2857,60
PROKKA_00051,580,2484,10,1862,894,15
PROKKA_00052,281,2259,5,2320,511,22
PROKKA_00053,1045,1143,532,609,1830,48
PROKKA_00054,2320,6909,294,6033,4171,361
PROKKA_00055,597,1540,9,2567,920,11
PROKKA_00056,184,580,35,408,278,44
PROKKA_00057,99,93,14,40,106,63
PROKKA_00058,88,66,8,78,112,21
PROKKA_00059,1167,1475,58,1953,2176,46
PROKKA_00060,9547,16951,444,24692,15848,361
PROKKA_00061,23,38,4,32,24,26
PROKKA_00062,59,119,9,82,103,33
PROKKA_00063,196,351,35,283,226,118
PROKKA_00064,15,51,6,57,51,8
PROKKA_00065,8,33,1,15,13,8
PROKKA_00066,8,48,4,19,13,30
PROKKA_00067,245,342,87,193,371,172
PROKKA_00068,2197,27938,15573,11569,3774,1837
PROKKA_00069,2243,4040,557,2321,4133,200
PROKKA_00070,375,744,12,607,551,9
PROKKA_00071,794,4204,220,2531,1348,89
PROKKA_00072,239,1333,102,855,450,18
PROKKA_00073,12093,19920,2947,29238,19034,815
PROKKA_00074,228,856,508,475,373,81
PROKKA_00075,10992,10755,60,10806,18918,139
PROKKA_00076,5190,5068,20,4440,9057,54
PROKKA_00077,314,418,2,669,612,4
PROKKA_00078,1738,2352,20,4904,2725,28
PROKKA_00079,3466,4812,40,10774,5833,61
PROKKA_00080,1127,1369,242,844,2091,47
PROKKA_00081,46,105,23,162,62,6
PROKKA_00082,3779,2280,1165,2153,6240,472
PROKKA_00083,278,403,91,231,431,77
PROKKA_00084,309,799,60,462,452,52
PROKKA_00085,10799,6015,356,9027,18183,111
PROKKA_00086,2781,3473,2519,2429,4590,348
PROKKA_00087,1308,2521,851,1432,2275,184
PROKKA_00088,1820,4975,61,8555,2902,67
PROKKA_00089,819,2303,240,2367,1561,93
PROKKA_00090,6288,39840,2336,84694,9599,653
PROKKA_00091,4982,2936,1259,1634,8200,294
PROKKA_00092,9261,8264,133,14066,16275,170
PROKKA_00093,2572,5880,208,5861,4313,61
PROKKA_00094,256,838,118,756,418,86
PROKKA_00095,156,368,118,653,273,52
PROKKA_00097,2400,2580,626,1337,4049,185
PROKKA_00098,12844,9800,61,10493,23367,84
PROKKA_00099,2816,9681,186,16255,4563,70
PROKKA_00100,5217,18531,280,26558,9525,164
PROKKA_00101,769,894,181,820,1371,71
PROKKA_00102,5047,7427,1569,6376,8794,941
PROKKA_00103,1256,6314,3363,14783,2083,361
PROKKA_00104,273,445,5,856,481,13
PROKKA_00105,3180,2457,78,4035,5685,63
PROKKA_00106,1609,4930,331,4655,2629,268
PROKKA_00107,1920,5043,510,3077,3167,509
PROKKA_00108,742,976,87,557,1180,46
PROKKA_00109,307,420,48,330,485,16
PROKKA_00110,1911,2550,520,1598,3370,235
PROKKA_00111,3628,3353,937,4796,6122,535
PROKKA_00112,533,823,337,850,851,142
PROKKA_00113,2983,2862,107,2240,5199,82
PROKKA_00114,478,463,28,804,786,17
PROKKA_00115,6325,4307,494,5642,11739,466
PROKKA_00117,171,361,33,376,325,94
PROKKA_00118,22498,11067,581,23379,36052,902
PROKKA_00119,309,434,17,212,473,23
PROKKA_00120,2092,946,1018,497,3508,415
PROKKA_00121,1391,2246,401,1433,2526,120
PROKKA_00122,1038,2398,2,2879,1664,10
PROKKA_00124,1397,4846,195,5605,2464,118
PROKKA_00125,2735,7427,308,8309,5069,193
PROKKA_00126,4181,10735,95,4766,7014,44
PROKKA_00127,1027,2203,170,3758,1992,169
PROKKA_00128,162,337,40,203,367,87
PROKKA_00129,98,328,30,368,136,84
PROKKA_00130,206,583,103,386,318,131
PROKKA_00132,981,8019,1450,4856,1640,349
PROKKA_00133,131,1347,340,522,238,118
PROKKA_00134,25641,26699,5377,27274,42370,2865
PROKKA_00135,12023,25456,1505,35946,20414,1666
PROKKA_00136,8208,12663,635,7564,15408,215
PROKKA_00137,2007,1536,440,861,3369,394
PROKKA_00138,6434,7426,751,7712,11034,383
PROKKA_00139,663,1129,234,867,1116,143
PROKKA_00140,2495,4564,131,4416,4152,112
PROKKA_00141,1373,2538,58,2337,2248,65
PROKKA_00142,442,613,28,629,815,30
PROKKA_00143,1072,3214,161,3566,1847,148
PROKKA_00144,11488,19352,1283,10605,19182,501
PROKKA_00145,5380,7492,858,6933,8810,584
PROKKA_00146,1324,680,249,501,2223,90
PROKKA_00147,1631,1115,327,851,2760,116
PROKKA_00148,1233,616,201,273,2030,78
PROKKA_00149,19,60,9,73,58,17
PROKKA_00150,67,105,8,77,126,12
PROKKA_00151,5,3,3,3,14,1
PROKKA_00152,105,173,21,127,190,31
PROKKA_00153,99,130,8,64,179,18
PROKKA_00154,100,98,12,66,205,10
PROKKA_00155,201,155,12,89,331,24
PROKKA_00156,85,55,9,27,85,5
PROKKA_00157,8,10,1,15,39,5
PROKKA_00158,46,40,8,32,103,22
PROKKA_00159,46,51,13,34,110,21
PROKKA_00160,49,82,9,27,74,14
PROKKA_00161,7940,3242,448,3275,14467,238
PROKKA_00162,365,757,286,901,622,48
PROKKA_00163,290,409,225,669,469,35
PROKKA_00164,484,1108,1134,2182,868,72
PROKKA_00165,7474,13134,8391,29565,11341,1050
PROKKA_00166,459,858,166,658,856,102
PROKKA_00167,832,829,220,500,1172,80
PROKKA_00168,952,1160,284,1246,1739,133
PROKKA_00169,526,568,124,739,848,59
PROKKA_00170,383,413,58,384,708,60
PROKKA_00171,1032,1378,274,1389,1786,118
PROKKA_00172,689,790,198,1006,1201,70
PROKKA_00173,942,1855,122,1886,1616,96
PROKKA_00174,141,269,23,326,248,9
PROKKA_00175,264,553,108,332,482,82
PROKKA_00176,9,8,4,8,24,12
PROKKA_00177,332,646,83,412,626,171
PROKKA_00178,219,200,99,144,378,81
PROKKA_00179,441,740,238,415,872,152
PROKKA_00180,7862,3793,2119,2289,13546,631
PROKKA_00181,532,424,366,189,1057,143
PROKKA_00182,7242,1840,4573,744,13061,600
PROKKA_00183,22395,25373,285,55351,36895,378
PROKKA_00184,1267,8316,1565,5801,2001,176
PROKKA_00185,787,3362,1198,2434,1271,176
PROKKA_00186,5818,16175,447,37026,10025,433
PROKKA_00187,4885,489,627,180,8126,158
PROKKA_00188,5732,613,712,242,10139,269
PROKKA_00189,1729,4046,585,2921,2773,413
PROKKA_00190,1237,3288,366,2841,2491,196
PROKKA_00191,2019,4167,295,3427,3651,315
PROKKA_00192,1715,1212,358,843,2986,147
PROKKA_00193,21887,26703,450,35580,38269,733
PROKKA_00195,1161,1754,142,2260,1855,82
PROKKA_00196,5655,7184,348,11041,9420,308
PROKKA_00197,5215,8157,2419,5513,8875,655
PROKKA_00198,27872,14094,7933,10511,48570,2494
PROKKA_00199,1841,886,144,754,3000,129
PROKKA_00200,16921,16932,1793,10792,27507,784
PROKKA_00201,2110,3183,566,1664,3747,200
PROKKA_00202,1637,2215,231,1322,2605,124
PROKKA_00203,2075,2006,1505,1900,3699,543
PROKKA_00204,258,600,116,566,535,131
PROKKA_00205,478,1084,140,1255,725,100
PROKKA_00206,4248,5486,1357,6735,7241,368
PROKKA_00207,2540,3189,412,1778,4441,291
