,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3946,1068.09482044744,3.99068069963152,0.415087267865948,9.61407638482496,6.97323448175825e-22,1.83884193283965e-18
b2162,1464.95384545979,3.77595906380077,0.653967798992158,5.77392200291813,7.74472977882918e-09,6.58801691186211e-07
b1172,416.473668416858,3.36331920454217,1.0845469584009,3.10112824390858,0.00192784776676215,0.019040204348134
b4484,716.751010968564,3.05037521892723,1.09345477928327,2.78966746199296,0.00527622025969056,0.0379111521111826
b4106,7.51501556046011,2.94784630080009,0.928452303310622,3.17501102672569,0.00149830807505837,0.0160611316826379
b1797,8227.76967402675,2.77462107438116,0.610801999826293,4.54258675506995,5.55681160007105e-06,0.000183166402367342
b3945,3654.57601201135,2.40082168491648,0.415698152751458,5.77539656846132,7.67720491511694e-09,6.58801691186211e-07
b3670,1334.71457999203,2.35727679824384,0.833901000688058,2.82680653494699,0.00470147225089087,0.0351187470764725
b2958,969.908134347654,2.3257546426931,0.247970134944933,9.3791723878748,6.64925855303772e-21,8.76704740218023e-18
b1756,108.759383780238,2.18926958448323,0.324506083822227,6.74646699592409,1.51488505573711e-11,5.7067884171125e-09
b0311,3771.25850703088,2.12327223756864,0.496461743729565,4.27680937028099,1.89591018200035e-05,0.000490148544111267
b3061,41.2676013154011,2.05229247065257,0.681167924187312,3.01290239569211,0.00258762127225139,0.0233557087392953
b3771,15347.1925108363,2.01765284967815,0.713951127250724,2.82603776738571,0.00471277071044692,0.0351187470764725
b3552,427.93588021799,2.00887533487024,0.596998859351538,3.36495673886594,0.000765556612908599,0.00943351770205596
b4116,208.060765341879,-2.00062993477433,0.598813009670967,-3.34099276813245,0.000834793974349815,0.0100979436255067
b1082,557.40397845777,-2.00068259754146,0.600288636050812,-3.33286768629102,0.00085955809691804,0.0103500214683693
b3491,454.364797430894,-2.05070957996711,0.58910951225244,-3.48103287642784,0.000499484178869925,0.00682455844393778
b1882,572.509874056213,-2.07487893968159,0.570744340741974,-3.63539117529264,0.000277559145598103,0.00433090808841537
b1883,507.911773940669,-2.0767113873797,0.700223271697511,-2.96578458802896,0.0030191187273031,0.0257984551366643
b3072,804.669698227229,-2.08184995445633,0.451751334683503,-4.60839801594582,4.05783323957076e-06,0.000144601435847947
b1480,10853.3499267665,-2.08772100885502,0.535158461542286,-3.9011267855849,9.57459861133541e-05,0.00189836214572116
b1884,123.554564340312,-2.12097529220289,0.609081503075345,-3.48225201634554,0.000497215510183936,0.00682455844393778
b4358,36.9006663459725,-2.13302095343523,0.382634084283459,-5.57457121842568,2.48140278228047e-08,1.81762753802045e-06
b0207,526.792969607407,-2.18442308012654,0.726151899375226,-3.00821781504118,0.00262784719483744,0.0235502665095669
b0325,1174.47333295486,-2.18940985592266,0.489397620811534,-4.47368308062493,7.68836695758206e-06,0.000235746786827255
b1881,298.741283452284,-2.19524898656782,0.578721112900801,-3.79327613531202,0.000148672667156922,0.00267907554995374
b3513,585.145192071468,-2.23372453296963,0.624557687232339,-3.57649033649421,0.000348238183548514,0.00513019044702476
b3562,270.542120855715,-2.2347725580334,0.706273744040869,-3.16417334905782,0.00155524132995898,0.0164046855484073
b1742,53.528627632369,-2.34534212519371,0.499653854679453,-4.69393381683873,2.68000770358946e-06,0.000108725850990237
b3515,752.731955901715,-2.41476656572584,0.435234379121829,-5.54819812395819,2.88628701809323e-08,2.05706455857077e-06
b1890,253.60759828437,-2.47921064613398,0.836946308018247,-2.96220990806966,0.00305439476372454,0.0258155095895565
b2877,105.343549032236,-2.50860659093192,0.295222048615544,-8.49735513555348,1.93959331038348e-17,1.70490251982708e-14
b3512,1145.93384453315,-2.54254651748955,0.816135465930557,-3.11534864446865,0.00183727610486002,0.0185628240939305
b3646,305.65528906171,-2.55691731921887,0.547700241435339,-4.6684611869406,3.0346409148305e-06,0.000119438031229971
b1862,83.7758327416824,-2.69872793349296,0.459870335512938,-5.86845405125513,4.39877263795245e-09,3.99984946423469e-07
b1889,335.831151046862,-2.81652416241628,0.744408795013847,-3.78357185095306,0.000154593668713349,0.00271775669598068
b1926,135.310352586815,-3.01526237980817,0.772289134872597,-3.90431801206887,9.44914646138832e-05,0.00188768175899098
b4506,46.2173253899239,-3.0278563759929,0.579062594876402,-5.22889304676842,1.70527975140748e-07,1.02200516010489e-05
b1888,624.711956375738,-3.03807752134801,0.755487476247617,-4.02134729808845,5.7866215033922e-05,0.00123059039551978
b1194,153.901197631619,-3.09429931313542,0.820398724278275,-3.77170176106448,0.000162137979156136,0.00283000514242414
b1925,257.580837627,-3.26081164805363,0.75692629066304,-4.30796457763051,1.64763763426273e-05,0.000439786687161191
b2243,768.422858891673,-3.49428989269188,0.498446785414808,-7.01035696274765,2.37710853752178e-12,1.04473920224082e-09
b3525,458.522714736159,-3.55413514821997,0.863489476784697,-4.11601443187728,3.85480178950005e-05,0.000899567461850587
b2242,400.925931381023,-3.56017983797859,0.567076901166208,-6.27812529598189,3.42679717976367e-10,6.36898366093743e-08
