,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3946,61.1424213829074,4.8707421840831,0.624181176422611,7.803410881435,6.02559615165683e-15,7.64648151645252e-12
b3078,23.0308766322447,4.41933939299672,0.995705387892499,4.43840060195983,9.06298206264992e-06,0.000741995112096951
b4671,15.1161534776825,4.23441258325985,1.36864390510672,3.09387457720763,0.00197560986336346,0.040976833149962
b2162,7.78005120198775,4.00126573142015,1.05328959818806,3.79882772819877,0.000145382096815032,0.00576530877682111
b2870,18.9663700068932,3.87591191672519,1.09770804923133,3.53091326918782,0.000414127515692832,0.0133045017066887
b4322,595.160257120121,3.84903297567352,0.498536302889185,7.72066738844712,1.15722169281586e-14,9.79009552122215e-12
b0063,37.9518564092683,3.60911890692927,1.08292040608828,3.33276470425569,0.00085987629897932,0.0226925367426824
b0698,20.3014686850725,3.55791286319838,0.905191046329662,3.93056568292946,8.47462374496019e-05,0.0037734377306507
b3077,13.7103969703184,3.54205212336231,0.882230766538057,4.01488165875421,5.94756291746623e-05,0.00288467415477772
b0294,75.1499285958637,3.46424995558869,0.911713679858136,3.79971259850761,0.000144863991481517,0.00576530877682111
b3225,187.176186646581,3.35787322682492,0.658188060257108,5.10169270696469,3.36629015774186e-07,5.33977776271803e-05
b4181,28.6764737768279,3.26880529103981,1.01292128252894,3.22710693063792,0.00125048719142663,0.0296610887087924
b4033,40.3906025549314,3.20299755738439,0.856327887568523,3.74038683532666,0.000183737256986118,0.00717423320355027
b3092,170.049005999656,3.10416673984522,0.645692116046362,4.80750293011528,1.52827179814918e-06,0.000191422645820639
b3674,15.7402404899038,3.07149882666381,0.676179428106137,4.54243163721581,5.5609032742655e-06,0.000486674914140891
b0697,16.6672629831848,3.02871911654751,0.941375310787647,3.21733434246686,0.00129387722129927,0.0304061147005328
b0616,36.9070759322762,2.9825739118251,0.933721041841062,3.19428799199407,0.00140176202535008,0.0317649287530224
b1972,37.0010428085384,2.97789830481234,0.968019968279334,3.07627776532914,0.00209602485838047,0.0412380704695319
b3076,122.860669091963,2.84513866054998,0.609867204316079,4.66517733764777,3.08350994312117e-06,0.00028461229646543
b3091,81.0167783991121,2.77992932947201,0.638715694433794,4.35237360487338,1.34671514139644e-05,0.000949434174684489
b2253,41.6341435342642,2.77809721921549,0.445733021063981,6.23264844184994,4.58614614071024e-10,2.32792778102452e-07
b0344,41.8109390301679,2.7535428460964,0.912940801005819,3.01612420330292,0.00256028362480514,0.0477794105864371
b0366,11.009008003635,2.68385339520647,0.835510557493373,3.21223157641279,0.00131708162492226,0.0305370634774601
b1412,258.563387278088,2.58239247070917,0.814639573599476,3.16998161444441,0.00152448583420402,0.0342402216567239
b4183,11.9600000972533,2.57822944204526,0.791437144257441,3.25765534351343,0.00112336753810287,0.0285110681170508
