,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b4182,112.0,7.0,187.0,14.0,245.0,24.0,239.0,9.0,37.0,4.0,474.0,23.0,81.0,44.0,98.0,21.0,145.0,33.0,163.0,21.0,50.0,3.0,135.0,2.0,74.0,5.0,73.0,19.0
b1960,135.0,57.0,327.0,111.0,274.0,53.0,408.0,17.0,302.0,169.0,263.0,31.0,145.0,69.0,150.0,102.0,117.0,164.0,126.0,23.0,103.0,8.0,98.0,2.0,285.0,50.0,121.0,79.0
b2866,2813.0,53.0,915.0,17.0,2142.0,92.0,1181.0,20.0,760.0,19.0,1750.0,9.0,693.0,98.0,2576.0,43.0,3001.0,60.0,1512.0,26.0,589.0,5.0,1778.0,4.0,275.0,8.0,1157.0,20.0
b0328,582.0,2.0,835.0,21.0,210.0,53.0,1050.0,4.0,717.0,32.0,524.0,1.0,183.0,134.0,561.0,12.0,414.0,18.0,412.0,12.0,1088.0,21.0,1018.0,4.0,72.0,5.0,273.0,6.0
b1660,1061.0,561.0,2947.0,1844.0,2983.0,1002.0,2904.0,285.0,2490.0,1101.0,1311.0,50.0,820.0,238.0,1818.0,1765.0,757.0,1426.0,500.0,105.0,673.0,126.0,703.0,4.0,1808.0,303.0,636.0,344.0
b1815,122.0,15.0,264.0,15.0,163.0,14.0,342.0,7.0,196.0,23.0,98.0,1.0,160.0,23.0,124.0,29.0,147.0,33.0,256.0,9.0,94.0,3.0,101.0,3.0,134.0,17.0,115.0,24.0
b0784,613.0,47.0,632.0,89.0,887.0,93.0,694.0,24.0,875.0,83.0,491.0,4.0,482.0,57.0,284.0,62.0,244.0,171.0,424.0,5.0,300.0,5.0,136.0,1.0,328.0,14.0,243.0,81.0
b0796,964.0,89.0,768.0,142.0,532.0,218.0,681.0,56.0,557.0,193.0,693.0,27.0,1147.0,314.0,880.0,282.0,522.0,394.0,974.0,26.0,538.0,23.0,777.0,2.0,1950.0,80.0,533.0,162.0
b2505,144.0,8.0,194.0,16.0,373.0,38.0,392.0,6.0,110.0,23.0,162.0,5.0,69.0,23.0,131.0,41.0,106.0,39.0,92.0,6.0,49.0,3.0,101.0,2.0,402.0,2.0,64.0,23.0
b0400,877.0,769.0,975.0,307.0,1428.0,343.0,1570.0,106.0,881.0,230.0,1226.0,71.0,862.0,587.0,610.0,502.0,579.0,560.0,856.0,37.0,382.0,36.0,537.0,8.0,1794.0,114.0,468.0,383.0
