,genome,sample,attr,total_reads,mapped,percent_mapped
HM01_UR_trimmed_,HM01,UR,NaN,17288419,16480326,0.9532581319321333
HM01_UTI_trimmed_,HM01,UTI,NaN,18496607,3717040,0.20095793785314248
HM03_UR_trimmed_,HM03,UR,NaN,21354719,20927541,0.979996084237868
HM03_UTI_trimmed_,HM03,UTI,NaN,16544044,8059076,0.4871285400353142
HM06_UR_trimmed_,HM06,UR,NaN,23359847,22847374,0.9780617998054525
HM06_UTI_seq1_trimmed_,HM06,UTI,seq1,39137054,3174845,0.0811212054949256
HM06_UTI_seq2_trimmed_,HM06,UTI,seq2,18856465,1534247,0.08136450814084188
HM06_UTI_trimmed_,HM06,UTI,NaN,57993519,4709092,0.08120031481448815
HM07_UR_trimmed_,HM07,UR,NaN,21312224,20980473,0.9844337690895141
HM07_UTI_seq1_trimmed_,HM07,UTI,seq1,47930382,1414000,0.029501121021735233
HM07_UTI_seq2_trimmed_,HM07,UTI,seq2,22874306,683350,0.02987413038891759
HM07_UTI_trimmed_,HM07,UTI,NaN,70804688,2097350,0.029621626183848164
HM14_UR_trimmed_,HM14,UR,NaN,21927302,21533817,0.9820550198104627
HM14_UTI_trimmed_,HM14,UTI,NaN,15944762,12968218,0.813321515868346
HM17_UR_trimmed_,HM17,UR,NaN,19790215,19360294,0.9782760823972857
HM17_UTI_trimmed_,HM17,UTI,NaN,23874585,1842583,0.07717759282517371
HM43_UR_trimmed_,HM43,UR,NaN,18541484,18239826,0.9837306442138073
HM43_UTI_seq1_trimmed_,HM43,UTI,seq1,39931918,5569797,0.13948233090131057
HM43_UTI_seq2_trimmed_,HM43,UTI,seq2,18374941,2568762,0.13979702030063662
HM43_UTI_trimmed_,HM43,UTI,NaN,58306859,8138559,0.1395815027525321
HM54_UR_trimmed_,HM54,UR,NaN,21612581,21162544,0.9791770820893627
HM54_UTI_trimmed_,HM54,UTI,NaN,18000843,6301998,0.35009460390271724
HM56_UR_trimmed_,HM56,UR,NaN,17494135,17130847,0.9792337260459005
HM56_UTI_trimmed_,HM56,UTI,NaN,25408755,14935948,0.5878268337035797
HM57_UR_trimmed_,HM57,UR,NaN,19253078,18966748,0.9851280922458217
HM57_UTI_seq1_trimmed_,HM57,UTI,seq1,33841581,301746,0.008916427397407941
HM57_UTI_seq2_trimmed_,HM57,UTI,seq2,71788235,625049,0.008706844512892676
HM57_UTI_trimmed_,HM57,UTI,NaN,105629816,926795,0.008773990480112168
HM60_UR_trimmed_,HM60,UR,NaN,15898045,15651916,0.9845182851098987
HM60_UTI_seq1_trimmed_,HM60,UTI,seq1,24359564,268585,0.011025854157323997
HM60_UTI_seq2_trimmed_,HM60,UTI,seq2,51790273,495670,0.009570716107250486
HM60_UTI_trimmed_,HM60,UTI,NaN,76149837,764255,0.010036200077486705
HM66_UR_trimmed_,HM66,UR,NaN,17184018,16736066,0.9739320571009644
HM66_UTI_trimmed_,HM66,UTI,NaN,25954183,79859,0.003076922128506222
HM68_UR_trimmed_,HM68,UR,NaN,15841639,15562711,0.9823927309541646
HM68_UTI_seq1_trimmed_,HM68,UTI,seq1,20215917,746901,0.03694618453370183
HM68_UTI_seq2_trimmed_,HM68,UTI,seq2,45198014,1654188,0.03659868772110208
HM68_UTI_trimmed_,HM68,UTI,NaN,65413931,2401089,0.03670608023847397
HM86_UR_trimmed_,HM86,UR,NaN,15019669,14606346,0.9724812177951458
HM86_UTI_trimmed_,HM86,UTI,NaN,10667404,6413794,0.6012516259813541
