gene_id	genome	contig	contig_location
15318_rplY	HM14	1	2187722
15318_rplY	HM17	1	4277885
15318_rplY	HM1	1	1891947
15318_rplY	HM3	1	533255
15318_rplY	HM43	1	4008311
15318_rplY	HM54	1	4125583
15318_rplY	HM56	1	2465321
15318_rplY	HM57	1	1042979
15318_rplY	HM66	1	989321
15318_rplY	HM68	1	1619874
15318_rplY	HM6	1	965244
15318_rplY	HM7	1	1601465
15318_rplY	HM86	1	2443664
15448_prmB	HM14	1	2334978
15448_prmB	HM17	1	4120997
15448_prmB	HM1	1	2055319
15448_prmB	HM3	1	681759
15448_prmB	HM43	1	3853147
15448_prmB	HM54	1	4381026
15448_prmB	HM56	1	2306664
15448_prmB	HM57	1	1199224
15448_prmB	HM66	1	1146641
15448_prmB	HM68	1	1777462
15448_prmB	HM6	1	1121721
15448_prmB	HM7	1	1748704
15448_prmB	HM86	1	2287084
15746_rplS	HM14	1	2615289
15746_rplS	HM17	1	3844099
15746_rplS	HM1	1	2346970
15746_rplS	HM3	1	1004533
15746_rplS	HM43	1	3586594
15746_rplS	HM54	1	4667374
15746_rplS	HM54	2	582330
15746_rplS	HM56	1	1998859
15746_rplS	HM57	1	1515970
15746_rplS	HM66	1	1418128
15746_rplS	HM68	1	2045420
15746_rplS	HM6	1	1397486
15746_rplS	HM7	1	2027175
15746_rplS	HM86	1	2013038
15749_rpsP	HM14	1	2617043
15749_rpsP	HM17	1	3842444
15749_rpsP	HM1	1	2348724
15749_rpsP	HM3	1	1006287
15749_rpsP	HM43	1	3584939
15749_rpsP	HM54	1	4669128
15749_rpsP	HM54	2	580675
15749_rpsP	HM56	1	1997204
15749_rpsP	HM57	1	1517724
15749_rpsP	HM66	1	1419881
15749_rpsP	HM68	1	2047174
15749_rpsP	HM6	1	1399240
15749_rpsP	HM7	1	2028929
15749_rpsP	HM86	1	2011384
16202_rpsU	HM14	1	3131570
16202_rpsU	HM17	1	3284486
16202_rpsU	HM1	1	2884476
16202_rpsU	HM3	1	1476149
16202_rpsU	HM43	1	3054910
16202_rpsU	HM54	1	64272
16202_rpsU	HM56	1	1469449
16202_rpsU	HM57	1	2099403
16202_rpsU	HM66	1	1934684
16202_rpsU	HM68	1	2554561
16202_rpsU	HM6	1	2035697
16202_rpsU	HM7	1	2583389
16202_rpsU	HM86	1	1406733
16302_rpsO	HM14	1	3215749
16302_rpsO	HM17	1	3190772
16302_rpsO	HM1	1	2982763
16302_rpsO	HM3	1	1583587
16302_rpsO	HM43	1	2961307
16302_rpsO	HM54	1	163906
16302_rpsO	HM56	1	1374616
16302_rpsO	HM57	1	2193070
16302_rpsO	HM66	1	2034363
16302_rpsO	HM68	1	2648790
16302_rpsO	HM6	1	2130178
16302_rpsO	HM7	1	2694235
16302_rpsO	HM86	1	1307250
16321_rpmA	HM14	1	3237047
16321_rpmA	HM17	1	3169486
16321_rpmA	HM1	1	3004058
16321_rpmA	HM3	1	1606326
16321_rpmA	HM43	1	2940020
16321_rpmA	HM54	1	185227
16321_rpmA	HM56	1	1353330
16321_rpmA	HM57	1	2214370
16321_rpmA	HM66	1	2055660
16321_rpmA	HM68	1	2670090
16321_rpmA	HM6	1	2151478
16321_rpmA	HM7	1	2715530
16321_rpmA	HM86	1	1285966
16322_rplU	HM14	1	3237325
16322_rplU	HM17	1	3169154
16322_rplU	HM1	1	3004336
16322_rplU	HM3	1	1606604
16322_rplU	HM43	1	2939688
16322_rplU	HM54	1	185505
16322_rplU	HM56	1	1352998
16322_rplU	HM57	1	2214648
16322_rplU	HM66	1	2055938
16322_rplU	HM68	1	2670368
16322_rplU	HM6	1	2151756
16322_rplU	HM7	1	2715808
16322_rplU	HM86	1	1285634
16361_rpsI	HM14	1	3274969
16361_rpsI	HM17	1	3134408
16361_rpsI	HM1	1	3041975
16361_rpsI	HM3	1	1644250
16361_rpsI	HM43	1	2903640
16361_rpsI	HM54	1	220168
16361_rpsI	HM56	1	1318251
16361_rpsI	HM57	1	2249314
16361_rpsI	HM66	1	2090601
16361_rpsI	HM68	1	2705036
16361_rpsI	HM6	1	2186421
16361_rpsI	HM7	1	2753453
16361_rpsI	HM86	1	1249584
16362_rplM	HM14	1	3275377
16362_rplM	HM17	1	3133964
16362_rplM	HM1	1	3042383
16362_rplM	HM3	1	1644658
16362_rplM	HM43	1	2903196
16362_rplM	HM54	1	220576
16362_rplM	HM56	1	1317807
16362_rplM	HM57	1	2249722
16362_rplM	HM66	1	2091009
16362_rplM	HM68	1	2705444
16362_rplM	HM6	1	2186829
16362_rplM	HM7	1	2753861
16362_rplM	HM86	1	1249140
16417_rplQ	HM14	1	3336494
16417_rplQ	HM17	1	3064482
16417_rplQ	HM1	1	3104005
16417_rplQ	HM3	1	1705773
16417_rplQ	HM43	1	2833709
16417_rplQ	HM54	1	290104
16417_rplQ	HM56	1	1246783
16417_rplQ	HM57	1	2320566
16417_rplQ	HM66	1	2160537
16417_rplQ	HM68	1	2774968
16417_rplQ	HM6	1	2256357
16417_rplQ	HM7	1	2814970
16417_rplQ	HM86	1	1179662
16419_rpsD	HM14	1	3337933
16419_rpsD	HM17	1	3062806
16419_rpsD	HM1	1	3105444
16419_rpsD	HM3	1	1707212
16419_rpsD	HM43	1	2832033
16419_rpsD	HM54	1	291543
16419_rpsD	HM56	1	1245107
16419_rpsD	HM57	1	2322005
16419_rpsD	HM66	1	2161976
16419_rpsD	HM68	1	2776407
16419_rpsD	HM6	1	2257796
16419_rpsD	HM7	1	2816409
16419_rpsD	HM86	1	1177986
16420_rpsK	HM14	1	3338587
16420_rpsK	HM17	1	3062383
16420_rpsK	HM1	1	3106098
16420_rpsK	HM3	1	1707866
16420_rpsK	HM43	1	2831610
16420_rpsK	HM54	1	292197
16420_rpsK	HM56	1	1244684
16420_rpsK	HM57	1	2322659
16420_rpsK	HM66	1	2162630
16420_rpsK	HM68	1	2777061
16420_rpsK	HM6	1	2258450
16420_rpsK	HM7	1	2817063
16420_rpsK	HM86	1	1177563
16421_rpsM	HM14	1	3338993
16421_rpsM	HM17	1	3062010
16421_rpsM	HM1	1	3106504
16421_rpsM	HM3	1	1708272
16421_rpsM	HM43	1	2831237
16421_rpsM	HM54	1	292603
16421_rpsM	HM56	1	1244311
16421_rpsM	HM57	1	2323065
16421_rpsM	HM66	1	2163036
16421_rpsM	HM68	1	2777467
16421_rpsM	HM6	1	2258856
16421_rpsM	HM7	1	2817469
16421_rpsM	HM86	1	1177190
16422_rpmJ	HM14	1	3339496
16422_rpmJ	HM17	1	3061747
16422_rpmJ	HM1	1	3107007
16422_rpmJ	HM3	1	1708775
16422_rpmJ	HM43	1	2830974
16422_rpmJ	HM54	1	293106
16422_rpmJ	HM56	1	1244048
16422_rpmJ	HM57	1	2323568
16422_rpmJ	HM66	1	2163539
16422_rpmJ	HM68	1	2777970
16422_rpmJ	HM6	1	2259359
16422_rpmJ	HM7	1	2817972
16422_rpmJ	HM86	1	1176927
16424_rplO	HM14	1	3340983
16424_rplO	HM17	1	3059943
16424_rplO	HM1	1	3108494
16424_rplO	HM3	1	1710262
16424_rplO	HM43	1	2829169
16424_rplO	HM54	1	294593
16424_rplO	HM56	1	1242243
16424_rplO	HM57	1	2325055
16424_rplO	HM66	1	2165026
16424_rplO	HM68	1	2779457
16424_rplO	HM6	1	2260846
16424_rplO	HM7	1	2819457
16424_rplO	HM86	1	1175123
16425_rpmD	HM14	1	3341421
16425_rpmD	HM17	1	3059760
16425_rpmD	HM1	1	3108932
16425_rpmD	HM3	1	1710700
16425_rpmD	HM43	1	2828986
16425_rpmD	HM54	1	295031
16425_rpmD	HM56	1	1242060
16425_rpmD	HM57	1	2325493
16425_rpmD	HM66	1	2165464
16425_rpmD	HM68	1	2779895
16425_rpmD	HM6	1	2261284
16425_rpmD	HM7	1	2819895
16425_rpmD	HM86	1	1174940
16426_rpsE	HM14	1	3341604
16426_rpsE	HM17	1	3059253
16426_rpsE	HM1	1	3109115
16426_rpsE	HM3	1	1710883
16426_rpsE	HM43	1	2828479
16426_rpsE	HM54	1	295214
16426_rpsE	HM56	1	1241553
16426_rpsE	HM57	1	2325676
16426_rpsE	HM66	1	2165647
16426_rpsE	HM68	1	2780078
16426_rpsE	HM6	1	2261467
16426_rpsE	HM7	1	2820078
16426_rpsE	HM86	1	1174433
16427_rplR	HM14	1	3342122
16427_rplR	HM17	1	3058885
16427_rplR	HM1	1	3109633
16427_rplR	HM3	1	1711401
16427_rplR	HM43	1	2828111
16427_rplR	HM54	1	295732
16427_rplR	HM56	1	1241185
16427_rplR	HM57	1	2326194
16427_rplR	HM68	1	2780596
16427_rplR	HM6	1	2261985
16427_rplR	HM7	1	2820596
16427_rplR	HM86	1	1174065
16428_rplF	HM14	1	3342485
16428_rplF	HM17	1	3058342
16428_rplF	HM1	1	3109996
16428_rplF	HM3	1	1711764
16428_rplF	HM43	1	2827568
16428_rplF	HM54	1	296095
16428_rplF	HM56	1	1240642
16428_rplF	HM57	1	2326557
16428_rplF	HM66	1	2166527
16428_rplF	HM68	1	2780959
16428_rplF	HM6	1	2262348
16428_rplF	HM7	1	2820959
16428_rplF	HM86	1	1173522
16429_rpsH	HM14	1	3343031
16429_rpsH	HM17	1	3057937
16429_rpsH	HM1	1	3110542
16429_rpsH	HM3	1	1712310
16429_rpsH	HM43	1	2827163
16429_rpsH	HM54	1	296641
16429_rpsH	HM56	1	1240237
16429_rpsH	HM57	1	2327103
16429_rpsH	HM66	1	2167073
16429_rpsH	HM68	1	2781505
16429_rpsH	HM6	1	2262894
16429_rpsH	HM7	1	2821505
16429_rpsH	HM86	1	1173117
16430_rpsN	HM14	1	3343457
16430_rpsN	HM17	1	3057598
16430_rpsN	HM1	1	3110968
16430_rpsN	HM3	1	1712736
16430_rpsN	HM43	1	2826824
16430_rpsN	HM54	1	297067
16430_rpsN	HM56	1	1239898
16430_rpsN	HM57	1	2327529
16430_rpsN	HM66	1	2167499
16430_rpsN	HM68	1	2781931
16430_rpsN	HM6	1	2263320
16430_rpsN	HM7	1	2821931
16430_rpsN	HM86	1	1172778
16431_rplE	HM14	1	3343777
16431_rplE	HM17	1	3057044
16431_rplE	HM1	1	3111288
16431_rplE	HM3	1	1713056
16431_rplE	HM43	1	2826270
16431_rplE	HM54	1	297387
16431_rplE	HM56	1	1239344
16431_rplE	HM57	1	2327849
16431_rplE	HM66	1	2167819
16431_rplE	HM68	1	2782251
16431_rplE	HM6	1	2263640
16431_rplE	HM7	1	2822251
16431_rplE	HM86	1	1172224
16432_rplX	HM14	1	3344331
16432_rplX	HM17	1	3056715
16432_rplX	HM1	1	3111842
16432_rplX	HM3	1	1713610
16432_rplX	HM43	1	2825941
16432_rplX	HM54	1	297941
16432_rplX	HM56	1	1239015
16432_rplX	HM57	1	2328403
16432_rplX	HM66	1	2168373
16432_rplX	HM68	1	2782805
16432_rplX	HM6	1	2264194
16432_rplX	HM7	1	2822805
16432_rplX	HM86	1	1171895
16433_rplN	HM14	1	3344656
16433_rplN	HM17	1	3056333
16433_rplN	HM1	1	3112167
16433_rplN	HM3	1	1713935
16433_rplN	HM43	1	2825559
16433_rplN	HM54	1	298266
16433_rplN	HM56	1	1238633
16433_rplN	HM57	1	2328728
16433_rplN	HM66	1	2168698
16433_rplN	HM68	1	2783130
16433_rplN	HM6	1	2264519
16433_rplN	HM7	1	2823130
16433_rplN	HM86	1	1171513
16434_rpsQ	HM14	1	3345192
16434_rpsQ	HM17	1	3055914
16434_rpsQ	HM1	1	3112703
16434_rpsQ	HM3	1	1714471
16434_rpsQ	HM43	1	2825140
16434_rpsQ	HM54	1	298802
16434_rpsQ	HM56	1	1238214
16434_rpsQ	HM57	1	2329264
16434_rpsQ	HM66	1	2169234
16434_rpsQ	HM68	1	2783666
16434_rpsQ	HM6	1	2265055
16434_rpsQ	HM7	1	2823666
16434_rpsQ	HM86	1	1171094
16435_rpmC	HM14	1	3345446
16435_rpmC	HM17	1	3055723
16435_rpmC	HM1	1	3112957
16435_rpmC	HM3	1	1714725
16435_rpmC	HM43	1	2824949
16435_rpmC	HM54	1	299056
16435_rpmC	HM56	1	1238023
16435_rpmC	HM57	1	2329518
16435_rpmC	HM66	1	2169488
16435_rpmC	HM68	1	2783920
16435_rpmC	HM6	1	2265309
16435_rpmC	HM7	1	2823920
16435_rpmC	HM86	1	1170903
16436_rplP	HM14	1	3345637
16436_rplP	HM17	1	3055313
16436_rplP	HM1	1	3113148
16436_rplP	HM3	1	1714916
16436_rplP	HM43	1	2824539
16436_rplP	HM54	1	299247
16436_rplP	HM56	1	1237613
16436_rplP	HM57	1	2329709
16436_rplP	HM66	1	2169679
16436_rplP	HM68	1	2784111
16436_rplP	HM6	1	2265500
16436_rplP	HM7	1	2824111
16436_rplP	HM86	1	1170493
16437_rpsC	HM14	1	3346060
16437_rpsC	HM17	1	3054599
16437_rpsC	HM1	1	3113571
16437_rpsC	HM3	1	1715339
16437_rpsC	HM43	1	2823825
16437_rpsC	HM54	1	299670
16437_rpsC	HM56	1	1236899
16437_rpsC	HM57	1	2330132
16437_rpsC	HM66	1	2170102
16437_rpsC	HM68	1	2784534
16437_rpsC	HM6	1	2265923
16437_rpsC	HM7	1	2824534
16437_rpsC	HM86	1	1169779
16438_rplV	HM14	1	3346779
16438_rplV	HM17	1	3054249
16438_rplV	HM1	1	3114290
16438_rplV	HM3	1	1716058
16438_rplV	HM43	1	2823475
16438_rplV	HM54	1	300389
16438_rplV	HM56	1	1236549
16438_rplV	HM57	1	2330851
16438_rplV	HM66	1	2170821
16438_rplV	HM68	1	2785253
16438_rplV	HM6	1	2266642
16438_rplV	HM7	1	2825253
16438_rplV	HM86	1	1169429
16439_rpsS	HM14	1	3347126
16439_rpsS	HM17	1	3053956
16439_rpsS	HM1	1	3114637
16439_rpsS	HM3	1	1716405
16439_rpsS	HM43	1	2823182
16439_rpsS	HM54	1	300736
16439_rpsS	HM56	1	1236256
16439_rpsS	HM57	1	2331198
16439_rpsS	HM66	1	2171168
16439_rpsS	HM68	1	2785600
16439_rpsS	HM6	1	2266989
16439_rpsS	HM7	1	2825600
16439_rpsS	HM86	1	1169136
16440_rplB	HM14	1	3347421
16440_rplB	HM17	1	3053118
16440_rplB	HM1	1	3114932
16440_rplB	HM3	1	1716700
16440_rplB	HM43	1	2822344
16440_rplB	HM54	1	301031
16440_rplB	HM56	1	1235418
16440_rplB	HM57	1	2331493
16440_rplB	HM66	1	2171463
16440_rplB	HM68	1	2785895
16440_rplB	HM6	1	2267284
16440_rplB	HM7	1	2826041
16441_rplW	HM14	1	3348260
16441_rplW	HM17	1	3052798
16441_rplW	HM1	1	3115771
16441_rplW	HM3	1	1717539
16441_rplW	HM43	1	2822024
16441_rplW	HM54	1	301870
16441_rplW	HM56	1	1235098
16441_rplW	HM57	1	2332332
16441_rplW	HM66	1	2172302
16441_rplW	HM68	1	2786734
16441_rplW	HM6	1	2268123
16441_rplW	HM7	1	2826733
16441_rplW	HM86	1	1167979
16442_rplD	HM14	1	3348559
16442_rplD	HM17	1	3052196
16442_rplD	HM1	1	3116070
16442_rplD	HM3	1	1717838
16442_rplD	HM43	1	2821422
16442_rplD	HM54	1	302169
16442_rplD	HM56	1	1234496
16442_rplD	HM57	1	2332631
16442_rplD	HM66	1	2172601
16442_rplD	HM68	1	2787033
16442_rplD	HM6	1	2268422
16442_rplD	HM7	1	2827032
16442_rplD	HM86	1	1167377
16443_rplC	HM14	1	3349175
16443_rplC	HM17	1	3051556
16443_rplC	HM1	1	3116686
16443_rplC	HM3	1	1718454
16443_rplC	HM43	1	2820782
16443_rplC	HM54	1	302785
16443_rplC	HM56	1	1233856
16443_rplC	HM57	1	2333247
16443_rplC	HM66	1	2173217
16443_rplC	HM68	1	2787649
16443_rplC	HM6	1	2269038
16443_rplC	HM7	1	2827648
16443_rplC	HM86	1	1166737
16444_rpsJ	HM14	1	3349837
16444_rpsJ	HM17	1	3051212
16444_rpsJ	HM1	1	3117348
16444_rpsJ	HM3	1	1719116
16444_rpsJ	HM43	1	2820438
16444_rpsJ	HM54	1	303447
16444_rpsJ	HM56	1	1233512
16444_rpsJ	HM57	1	2333909
16444_rpsJ	HM66	1	2173879
16444_rpsJ	HM68	1	2788311
16444_rpsJ	HM6	1	2269700
16444_rpsJ	HM7	1	2828310
16444_rpsJ	HM86	1	1166393
16450_rpsG	HM14	1	3355382
