Entry,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name,Function,Pathways
b4476,1488.5318251587198,5.100176511677531,0.333345391401439,15.2999760705722,7.648474728751769e-53,1.0145701727689198e-50,gntU,"gluconate transporter, low affinity GNT 1 system",
b3437,1474.52747394094,4.82631000688353,0.403514919927361,11.9606729975495,5.709727944498759e-33,1.29469301168848e-31,gntK,gluconate kinase 2,"eco00030  Pentose phosphate pathway, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01120  Microbial metabolism in diverse environments, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism"
b1821,202.14783458865298,4.64735011495321,0.38379809106254703,12.108841141150501,9.48243793349377e-34,2.24615248549634e-32,mntP,"putative Mn(2+) efflux pump, mntR-regulated",
b0990,1787.5539486645102,4.54658332338074,0.41031680117298797,11.0806657450615,1.5571041318861297e-28,2.40174259412436e-27,cspG,"cold shock protein homolog, cold-inducible",
b2169,291.824751548042,4.32201952369634,0.306947373468339,14.080653223579901,4.994597351045959e-45,3.0815504121685896e-43,fruB,fused fructose-specific PTS enzymes: IIA component/HPr component,"eco00051  Fructose and mannose metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments, eco02060  Phosphotransferase system (PTS)"
b1101,3961.52940536091,4.31083771861722,0.380647695502979,11.325006743889501,9.867127864227939e-30,1.7336086240925e-28,ptsG,fused glucose-specific PTS enzymes: IIB component/IIC component,"eco00010  Glycolysis / Gluconeogenesis, eco00520  Amino sugar and nucleotide sugar metabolism, eco02060  Phosphotransferase system (PTS)"
b3552,1439.4558294518,4.0790986393455695,0.39283486292842,10.3837490617243,2.93998056556606e-25,3.36196915536498e-24,yiaD,multicopy suppressor of bamB; outer membrane lipoprotein,
b3556,14737.5020654241,3.85245326294879,0.31221499367255495,12.339103954082198,5.577311316529959e-35,1.43656377890815e-33,cspA,"RNA chaperone and antiterminator, cold-inducible",
b2069,575.172508491832,3.79443615303594,0.299191477805806,12.6823002475317,7.41241600083266e-37,2.19616332463085e-35,yegD,Hsp70 chaperone family protein,
b3260,15968.6019523602,3.7476945452550696,0.23103598627534602,16.2212588855686,3.5680584406739595e-59,1.1832573803884997e-56,dusB,tRNA-dihydrouridine synthase B,
b2533,4162.35602927068,3.63338566934372,0.19294927671393303,18.830781494613102,4.22479956484188e-79,1.1208393245525497e-75,suhB,inositol monophosphatase,"eco00521  Streptomycin biosynthesis, eco00562  Inositol phosphate metabolism, eco01100  Metabolic pathways"
b2678,591.059228367263,3.53547072975696,0.585575379652421,6.03760139617806,1.5642187327338298e-09,5.00587731959331e-09,proW,glycine betaine/proline ABC transporter permease,eco02010  ABC transporters
b2168,388.034217284272,3.5312915154435003,0.252333459331905,13.9945432714044,1.6830744284609196e-44,9.92265879712625e-43,fruK,fructose-1-phosphate kinase,eco00051  Fructose and mannose metabolism
b2250,302.81134131650396,3.46120194015029,0.319281012386062,10.840613146030499,2.20984966667676e-27,2.9760056678647004e-26,yfaZ,"outer membrane protein, putative porin",
b0835,2498.35699434653,3.4526556119259397,0.23482264927049898,14.7032478453504,6.14407279900928e-49,6.269317359912159e-47,rimO,ribosomal protein S12 methylthiotransferase,
b0797,1057.34239586018,3.4448002803173,0.24977921436162698,13.7913808765928,2.872091170675889e-43,1.4940505638829698e-41,rhlE,ATP-dependent RNA helicase,eco03018  RNA degradation
b4155,708.090508855782,3.38369532561971,0.23960325767157897,14.1220756282776,2.7769014668398102e-45,1.7540760932204797e-43,epmA,Elongation Factor P Lys34 lysyltransferase,
b3162,8749.15430519652,3.37141398612968,0.215112185773047,15.6728172976991,2.3206086239565998e-55,4.1043831195712494e-53,deaD,ATP-dependent RNA helicase,eco03018  RNA degradation
b2845,591.583138490832,3.2698745259889503,0.238365329090163,13.7179116546438,7.93172030571598e-43,4.04670268674317e-41,yqeG,putative transporter,
b2679,1702.4759450467902,3.20599851920818,0.570890939653126,5.615781047700889,1.9567631695498702e-08,5.6122083122333e-08,proX,glycine betaine/proline ABC transporter periplasmic binding protein; cold shock protein,eco02010  ABC transporters
b0405,1609.2427396012197,3.14617378057094,0.28939185384806104,10.8716736104907,1.57288757297639e-27,2.15096429438473e-26,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,
b3084,526.713860118448,3.1425751671632405,0.24014040934610198,13.0864071387253,3.9379918561207295e-39,1.43116334168333e-37,rlmG,"23S rRNA m(2)G1835 methyltransferase, SAM-dependent",
b3184,1388.1076742638,3.1133730847306604,0.18761624368965102,16.5943685019123,7.654463859974469e-62,5.076823155128059e-59,yhbE,EamA family inner membrane putative transporter,
b2167,1378.67918162999,3.0948042721340197,0.283837842297132,10.903423754519201,1.1100032756494098e-27,1.55811570915232e-26,fruA,fused fructose-specific PTS enzymes: IIBcomponent/IIC components,"eco00051  Fructose and mannose metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments, eco02060  Phosphotransferase system (PTS)"
b2796,1542.73518688534,3.08435312395154,0.32330073924479996,9.540198179429769,1.4255962415824199e-21,1.2006688345771899e-20,sdaC,putative serine transporter,
b2141,450.122602815952,3.06783519466425,0.36788032235941,8.339220687283879,7.47817332843016e-17,4.41861778180962e-16,yohJ,UPF0299 family inner membrane protein,
b2562,488.683604614084,2.9879955545679,0.295567954813563,10.1093352845123,5.0223870703473695e-24,5.20484097563733e-23,yfhL,putative 4Fe-4S cluster-containing protein,
b3654,287.73301942821,2.9720444324509705,0.273880269837712,10.8516193379394,1.9592306193280497e-27,2.65195858830475e-26,xanP,xanthine permease,
b1074,95.32853719343409,2.9623769209299398,0.775491571979995,3.8199988600344903,0.000133452290843683,0.000251098530218646,flgC,flagellar component of cell-proximal portion of basal-body rod,eco02040  Flagellar assembly
b3985,58185.842441390305,2.8696642096107103,0.21647279775907602,13.256465659045599,4.1394975679520804e-40,1.7159511012151398e-38,rplJ,50S ribosomal subunit protein L10,eco03010  Ribosome
b3316,10380.394745592199,2.8545864463698702,0.24993578566910502,11.421279424744402,3.2737855487332095e-30,5.94887195944466e-29,rpsS,30S ribosomal subunit protein S19,eco03010  Ribosome
b2945,288.518704243703,2.8469809195495897,0.21184957810014396,13.4386905325995,3.5872842234849294e-41,1.6408732836044e-39,endA,DNA-specific endonuclease I,
b3261,1521.17934327225,2.84239097970967,0.261118942455346,10.8854262083868,1.3526439333581999e-27,1.86904393499964e-26,fis,global DNA-binding transcriptional dual regulator,
b1086,1555.83711071936,2.83725124633247,0.269897573142119,10.512325892009699,7.5800656129655e-26,9.140870032362478e-25,rluC,"23S rRNA pseudouridine(955,2504,2580) synthase",
b0059,3101.60143095982,2.8322964055297404,0.179865095011164,15.7467818052966,7.226654560217739e-56,1.4747934267890497e-53,rapA,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",
b4469,1054.17066841829,2.81966775053408,0.247283473296258,11.4025725736874,4.05943237184157e-30,7.326308899656929e-29,ygiQ,Radical SAM superfamily protein,
b3183,2106.08710279834,2.81920823811541,0.152805973080815,18.4495944842706,5.2537833211944394e-76,6.969143575564419e-73,obgE,GTPase involved in cell partioning and DNA repair,
b0905,1557.6768105322901,2.81530095235889,0.23686136731219198,11.8858595823616,1.40185425642977e-32,3.0484584773017897e-31,ycaO,ribosomal protein S12 methylthiotransferase accessory factor,
b3309,28458.9637380467,2.79832757071814,0.1692061587647,16.5379770520618,1.95477294352003e-61,1.0372025238317298e-58,rplX,50S ribosomal subunit protein L24,eco03010  Ribosome
b2081,1551.0708618285198,2.78032853924583,0.212885300998875,13.060218466001698,5.55680918284007e-39,1.9656286349432896e-37,yegQ,putative peptidase,
b1075,194.670625226968,2.77297418438432,0.7575976783135531,3.6602200135526903,0.000251998778602034,0.00045900623643691505,flgD,flagellar hook assembly protein,eco02040  Flagellar assembly
b1047,366.41625654715597,2.7595087506131204,0.27304999580769895,10.1062398571013,5.18356879840287e-24,5.35097588411004e-23,opgC,OPG biosynthetic transmembrane succinyltransferase,
b1076,602.0400545874099,2.75324697252681,0.712701473610035,3.8631139045929404,0.00011195077451756999,0.000212602294055199,flgE,flagellar hook protein,eco02040  Flagellar assembly
b2517,1462.73476151871,2.7391279404071303,0.150982005751988,18.142082076367302,1.4830483422066696e-73,1.3115090839581e-70,rlmN,"dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent",
b3264,25.3021891948494,2.7313345924517995,0.637700170246951,4.28310155757695,1.8430599529514302e-05,3.84707950840295e-05,acrS,acrAB operon transcriptional repressor,
b2508,6606.409927935171,2.73071666509766,0.20789890623890803,13.1348293961664,2.07959588417486e-39,7.8816684010227e-38,guaB,IMP dehydrogenase,"eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b0013,47.082405844965294,2.6688660693582498,0.334824720821297,7.97093495011881,1.5747839061979699e-15,8.3558034062864e-15,yaaI,UPF0412 family protein,
b3704,1206.6173488960499,2.64946459278964,0.23938090532835501,11.067986350688301,1.7938613963428701e-28,2.7351231520101396e-27,rnpA,protein C5 component of RNase P,
b1073,164.597574315198,2.63853435034691,0.925930966840208,2.8496015846095495,0.0043774024521077105,0.00680729701374077,flgB,flagellar component of cell-proximal portion of basal-body rod,eco02040  Flagellar assembly
b2765,327.69784451081796,2.6347288169993597,0.25198773891640697,10.455781810373699,1.3785708736115998e-25,1.63274487843374e-24,queD,6-pyruvoyl tetrahydrobiopterin synthase (PTPS),"eco00790  Folate biosynthesis, eco01100  Metabolic pathways"
b3311,2848.49622002758,2.61974739637742,0.22399487963258397,11.695568223142299,1.3428535608927097e-31,2.76169805972741e-30,rpsQ,30S ribosomal subunit protein S17,eco03010  Ribosome
b0010,565.333338874039,2.6125653359563703,0.408687381215278,6.3925764680759505,1.63113607128412e-10,5.73166092333348e-10,satP,succinate-acetate transporter,
b1782,4055.3018985054,2.59865771819785,0.178980737297564,14.519203336823098,9.156825107112358e-48,7.591580315365338e-46,mipA,scaffolding protein for murein synthesizing machinery,
b3305,20108.4668130299,2.5675181799893703,0.221610468310128,11.585726069566,4.868239528534449e-31,9.5669921994088e-30,rplF,50S ribosomal subunit protein L6,eco03010  Ribosome
b3296,72819.2505434155,2.56486911354164,0.196022737531043,13.0845489959319,4.035482959754029e-39,1.4467751746253302e-37,rpsD,30S ribosomal subunit protein S4,eco03010  Ribosome
b3321,10930.8536431757,2.5634753838520696,0.20001989431269798,12.8161020815484,1.3323179684409e-37,4.1583994944396496e-36,rpsJ,30S ribosomal subunit protein S10,eco03010  Ribosome
b2558,350.03548292141,2.55775953785731,0.236958509163645,10.794124029919999,3.66944908036641e-27,4.79559034985816e-26,mltF,"membrane-bound lytic transglycosylase F, murein hydrolase",
b4202,2570.7601022980602,2.54869190340513,0.222567497313566,11.451321213422199,2.31588497198273e-30,4.26669641018764e-29,rpsR,30S ribosomal subunit protein S18,eco03010  Ribosome
b3795,1202.8913416147,2.5430747245674903,0.183412051842693,13.8653632573099,1.02704834142953e-43,5.5607331628827296e-42,yifK,putative APC family amino acid transporter,
b3315,15505.2672210133,2.53586581990086,0.239386488230346,10.593186936519,3.20491054972947e-26,4.02968136892525e-25,rplV,50S ribosomal subunit protein L22,eco03010  Ribosome
b3297,22509.5205508082,2.52355023484239,0.172751573215403,14.6079725230391,2.4984299920895398e-48,2.28563267897019e-46,rpsK,30S ribosomal subunit protein S11,eco03010  Ribosome
b2518,7142.461214082309,2.5136829583847997,0.265716786031492,9.46000813846547,3.0791923913171502e-21,2.5369867745852202e-20,ndk,multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase,"eco00230  Purine metabolism, eco00240  Pyrimidine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01130  Biosynthesis of antibiotics"
b3313,32919.6132747246,2.49583769514498,0.255218661256309,9.779213176886289,1.38281331840358e-22,1.26068856829028e-21,rplP,50S ribosomal subunit protein L16,eco03010  Ribosome
b3539,472.494801821922,2.49072845921559,0.260733708580481,9.55276735323532,1.2627722932568799e-21,1.06692194076767e-20,yhjV,putative transporter,
b3307,8610.99993810161,2.4745440719844902,0.169476723455775,14.601085160996899,2.76410385142596e-48,2.44438917261102e-46,rpsN,30S ribosomal subunit protein S14,eco03010  Ribosome
b3936,1607.13533318741,2.4716505421145096,0.153066477268652,16.147562720584702,1.1813819791819298e-58,3.4824515452996296e-56,rpmE,50S ribosomal subunit protein L31,eco03010  Ribosome
b4156,193.482407729461,2.47035584629178,0.26244704692839305,9.412778216421712,4.83193002381264e-21,3.90826535157772e-20,yjeM,putative transporter,
b3317,13482.8999393681,2.46752688221221,0.25104582393067004,9.8289899572026,8.446160226085791e-23,7.9179021483412e-22,rplB,50S ribosomal subunit protein L2,eco03010  Ribosome
b3827,116.409293258443,2.4597312798012005,0.253831121588999,9.690424343567981,3.3114991792367295e-22,2.92846910750502e-21,yigM,putative inner membrane EamA-like transporter,
b3298,19354.1897408803,2.4535180517004997,0.167198083337591,14.674319242922099,9.415576692335878e-49,9.251675912876699e-47,rpsM,30S ribosomal subunit protein S13,eco03010  Ribosome
b1078,198.315180733483,2.4402417848729,0.749469090365632,3.2559605409242702,0.00113009455881047,0.0018856231852353398,flgG,flagellar component of cell-distal portion of basal-body rod,eco02040  Flagellar assembly
b3295,42285.1273917762,2.43243449005642,0.175314227092122,13.8747124543307,9.015390314612899e-44,4.9828813551391694e-42,rpoA,"RNA polymerase, alpha subunit","eco00230  Purine metabolism, eco00240  Pyrimidine metabolism, eco01100  Metabolic pathways, eco03020  RNA polymerase"
b0058,345.155152615383,2.42847469594846,0.256827656141956,9.45565883530152,3.20994065483169e-21,2.6365240115382298e-20,rluA,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",
b4176,75.22340421682979,2.42146958948637,0.186413798479088,12.989755099904801,1.39873921923062e-38,4.69728499825169e-37,yjeT,DUF2065 family protein,
b1676,7167.345602413341,2.41774772135607,0.164968167641236,14.6558439481128,1.2361112818382197e-48,1.1712154395417199e-46,pykF,pyruvate kinase I,"eco00010  Glycolysis / Gluconeogenesis, eco00230  Purine metabolism, eco00620  Pyruvate metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01120  Microbial metabolism in diverse environments, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism, eco01230  Biosynthesis of amino acids"
