,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
b4182,PROKKA_04215,PROKKA_02650,PROKKA_03377,PROKKA_04112,PROKKA_04373,PROKKA_02090,PROKKA_01836,PROKKA_01460,PROKKA_00202,PROKKA_03406,PROKKA_03733,PROKKA_03170,PROKKA_03956,PROKKA_00105
b1960,PROKKA_01619,PROKKA_00296,PROKKA_00693,PROKKA_01490,PROKKA_01962,PROKKA_04696,PROKKA_04318,PROKKA_03900,PROKKA_02716,PROKKA_00623,PROKKA_02161,PROKKA_00616,PROKKA_01331,PROKKA_02835
b2866,PROKKA_02660,PROKKA_01261,PROKKA_01713,PROKKA_02503,PROKKA_02918,PROKKA_03688,PROKKA_03332,PROKKA_05113,PROKKA_01693,PROKKA_01714,PROKKA_05400,PROKKA_01667,PROKKA_02293,PROKKA_01798
b0328,PROKKA_04824,PROKKA_03309,PROKKA_04029,PROKKA_04776,PROKKA_00157,PROKKA_01384,PROKKA_01171,PROKKA_02105,PROKKA_04306,PROKKA_04065,PROKKA_00037,PROKKA_03866,PROKKA_04581,PROKKA_04557
b1660,PROKKA_01307,PROKKA_04613,PROKKA_00321,PROKKA_01163,PROKKA_01639,PROKKA_05010,PROKKA_04635,PROKKA_03494,PROKKA_03021,PROKKA_00317,PROKKA_01818,PROKKA_00308,PROKKA_01027,PROKKA_03145
b1815,PROKKA_01469,PROKKA_00132,PROKKA_00479,PROKKA_01343,PROKKA_01799,PROKKA_04847,PROKKA_04473,PROKKA_03659,PROKKA_02866,PROKKA_00474,PROKKA_01995,PROKKA_00465,PROKKA_01186,PROKKA_02968
b0784,PROKKA_00280,PROKKA_03744,PROKKA_04468,PROKKA_00046,PROKKA_00675,PROKKA_00969,PROKKA_00746,PROKKA_02531,PROKKA_03899,PROKKA_04466,PROKKA_00552,PROKKA_04277,PROKKA_00018,PROKKA_04135
b0796,PROKKA_00292,PROKKA_03758,PROKKA_04480,PROKKA_00058,PROKKA_00690,PROKKA_00957,PROKKA_00734,PROKKA_02543,PROKKA_03887,PROKKA_04478,PROKKA_00565,PROKKA_04289,PROKKA_00030,PROKKA_04122
b2505,PROKKA_02253,PROKKA_00886,PROKKA_01288,PROKKA_02096,PROKKA_02534,PROKKA_04048,PROKKA_03713,PROKKA_04635,PROKKA_02127,PROKKA_01314,PROKKA_02889,PROKKA_01292,PROKKA_01934,PROKKA_02188
b0400,PROKKA_04889,PROKKA_03370,PROKKA_04084,PROKKA_04845,PROKKA_00225,PROKKA_01330,PROKKA_01118,PROKKA_02157,PROKKA_04258,PROKKA_04116,PROKKA_00114,PROKKA_03918,PROKKA_04632,PROKKA_04500
b0484,PROKKA_04977,PROKKA_03462,PROKKA_04176,PROKKA_04941,PROKKA_00318,PROKKA_01236,PROKKA_01026,PROKKA_02248,PROKKA_04169,PROKKA_04206,PROKKA_00211,PROKKA_04011,PROKKA_04721,PROKKA_04405
b1743,PROKKA_01396,PROKKA_00066,PROKKA_00409,PROKKA_01259,PROKKA_01731,PROKKA_04920,PROKKA_04545,PROKKA_03584,PROKKA_02934,PROKKA_00404,PROKKA_01915,PROKKA_00395,PROKKA_01118,PROKKA_03052
b3572,PROKKA_03463,PROKKA_01990,PROKKA_02573,PROKKA_03374,PROKKA_03669,PROKKA_02815,PROKKA_02530,PROKKA_00613,PROKKA_00917,PROKKA_02587,PROKKA_04437,PROKKA_02475,PROKKA_03072,PROKKA_00895
b3148,PROKKA_02997,PROKKA_01561,PROKKA_02120,PROKKA_02911,PROKKA_03087,PROKKA_03285,PROKKA_02998,PROKKA_00149,PROKKA_01373,PROKKA_02126,PROKKA_04929,PROKKA_02007,PROKKA_02620,PROKKA_01362
b2922,PROKKA_02715,PROKKA_01319,PROKKA_01769,PROKKA_02565,PROKKA_02976,PROKKA_03629,PROKKA_03278,PROKKA_05059,PROKKA_01640,PROKKA_01767,PROKKA_05332,PROKKA_01721,PROKKA_02347,PROKKA_01742
b2785,PROKKA_02556,PROKKA_01144,PROKKA_01605,PROKKA_02392,PROKKA_02820,PROKKA_03787,PROKKA_03438,PROKKA_05214,PROKKA_01793,PROKKA_01620,PROKKA_05526,PROKKA_01566,PROKKA_02196,PROKKA_01900
b0221,PROKKA_04685,PROKKA_03167,PROKKA_03906,PROKKA_04628,PROKKA_00074,PROKKA_01522,PROKKA_01290,PROKKA_01983,PROKKA_04461,PROKKA_03992,PROKKA_03143,PROKKA_03731,PROKKA_04438,PROKKA_04639
b4014,PROKKA_03989,PROKKA_02471,PROKKA_03157,PROKKA_03912,PROKKA_04184,PROKKA_02301,PROKKA_02031,PROKKA_01172,PROKKA_00418,PROKKA_03093,PROKKA_04040,PROKKA_02968,PROKKA_03647,PROKKA_00393
b3728,PROKKA_03635,PROKKA_02155,PROKKA_02832,PROKKA_03575,PROKKA_03856,PROKKA_02637,PROKKA_02370,PROKKA_00781,PROKKA_00756,PROKKA_02763,PROKKA_04134,PROKKA_02632,PROKKA_03276,PROKKA_00723
b3178,PROKKA_03032,PROKKA_01594,PROKKA_02154,PROKKA_02944,PROKKA_03273,PROKKA_03252,PROKKA_02964,PROKKA_00182,PROKKA_01339,PROKKA_02158,PROKKA_04893,PROKKA_02040,PROKKA_02654,PROKKA_01326
b1046,PROKKA_00539,PROKKA_04014,PROKKA_04830,PROKKA_00391,PROKKA_01013,PROKKA_00587,PROKKA_00500,PROKKA_02782,PROKKA_03651,PROKKA_04712,PROKKA_01020,PROKKA_04699,PROKKA_00407,PROKKA_03777
b3094,PROKKA_02948,PROKKA_01509,PROKKA_02074,PROKKA_02852,PROKKA_03139,PROKKA_03333,PROKKA_03043,PROKKA_00102,PROKKA_01418,PROKKA_02081,PROKKA_04985,PROKKA_01961,PROKKA_02573,PROKKA_01409
b0122,PROKKA_04556,PROKKA_03052,PROKKA_03802,PROKKA_04489,PROKKA_04671,PROKKA_01719,PROKKA_01428,PROKKA_01846,PROKKA_04596,PROKKA_03796,PROKKA_03288,PROKKA_03544,PROKKA_04306,PROKKA_04769
b1728,PROKKA_01381,PROKKA_00051,PROKKA_00395,PROKKA_01243,PROKKA_01715,PROKKA_04934,PROKKA_04560,PROKKA_03570,PROKKA_02948,PROKKA_00390,PROKKA_01900,PROKKA_00381,PROKKA_01103,PROKKA_03066
b4263,PROKKA_04297,PROKKA_02735,PROKKA_03464,PROKKA_04203,PROKKA_04457,PROKKA_02000,PROKKA_01749,PROKKA_01537,PROKKA_00115,PROKKA_03321,PROKKA_03640,PROKKA_03259,PROKKA_04044,PROKKA_00020
b0817,PROKKA_00315,PROKKA_03779,PROKKA_04501,PROKKA_00080,PROKKA_00713,PROKKA_00936,PROKKA_00713,PROKKA_02568,PROKKA_03866,PROKKA_04499,PROKKA_00707,PROKKA_04313,PROKKA_00052,PROKKA_04100
b0194,PROKKA_04629,PROKKA_03126,PROKKA_03880,PROKKA_04568,PROKKA_00021,PROKKA_01642,PROKKA_01352,PROKKA_01922,PROKKA_04518,PROKKA_03873,PROKKA_03199,PROKKA_03619,PROKKA_04380,PROKKA_04693
b1734,PROKKA_01387,PROKKA_00057,PROKKA_00400,PROKKA_01250,PROKKA_01722,PROKKA_04929,PROKKA_04554,PROKKA_03575,PROKKA_02943,PROKKA_00395,PROKKA_01906,PROKKA_00386,PROKKA_01108,PROKKA_03061
b3765,PROKKA_03680,PROKKA_02200,PROKKA_02871,PROKKA_03620,PROKKA_03900,PROKKA_02598,PROKKA_02332,PROKKA_00820,PROKKA_00717,PROKKA_02801,PROKKA_05722,PROKKA_02672,PROKKA_03315,PROKKA_00685
b2824,PROKKA_02598,PROKKA_01187,PROKKA_01686,PROKKA_02443,PROKKA_02862,PROKKA_03715,PROKKA_03360,PROKKA_05141,PROKKA_01720,PROKKA_01687,PROKKA_05471,PROKKA_01640,PROKKA_02265,PROKKA_01828
b3736,PROKKA_03651,PROKKA_02169,PROKKA_02841,PROKKA_03590,PROKKA_03869,PROKKA_02628,PROKKA_02361,PROKKA_00790,PROKKA_00747,PROKKA_02772,PROKKA_04118,PROKKA_02641,PROKKA_03285,PROKKA_00714
