"","GO.ID","Term","Annotated","Significant","Expected","elimFisher","genesInTerm","DEGenesInTerm"
"1","GO:0006412","translation",39,23,12.03,"0.00019","accD,acnB,adk,alaS,csrA,deaD,dtd,efp,fmt,infB,lysU,prfA,prfC,prmC,proS,rfaH,rplA,rplD,rplI,rplK,rplT,rplY,rpsA,rpsB,rpsD,rpsE,rpsG,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,secM,tsf,valS,ybeY,yciH,yoeB",""
"2","GO:0008643","carbohydrate transport",44,31,13.58,"0.00054","aqpZ,araF,araG,araH,chbA,cmtA,cmtB,crr,fruA,fruB,frwB,frwD,fucP,galP,gatA,gatB,glpF,idnT,malE,malG,malK,malX,manX,manY,manZ,mglA,ptsH,ptsI,rbsB,rbsC,srlA,srlB,srlE,treB,ulaA,ulaC,xylF,xylG,yiaO,yjfF,yphD,ytfQ,ytfR,ytfT","malE,mglA"
"3","GO:0019698","D-galacturonate catabolic process",6,6,1.85,"0.00081","kdgK,kduD,kduI,uxaA,uxaB,uxaC",""
"4","GO:0019645","anaerobic electron transport chain",6,6,1.85,"0.00081","narI,narV,narY,nrfA,nrfC,nrfD",""
"5","GO:0009097","isoleucine biosynthetic process",6,6,1.85,"0.00081","ilvA,ilvB,ilvC,ilvH,ilvI,ilvN",""
"6","GO:0042840","D-glucuronate catabolic process",6,6,1.85,"0.00081","kdgK,kduD,kduI,uxaC,uxuA,uxuB",""
"7","GO:0019568","arabinose catabolic process",6,6,1.85,"0.00081","araA,araB,araD,fucA,fucI,fucK","araA,araB,araD"
"8","GO:0044724","single-organism carbohydrate catabolic p...",39,26,12.03,"0.00105","agp,araA,araB,araD,dgoA,dgoD,dgoK,ebgA,eno,fucA,fucI,fucK,fucO,galE,galK,galT,galU,garD,garK,garR,glk,lacZ,lldD,mdh,pfkA,pfkB,pgi,pgk,pykA,pykF,rbsD,rbsK,rhaA,rhaB,rpe,sgbE,tpiA,treA,treF","araA,araB,araD"
"9","GO:0042255","ribosome assembly",12,11,3.7,"0.00139","dbpA,deaD,obgE,rhlE,rimM,rluD,rplE,rplT,rpsG,rpsP,rpsS,srmB",""
"10","GO:0009409","response to cold",10,8,3.09,"0.00181","cspA,cspG,deaD,hscA,infC,otsA,otsB,rbfA,rnr,ybiT",""
"11","GO:0022610","biological adhesion",5,5,1.54,"0.00268","csgA,csgB,csgE,csgG,yehD","yehD"
"12","GO:0042355","L-fucose catabolic process",5,5,1.54,"0.00268","fucA,fucI,fucK,fucO,lldD",""
"13","GO:0009099","valine biosynthetic process",7,6,2.16,"0.00422","avtA,ilvB,ilvC,ilvE,ilvH,ilvI,ilvN",""
"14","GO:0015757","galactose transport",7,6,2.16,"0.00422","fucP,galP,mglA,yjfF,ytfQ,ytfR,ytfT","mglA"
"15","GO:0044275","cellular carbohydrate catabolic process",7,6,2.16,"0.00422","dgoA,dgoD,dgoK,ebgA,lacZ,treA,treF",""
"16","GO:0006526","arginine biosynthetic process",9,7,2.78,"0.00482","argB,argC,argE,argG,argH,astC,carA,gabT,ygeW",""
"17","GO:0015807","L-amino acid transport",9,7,2.78,"0.00482","gabP,gadC,livF,lysP,proY,ydgI,ygjI,yjeH,yjeM",""
"18","GO:0046168","glycerol-3-phosphate catabolic process",4,4,1.23,"0.00878","glpA,glpB,glpC,glpD",""
"19","GO:0009071","serine family amino acid catabolic proce...",4,4,1.23,"0.00878","gcvH,gcvT,glyA,tdcB","gcvH,gcvT"
"20","GO:0015768","maltose transport",4,4,1.23,"0.00878","malE,malG,malK,malX","malE"
"21","GO:0015751","arabinose transport",4,4,1.23,"0.00878","araF,araG,araH,fucP",""
"22","GO:0000028","ribosomal small subunit assembly",4,4,1.23,"0.00878","rimM,rpsG,rpsP,rpsS",""
"23","GO:0009401","phosphoenolpyruvate-dependent sugar phos...",21,12,6.48,"0.01008","chbA,cmtA,cmtB,crr,fruA,fruB,frwB,frwD,gatA,gatB,manX,manY,manZ,ptsH,ptsI,srlA,srlB,srlE,treB,ulaA,ulaC",""
"24","GO:0005984","disaccharide metabolic process",6,5,1.85,"0.01199","ebgA,lacZ,otsA,otsB,treA,treF",""
"25","GO:0000027","ribosomal large subunit assembly",6,5,1.85,"0.01199","dbpA,deaD,rluD,rplE,rplT,srmB",""
"26","GO:0042273","ribosomal large subunit biogenesis",6,5,1.85,"0.01199","dbpA,deaD,rluD,rplE,rplT,srmB",""
