gene_id	HM1	HM14	HM17	HM3	HM43	HM54	HM56	HM57	HM6	HM66	HM68	HM7	HM86
14805_sufB_1	PROKKA_01331	PROKKA_01663	PROKKA_04984	PROKKA_04637	PROKKA_04610	PROKKA_03519	PROKKA_02997	PROKKA_00341	PROKKA_00346	PROKKA_00332	PROKKA_01052	PROKKA_01189	PROKKA_03118
14806_iscA_1	PROKKA_01332	PROKKA_01664	PROKKA_04983	PROKKA_04638	PROKKA_04609	PROKKA_03520	PROKKA_02996	PROKKA_00342	PROKKA_00347	PROKKA_00333	PROKKA_01053	PROKKA_01190	PROKKA_03117
14807_hypothetical_protein	PROKKA_01334	PROKKA_01666	PROKKA_04981	PROKKA_04640	PROKKA_04607	PROKKA_03522	PROKKA_02994	PROKKA_00344	PROKKA_00349	PROKKA_00335	PROKKA_01055	PROKKA_01192	PROKKA_03115
14808_ydiI_1	PROKKA_01335	PROKKA_01667	PROKKA_04980	PROKKA_04641	PROKKA_04606	PROKKA_03523	PROKKA_02993	PROKKA_00345	PROKKA_00350	PROKKA_00336	PROKKA_01056	PROKKA_01193	PROKKA_03114
14813_hypothetical_protein	PROKKA_01340	PROKKA_01672	PROKKA_04975	PROKKA_04646	PROKKA_04601	PROKKA_03528	PROKKA_02989	PROKKA_00349	PROKKA_00354	PROKKA_00341	PROKKA_01061	PROKKA_01199	PROKKA_03109
14816_ydiB_1	PROKKA_01343	PROKKA_01676	PROKKA_04972	PROKKA_04649	PROKKA_04598	PROKKA_03531	PROKKA_02986	PROKKA_00352	PROKKA_00357	PROKKA_00344	PROKKA_01064	PROKKA_01202	PROKKA_03106
14817_aroD_1	PROKKA_01344	PROKKA_01677	PROKKA_04971	PROKKA_04650	PROKKA_04597	PROKKA_03532	PROKKA_02985	PROKKA_00353	PROKKA_00358	PROKKA_00345	PROKKA_01065	PROKKA_01203	PROKKA_03105
14818_ydiF_1	PROKKA_01345	PROKKA_01678	PROKKA_04970	PROKKA_04651	PROKKA_04596	PROKKA_03533	PROKKA_02984	PROKKA_00354	PROKKA_00359	PROKKA_00346	PROKKA_01066	PROKKA_01204	PROKKA_03104
14819_caiA_1	PROKKA_01346	PROKKA_01679	PROKKA_04969	PROKKA_04652	PROKKA_04595	PROKKA_03534	PROKKA_02983	PROKKA_00355	PROKKA_00360	PROKKA_00347	PROKKA_01067	PROKKA_01205	PROKKA_03103
14821_acrB_1	PROKKA_01349	PROKKA_01681	PROKKA_04966	PROKKA_04655	PROKKA_04592	PROKKA_03537	PROKKA_02981	PROKKA_00358	PROKKA_00362	PROKKA_00349	PROKKA_01070	PROKKA_01209	PROKKA_03100
14822_etfA_1	PROKKA_01350	PROKKA_01682	PROKKA_04965	PROKKA_04656	PROKKA_04591	PROKKA_03538	PROKKA_02980	PROKKA_00359	PROKKA_00363	PROKKA_00350	PROKKA_01071	PROKKA_01210	PROKKA_03099
14823_Electron_transfer_flavoprotein-ubiquinone_oxidoreductase	PROKKA_04475	PROKKA_01683	PROKKA_04964	PROKKA_04657	PROKKA_04590	PROKKA_03539	PROKKA_04685	PROKKA_03708	PROKKA_03710	PROKKA_03457	PROKKA_04217	PROKKA_01211	PROKKA_04855
14824_hypothetical_protein	PROKKA_01352	PROKKA_01684	PROKKA_04963	PROKKA_04658	PROKKA_04589	PROKKA_03540	PROKKA_02978	PROKKA_00361	PROKKA_00365	PROKKA_00352	PROKKA_01073	PROKKA_01212	PROKKA_03097
14825_fadK_1	PROKKA_01353	PROKKA_01685	PROKKA_04962	PROKKA_04659	PROKKA_04588	PROKKA_03541	PROKKA_02977	PROKKA_00362	PROKKA_00366	PROKKA_00353	PROKKA_01074	PROKKA_01213	PROKKA_03096
14826_ppsA_1	PROKKA_01354	PROKKA_01686	PROKKA_04961	PROKKA_04660	PROKKA_04587	PROKKA_03542	PROKKA_02976	PROKKA_00363	PROKKA_00367	PROKKA_00354	PROKKA_01075	PROKKA_01214	PROKKA_03095
14828_aroG_1	PROKKA_01356	PROKKA_01688	PROKKA_04959	PROKKA_00026	PROKKA_04585	PROKKA_03545	PROKKA_02974	PROKKA_00365	PROKKA_00369	PROKKA_00356	PROKKA_01077	PROKKA_01216	PROKKA_03093
14829_hypothetical_protein	PROKKA_01357	PROKKA_01689	PROKKA_04958	PROKKA_00027	PROKKA_04584	PROKKA_03546	PROKKA_02973	PROKKA_00366	PROKKA_00370	PROKKA_00357	PROKKA_01078	PROKKA_01217	PROKKA_03092
14830_hypothetical_protein	PROKKA_01358	PROKKA_01690	PROKKA_04957	PROKKA_00028	PROKKA_04583	PROKKA_03547	PROKKA_02972	PROKKA_00367	PROKKA_00371	PROKKA_00358	PROKKA_01080	PROKKA_01218	PROKKA_03091
14831_ydiV	PROKKA_01359	PROKKA_01691	PROKKA_04956	PROKKA_00029	PROKKA_04582	PROKKA_03548	PROKKA_02971	PROKKA_00368	PROKKA_00372	PROKKA_00359	PROKKA_01081	PROKKA_01219	PROKKA_03090
14832_mepS_1	PROKKA_01360	PROKKA_01692	PROKKA_04955	PROKKA_00030	PROKKA_04581	PROKKA_03549	PROKKA_02970	PROKKA_00369	PROKKA_00373	PROKKA_00360	PROKKA_01082	PROKKA_01220	PROKKA_03089
