gene_id	HM1	HM14	HM17	HM3	HM43	HM54	HM56	HM57	HM6	HM66	HM68	HM7	HM86
19630_ptsG_1	NA	NA	NA	NA	PROKKA_00441	NA	PROKKA_03595	NA	PROKKA_04887	PROKKA_04756	NA	NA	PROKKA_03720
18320_bioA	PROKKA_00268	PROKKA_00664	PROKKA_00981	PROKKA_03733	PROKKA_00757	PROKKA_02520	PROKKA_03910	PROKKA_04455	PROKKA_04457	NA	PROKKA_04969	PROKKA_05267	PROKKA_04146
16474_putative_transporter	PROKKA_03204	NA	PROKKA_03055	PROKKA_01766	PROKKA_02770	PROKKA_00381	PROKKA_01146	PROKKA_02354	PROKKA_02347	PROKKA_02236	PROKKA_02847	NA	PROKKA_01126
7904_epsG	NA	PROKKA_03035	PROKKA_03491	NA	PROKKA_03195	PROKKA_04849	PROKKA_01568	PROKKA_01926	PROKKA_01923	PROKKA_01793	PROKKA_02419	PROKKA_02697	PROKKA_01578
7908_epsC	NA	PROKKA_03039	PROKKA_03487	NA	PROKKA_03190	PROKKA_04845	PROKKA_01564	PROKKA_01930	PROKKA_01927	PROKKA_01797	PROKKA_02423	PROKKA_02704	PROKKA_01574
7903_epsH	NA	PROKKA_03034	PROKKA_03492	NA	PROKKA_03196	PROKKA_04850	PROKKA_01569	PROKKA_01925	PROKKA_01922	PROKKA_01792	PROKKA_02418	PROKKA_02696	PROKKA_01579
18646_ptsG_2	PROKKA_00598	PROKKA_01068	PROKKA_00529	PROKKA_04069	NA	PROKKA_02837	NA	PROKKA_04768	NA	NA	PROKKA_00462	PROKKA_00450	NA
7905_epsF_1	NA	PROKKA_03036	PROKKA_03490	NA	PROKKA_03194	PROKKA_04848	PROKKA_01567	PROKKA_01927	PROKKA_01924	PROKKA_01794	PROKKA_02420	PROKKA_02698	PROKKA_01577
7907_pulD	NA	PROKKA_03038	PROKKA_03488	NA	NA	PROKKA_04846	PROKKA_01565	PROKKA_01929	PROKKA_01926	PROKKA_01796	PROKKA_02422	NA	PROKKA_01575
7909_hypothetical_protein	PROKKA_04811	PROKKA_03040	PROKKA_03486	PROKKA_03296	PROKKA_03189	PROKKA_04844	PROKKA_01563	PROKKA_01931	PROKKA_01928	PROKKA_01798	PROKKA_02424	PROKKA_02705	PROKKA_01573
