gene_id	genome	contig	contig_location
16489_gph	HM14	1	3395383
16489_gph	HM17	1	2995418
16489_gph	HM1	1	3157576
16489_gph	HM3	1	1759448
16489_gph	HM43	1	2764659
16489_gph	HM54	1	358801
16489_gph	HM56	1	1177720
16489_gph	HM57	1	2389255
16489_gph	HM66	1	2229231
16489_gph	HM68	1	2843676
16489_gph	HM6	1	2325040
16489_gph	HM7	1	2868636
16489_gph	HM86	1	1110574
17560_thrB	HM14	1	4555411
17560_thrB	HM17	1	1782713
17560_thrB	HM1	1	4419156
17560_thrB	HM3	1	2949643
17560_thrB	HM43	1	1535935
17560_thrB	HM54	1	1682474
17560_thrB	HM56	1	4788323
17560_thrB	HM57	1	3725520
17560_thrB	HM66	1	3417870
17560_thrB	HM68	1	4177141
17560_thrB	HM6	1	3647050
17560_thrB	HM7	1	4023316
17560_thrB	HM86	1	4811160
15460_hypothetical_protein	HM14	1	2348155
15460_hypothetical_protein	HM17	1	4108343
15460_hypothetical_protein	HM1	1	2068512
15460_hypothetical_protein	HM3	1	694956
15460_hypothetical_protein	HM43	1	3840494
15460_hypothetical_protein	HM54	1	4394340
15460_hypothetical_protein	HM56	1	2294320
15460_hypothetical_protein	HM57	1	1212528
15460_hypothetical_protein	HM66	1	1159980
15460_hypothetical_protein	HM68	1	1790768
15460_hypothetical_protein	HM6	1	1134712
15460_hypothetical_protein	HM7	1	1761909
15460_hypothetical_protein	HM86	1	2274428
16925_hypothetical_protein	HM14	1	3903906
16925_hypothetical_protein	HM17	1	2487482
16925_hypothetical_protein	HM1	1	3699349
16925_hypothetical_protein	HM3	1	2248810
16925_hypothetical_protein	HM43	1	2269536
16925_hypothetical_protein	HM54	1	858793
16925_hypothetical_protein	HM56	1	689146
16925_hypothetical_protein	HM57	1	2897717
16925_hypothetical_protein	HM66	1	2724874
16925_hypothetical_protein	HM68	1	3369328
16925_hypothetical_protein	HM6	1	2891377
16925_hypothetical_protein	HM7	1	3377237
16925_hypothetical_protein	HM86	1	618711
17254_groL	HM14	1	4286213
17254_groL	HM17	1	2055764
17254_groL	HM1	1	4153673
17254_groL	HM3	1	2627357
17254_groL	HM43	1	1849370
17254_groL	HM54	1	1385153
17254_groL	HM56	1	241527
17254_groL	HM57	1	3509646
17254_groL	HM66	1	3140309
17254_groL	HM68	1	3912289
17254_groL	HM6	1	3325133
17254_groL	HM7	1	3758611
17254_groL	HM86	1	145830
18964_nhoA	HM14	1	1407412
18964_nhoA	HM17	1	61549
18964_nhoA	HM1	1	1002072
18964_nhoA	HM3	1	4467685
18964_nhoA	HM43	1	60262
18964_nhoA	HM54	1	3263676
18964_nhoA	HM56	1	3220038
18964_nhoA	HM57	1	164589
18964_nhoA	HM66	1	95806
18964_nhoA	HM68	1	791867
18964_nhoA	HM6	1	173592
18964_nhoA	HM7	1	789622
18964_nhoA	HM86	1	3267419
16043_rpiA	HM14	1	2926842
16043_rpiA	HM17	1	3544505
16043_rpiA	HM1	1	2693396
16043_rpiA	HM3	1	1313326
16043_rpiA	HM43	1	3260844
16043_rpiA	HM54	2	269228
16043_rpiA	HM56	1	1670352
16043_rpiA	HM57	1	1813838
16043_rpiA	HM66	1	1729385
16043_rpiA	HM68	1	2352353
16043_rpiA	HM6	1	1755143
16043_rpiA	HM7	1	2346385
16043_rpiA	HM86	1	1688772
16719_hypothetical_protein	HM14	1	3660357
16719_hypothetical_protein	HM17	1	2731174
16719_hypothetical_protein	HM1	1	3449169
16719_hypothetical_protein	HM3	1	2023503
16719_hypothetical_protein	HM43	1	2499276
16719_hypothetical_protein	HM54	1	634366
16719_hypothetical_protein	HM56	1	916630
16719_hypothetical_protein	HM57	1	2653902
16719_hypothetical_protein	HM66	1	2494782
16719_hypothetical_protein	HM68	1	3103342
