,LocusTag,Length,Entry,EntryName,Status,ProteinNames,GeneNames,LocusTag,UpdatedSymbol,Symbol_gtf,x77459_Emp1_1,x77460_Emp2_2,x77461_Emp3_3,x77456_TosR1_1,x77457_TosR2_2,x77458_TosR3_3,logFC,logCPM,LR,PValue,FDR,DE
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,tosR,2.044846412,1.588867904,6.28521969,2722.801287,4568.129045,3430.236234,10.0938431,10.80462091,220.16402,8.33E-50,2.66E-46,yes
2579,c4594,286,A0A0H2VCP9,A0A0H2VCP9_ECOL6,unreviewed,Uncharacterized protein,c4594,c4594,,c4594,1.090584753,1.080430174,1.450435313,159.6347946,202.670514,113.033357,7.034907282,6.321685618,207.2724797,5.41E-47,8.63E-44,yes
914,c1684,465,A0A0H2V6Z1,A0A0H2V6Z1_ECOL6,unreviewed,Nitrite extrusion protein 1,narK c1684,c1684,narK,narK,80.97591791,70.8635085,49.19393103,1.328364789,0.292453844,0.778868954,-6.226726099,5.088840829,166.1272022,5.19E-38,5.52E-35,yes
2385,c4214,234,A0A0H2VBW8,A0A0H2VBW8_ECOL6,unreviewed,Putative major fimbrial subunit,c4214,c4214,,c4214,9.678939683,7.690120654,10.51565602,455.8601426,390.8645626,285.5528304,5.346985038,7.597265161,138.945527,4.53E-32,3.61E-29,yes
189,c0322,504,A0A0H2V521,A0A0H2V521_ECOL6,unreviewed,Putative oligogalacturonide transporter,c0322,c0322,,c0322,1.363230941,1.779532052,1.933913751,37.30972407,34.36332668,22.87927553,4.199445432,4.075683958,99.82146922,1.67E-23,1.07E-20,yes
1596,c2884,188,A0A0H2VBL0,A0A0H2VBL0_ECOL6,unreviewed,Hypothetical fimbrial-like protein yfcV,yfcV c2884,c2884,yfcV,yfcV,0,0.254218865,0.241739219,8.489983651,6.726438414,6.815103351,5.212799376,2.010501512,97.90228493,4.40E-23,2.34E-20,yes
2095,c3791,187,A0A0H2VB86,A0A0H2VB86_ECOL6,unreviewed,Hypothetical fimbrial-like protein ygiL,ygiL c3791,c3791,ygiL,ygiL,0.272646188,0.127109432,0.120869609,6.353048991,6.287757648,7.886048163,5.312976053,1.89979773,96.63576268,8.33E-23,3.80E-20,yes
190,c0323,768,A0A0H2V4G4,A0A0H2V4G4_ECOL6,unreviewed,Putative exopolygalacturonate lyase,c0323,c0323,,c0323,2.999108071,4.131056549,3.505218673,40.48624857,50.00960734,40.40382701,3.599834117,4.571275326,93.54953509,3.96E-22,1.58E-19,yes
2384,c4213,259,A0A0H2VBH6,A0A0H2VBH6_ECOL6,unreviewed,Chaperone protein fimC,c4213,c4213,,c4213,1.499554035,0.953320742,0.966956875,81.26127209,44.4529843,20.44531005,5.43185284,4.66424927,92.20163385,7.83E-22,2.78E-19,yes
2383,c4212,864,A0A0H2VD70,A0A0H2VD70_ECOL6,unreviewed,Hypothetical outer membrane usher protein ycbS,ycbS c4212,c4212,ycbS,ycbS,1.226907847,0.444883013,0.362608828,27.95341556,52.20301117,15.96681356,5.614981327,4.035109636,90.96435154,1.46E-21,4.67E-19,yes
