EG	ECK	Gene	Syn	Protein	GI	SP	b#	
EG10001	ECK4045	alr	None	alanine racemase, biosynthetic, PLP-binding	; 1790487	P0A6B4	b4053
EG10002	ECK0753	modB	chlJ	molybdate ABC transporter permease; chlorate resistance protein	; 1786980	P0AF01	b0764
EG10003	ECK2408	cysZ	None	sulfate transporter, sulfite inhibited	1788753	P0A6J3	b2413
EG10004	ECK3629	dfp	coaBC	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding	; 87082301	P0ABQ0	b3639
EG10005	ECK2162	fruB	fpr, fruF	fused fructose-specific PTS enzymes: IIA component/HPr component	; 1788494	P69811	b2169
EG10006	ECK4116	dcuB	genF	C4-dicarboxylate transporter, anaerobic; DcuS co-sensor	; 1790565	P0ABN9	b4123
EG10007	ECK2301	hisM	None	histidine ABC transporter permease	; 1788645	P0AEU3	b2307
EG10008	ECK3995	zraS	hydH	sensory histidine kinase in two-component regulatory system with ZraR	; 1790436	P14377	b4003
EG10009	ECK1146	icdC'	icd	pseudogene, isocitrate dehydrogenase C-terminal gene fragment	87081844	P08200	b4519
EG10010	ECK1450	rhsE'	None	pseudogene, Rhs family	1787728	P24211	b1456
EG10011	ECK0006	yaaA	None	peroxide resistance protein, lowers intracellular iron	1786187	P0A8I3	b0006
EG10012	ECK0877	cydC	mdrA, mdrH, surB, ycaB	glutathione/cysteine ABC transporter export permease/ATPase	; 1787112	P23886	b0886
EG10013	ECK1857	mepM	yebA	murein DD-endopeptidase, space-maker hydrolase, septation protein	87081989	P0AFS9	b1856
EG10014	ECK2465	acrD	yffA	aminoglycoside/multidrug efflux system	; 1788814	P24177	b2470
EG10015	ECK2512	rodZ	yfgA	MreB assembly cytoskeletal protein	1788864	P27434	b2516
EG10016	ECK3114	garL	yhaF	alpha-dehydro-beta-deoxy-D-glucarate aldolase	1789514	P23522	b3126
EG10017	ECK3176	ispB	cel, yhbD	octaprenyl diphosphate synthase	; 1789578	P0AD57	b3187
EG10018	ECK3240	csrD	yhdA	targeting factor for csrBC sRNA degradation	1789650	P13518	b3252
EG10020	ECK3905	cpxR	yiiA	response regulator in two-component regulatory system with CpxA	; 2367329	P0AE88	b3912
EG10021	ECK4342	yjiA	None	metal-binding GTPase	87082430	P24203	b4352
EG10022	ECK4007	aceA	icl	isocitrate lyase	; 1790445	P0A9G6	b4015
EG10023	ECK4006	aceB	mas	malate synthase A	; 1790444	P08997	b4014
EG10024	ECK0113	aceE	None	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	; 1786304	P0AFG8	b0114
EG10025	ECK0114	aceF	None	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	; 1786305	P06959	b0115
EG10026	ECK4008	aceK	None	isocitrate dehydrogenase kinase/phosphatase	; 1790446	P11071	b4016
EG10027	ECK2290	ackA	None	acetate kinase A and propionate kinase 2	; 1788633	P0A6A3	b2296
EG10028	ECK0893	pflA	act	pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	; 1787130	P0A9N4	b0902
EG10029	ECK2205	ada	None	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase	; 1788542	P06134	b2213
EG10030	ECK1618	add	None	adenosine deaminase	; 1787910	P22333	b1623
EG10031	ECK1235	adhE	adhC, ana	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	; 1787493	P0A9Q7	b1241
EG10032	ECK0468	adk	dnaW, plsA	adenylate kinase	; 1786680	P69441	b0474
EG10033	ECK0993	agp	None	glucose-1-phosphatase/inositol phosphatase	; 1787237	P19926	b1002
EG10034	ECK2692	alaS	act, ala-act, lovB	alanyl-tRNA synthetase	; 1789048	P00957	b2697
EG10035	ECK1408	aldA	ald	aldehyde dehydrogenase A, NAD-linked	; 1787684	P25553	b1415
EG10036	ECK1295	puuC	aldH	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase	; 1787558	P23883	b1300
EG10037	ECK2204	alkB	aidD	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	; 1788541	P05050	b2212
EG10039	ECK1977	amn	None	AMP nucleosidase	; 1788293	P0AE12	b1982
EG10040	ECK4146	ampC	ampA	penicillin-binding protein; beta-lactamase, intrinsically weak	; 1790593	P00811	b4150
EG10041	ECK0109	ampD	None	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	; 1786300	P13016	b0110
EG10042	ECK0110	ampE	None	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	; 1786301	P0AE14	b0111
EG10043	ECK4210	cysQ	amt, amtA	3'(2'),5'-bisphosphate nucleotidase	; 1790659	P22255	b4214
EG10044	ECK1737	osmE	anr	osmotically-inducible lipoprotein	; 1788035	P0ADB1	b1739
EG10045	ECK1765	ansA	None	cytoplasmic L-asparaginase 1	; 1788065	P0A962	b1767
EG10046	ECK2952	ansB	None	periplasmic L-asparaginase 2	; 1789327	P00805	b2957
EG10047	ECK0051	apaG	corD(S.t.), temP	protein associated with Co2+ and Mg2+ efflux	; 1786235	P62672	b0050
EG10048	ECK0050	apaH	cfcB	diadenosine tetraphosphatase	; 1786234	P05637	b0049
EG10049	ECK0971	appA	None	phosphoanhydride phosphorylase	; 1787215	P07102	b0980
EG10050	ECK0556	appY	None	global transcriptional activator; DLP12 prophage	; 1786776	P05052	b0564
EG10051	ECK0463	apt	None	adenine phosphoribosyltransferase	; 1786675	P69503	b0469
EG10052	ECK0063	araA	None	L-arabinose isomerase	; 1786248	P08202	b0062
EG10053	ECK0064	araB	None	L-ribulokinase	; 1786249	P08204	b0063
EG10054	ECK0065	araC	None	ara regulon transcriptional activator; autorepressor	; 1786251	P0A9E0	b0064
EG10055	ECK0062	araD	None	L-ribulose-5-phosphate 4-epimerase	; 1786247	P08203	b0061
EG10056	ECK2839	araE	None	arabinose transporter	; 1789207	P0AE24	b2841
EG10057	ECK1899	araF	None	L-arabinose ABC transporter periplasmic binding protein	; 1788211	P02924	b1901
EG10058	ECK1898	araG	None	L-arabinose ABC transporter ATPase	; 1788210	P0AAF3	b1900
EG10059	ECK1897	araH	None	L-arabinose ABC transporter permease	; 48994893	P0AE26	b4460
EG10060	ECK0390	araJ	None	L-arabinose-inducible putative transporter, MFS family	; 1786595	P23910	b0396
EG10061	ECK4393	arcA	cpxC, dye, fexA, msp, seg, sfrA	response regulator in two-component regulatory system with ArcB or CpxA	; 1790863	P0A9Q1	b4401
EG10062	ECK3200	arcB	None	aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB	; 48994928	P0AEC3	b3210
EG10063	ECK2814	argA	Arg1, Arg2, argB	amino acid N-acetyltransferase and inactive acetylglutamate kinase	; 1789181	P0A6C5	b2818
EG10064	ECK3950	argB	None	acetylglutamate kinase	; 87082353	P0A6C8	b3959
EG10065	ECK3949	argC	Arg2, argH	N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding	; 1790396	P11446	b3958
EG10066	ECK3347	argD	alaB, Arg1, argG, dapC, dtu	bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase	; 1789759	P18335	b3359
EG10067	ECK0274	argF	Arg5, argD	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	; 1786469	P06960	b0273
EG10068	ECK3161	argG	Arg6, argE	argininosuccinate synthetase	; 1789563	P0A6E4	b3172
EG10069	ECK4247	argI	None	ornithine carbamoyltransferase 1	; 1790703	P04391	b4254
EG10070	ECK3226	argR	Rarg, xerA	l-arginine-responsive arginine metabolism regulon transcriptional regulator	; 1789633	P0A6D0	b3237
EG10071	ECK1877	argS	lov	arginyl-tRNA synthetase	; 1788184	P11875	b1876
EG10072	ECK2304	argT	None	lysine/arginine/ornithine transporter subunit	; 1788649	P09551	b2310
EG10073	ECK0899	aroA	None	5-enolpyruvylshikimate-3-phosphate synthetase	; 1787137	P0A6D3	b0908
EG10074	ECK3376	aroB	None	3-dehydroquinate synthase	; 1789791	P07639	b3389
EG10075	ECK2323	aroC	None	chorismate synthase	; 1788669	P12008	b2329
EG10076	ECK1691	aroD	None	3-dehydroquinate dehydratase	; 1787984	P05194	b1693
EG10077	ECK3268	aroE	None	dehydroshikimate reductase, NAD(P)-binding	; 1789675	P15770	b3281
EG10078	ECK2598	aroF	None	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible	; 1788953	P00888	b2601
EG10079	ECK0743	aroG	None	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	; 1786969	P0AB91	b0754
EG10080	ECK1702	aroH	None	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible	; 1787996	P00887	b1704
EG10081	ECK3377	aroK	None	shikimate kinase I	; 87082255	P0A6D7	b3390
EG10082	ECK0383	aroL	None	shikimate kinase II	; 1786587	P0A6E1	b0388
EG10083	ECK0385	aroM	None	AroM family protein	; 1786589	P0AE28	b0390
EG10084	ECK0111	aroP	None	aromatic amino acid transporter	; 1786302	P15993	b0112
EG10085	ECK2711	ascB	sac	cryptic 6-phospho-beta-glucosidase	; 1789070	P24240	b2716
EG10086	ECK2710	ascF	sac	cellobiose/arbutin/salicin-specific PTS enzymes, IIB and IC components	; 48994906	P24241	b2715
EG10087	ECK2709	ascG	sac	asc operon transcriptional repressor; prpBC operon repressor	; 1789068	P24242	b2714
EG10088	ECK3419	asd	dap, hom	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	; 1789841	P0A9Q9	b3433
EG10089	ECK3794	aslA	atsA, gppB	putative Ser-type periplasmic non-aryl sulfatase	; 1790233	P25549	b3801
EG10090	ECK3793	aslB	atsB, gppB	putative AslA-specific sulfatase-maturating enzyme	; 48994973	P25550	b3800
EG10091	ECK3738	asnA	None	asparagine synthetase A	; 1790183	P00963	b3744
EG10092	ECK0662	asnB	None	asparagine synthetase B	; 1786889	P22106	b0674
EG10093	ECK3737	asnC	None	transcriptional activator of asnA; autorepressor	; 1790182	P0ACI6	b3743
EG10094	ECK0921	asnS	lcs, tss	asparaginyl tRNA synthetase	; 1787161	P0A8M0	b0930
EG10095	ECK4133	aspA	None	aspartate ammonia-lyase	; 87082375	P0AC38	b4139
EG10096	ECK0919	aspC	None	aspartate aminotransferase, PLP-dependent	; 1787159	P00509	b0928
EG10097	ECK1867	aspS	tls	aspartyl-tRNA synthetase	; 1788173	P21889	b1866
EG10098	ECK3727	atpA	papA, uncA	F1 sector of membrane-bound ATP synthase, alpha subunit	; 1790172	P0ABB0	b3734
EG10099	ECK3731	atpB	papD, uncB	F0 sector of membrane-bound ATP synthase, subunit a	; 1790176	P0AB98	b3738
EG10100	ECK3724	atpC	papG, uncC	F1 sector of membrane-bound ATP synthase, epsilon subunit	; 1790169	P0A6E6	b3731
EG10101	ECK3725	atpD	papB, uncD	F1 sector of membrane-bound ATP synthase, beta subunit	; 1790170	P0ABB4	b3732
EG10102	ECK3730	atpE	papH, uncE	F0 sector of membrane-bound ATP synthase, subunit c	; 1790175	P68699	b3737
EG10103	ECK3729	atpF	papF, uncF	F0 sector of membrane-bound ATP synthase, subunit b	; 1790174	P0ABA0	b3736
EG10104	ECK3726	atpG	papC, uncG	F1 sector of membrane-bound ATP synthase, gamma subunit	; 1790171	P0ABA6	b3733
