,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
c3990,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c3610,0,0,1,0,0,0,0,1,0,1,0,0,0,0
c0185,1,1,1,1,1,1,1,1,1,1,0,1,1,1
c3625,0,0,1,0,2,0,0,1,0,1,1,0,0,1
c2883,0,0,1,0,0,1,1,1,1,1,1,1,1,1
c2305,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UTI89_c2188,1,0,1,0,1,1,1,1,1,1,0,1,1,1
c1936,1,1,1,0,1,1,1,1,1,1,1,1,1,1
c2635,1,1,1,1,1,1,1,1,1,1,0,1,1,1
c1340,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c3570,0,0,0,0,0,0,0,0,0,0,0,0,1,1
c0393,0,0,0,0,0,1,0,1,1,1,0,1,1,1
c4207,0,0,0,0,0,1,1,1,0,1,0,1,1,1
c2304,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c0350,0,0,0,0,0,1,0,0,0,1,0,1,0,0
UTI89_c4921,0,0,0,0,0,0,0,0,0,1,0,0,1,1
c0166,0,0,0,0,0,1,1,1,0,1,0,1,1,1
c5393,1,1,1,1,0,1,1,1,1,1,1,1,1,1
c1250,0,0,0,0,0,1,0,0,1,0,1,1,1,0
c3619,0,0,1,0,0,0,0,1,0,1,0,0,0,0
c4210,0,0,0,0,0,1,1,1,0,1,0,1,1,1
c2297,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c4293,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c0405,1,1,1,0,1,1,1,1,1,1,1,1,1,1
c4308,1,0,1,0,0,1,1,1,1,1,1,1,1,1
c1646,1,0,1,0,0,1,1,1,1,1,1,1,1,1
c2394,0,0,0,0,0,1,1,0,1,1,0,1,1,1
c5430,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c3623,1,0,1,0,2,0,0,1,0,1,1,0,0,1
c0652,1,0,1,1,1,1,1,1,3,1,0,1,1,0
c2482,1,0,1,0,0,1,0,1,1,1,0,0,0,1
UTI89_c5035,0,0,0,0,0,0,1,0,1,0,0,1,1,0
c5400,1,1,1,1,0,1,1,1,1,1,1,1,1,1
c1245,0,0,0,0,0,1,0,0,0,0,0,1,2,0
c2395,0,0,0,0,0,1,1,0,1,1,0,1,1,1
c0400,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c5174,0,0,0,0,0,0,0,0,0,1,1,0,0,0
c4186,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c2884,0,0,1,0,0,1,1,1,1,1,1,1,1,1
c2302,1,1,1,1,1,1,1,1,1,1,1,1,1,1
