,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,HM01_UR_count,HM01_UR_tpm,HM01_UTI_count,HM01_UTI_tpm,HM03_UR_count,HM03_UR_tpm,HM03_UTI_count,HM03_UTI_tpm,HM06_UR_count,HM06_UR_tpm,HM06_UTI_count,HM06_UTI_tpm,HM07_UR_count,HM07_UR_tpm,HM07_UTI_count,HM07_UTI_tpm,HM14_UR_count,HM14_UR_tpm,HM14_UTI_count,HM14_UTI_tpm,HM17_UR_count,HM17_UR_tpm,HM17_UTI_count,HM17_UTI_tpm,HM43_UR_count,HM43_UR_tpm,HM43_UTI_count,HM43_UTI_tpm,HM54_UR_count,HM54_UR_tpm,HM54_UTI_count,HM54_UTI_tpm,HM56_UR_count,HM56_UR_tpm,HM56_UTI_count,HM56_UTI_tpm,HM57_UR_count,HM57_UR_tpm,HM57_UTI_count,HM57_UTI_tpm,HM60_UR_count,HM60_UR_tpm,HM60_UTI_count,HM60_UTI_tpm,HM66_UR_count,HM66_UR_tpm,HM66_UTI_count,HM66_UTI_tpm,HM68_UR_count,HM68_UR_tpm,HM68_UTI_count,HM68_UTI_tpm,HM86_UR_count,HM86_UR_tpm,HM86_UTI_count,HM86_UTI_tpm
b4182,PROKKA_04215,PROKKA_02650,PROKKA_03377,PROKKA_04112,PROKKA_04373,PROKKA_02090,PROKKA_01836,PROKKA_01460,PROKKA_00202,PROKKA_03406,PROKKA_03733,PROKKA_03170,PROKKA_03956,PROKKA_00105,112.0,8.971028639357037,7.0,2.2119936404112743,187.0,11.142431423717564,14.0,2.0364619705292006,245.0,14.444935825646711,24.0,6.4341271190080915,239.0,13.29705082474785,9.0,5.372515999056623,37.0,3.555366716275322,4.0,0.5642567739361835,474.0,35.281539219408735,23.0,14.579570418310647,81.0,6.277278089999185,44.0,6.695523138071677,98.0,6.759958211621666,21.0,4.164282501707989,145.0,12.264703475682634,33.0,2.7373449416335047,163.0,12.588480967928705,21.0,30.2219423640801,50.0,4.678272091304052,3.0,6.017730597589609,135.0,11.570975538399763,2.0,37.74229817038753,74.0,6.541652011906513,5.0,2.614712196081253,73.0,7.14609018339821,19.0,3.5567603075836183
b1960,PROKKA_01619,PROKKA_00296,PROKKA_00693,PROKKA_01490,PROKKA_01962,PROKKA_04696,PROKKA_04318,PROKKA_03900,PROKKA_02716,PROKKA_00623,PROKKA_02161,PROKKA_00616,PROKKA_01331,PROKKA_02835,135.0,16.058891122466065,57.0,26.749659263648315,327.0,28.936345462940483,111.0,23.978875463930308,274.0,23.99151425555002,53.0,21.101427184449054,408.0,33.71127323132726,17.0,15.070986960947023,302.0,26.796711027531565,169.0,22.013817734640057,263.0,29.07250776848792,31.0,29.18341764212819,145.0,16.688293025710994,69.0,15.593316507534242,150.0,15.366209829717507,102.0,30.038526544235257,117.0,14.697128012400556,164.0,20.20305287934691,126.0,14.45153014185346,23.0,49.15735184528287,103.0,10.621469325933466,8.0,17.686152905256268,98.0,12.47440521243022,2.0,56.05132792112871,285.0,37.41606770352394,50.0,38.83125772052584,121.0,17.590920568622735,79.0,21.962696179258216
b2866,PROKKA_02660,PROKKA_01261,PROKKA_01713,PROKKA_02503,PROKKA_02918,PROKKA_03688,PROKKA_03332,PROKKA_05113,PROKKA_01693,PROKKA_01714,PROKKA_05400,PROKKA_01667,PROKKA_02293,PROKKA_01798,2813.0,68.46811635764398,53.0,5.089277488237743,915.0,32.55370089790944,17.0,1.4765158097457833,2142.0,38.37632879069879,92.0,7.494810388082708,1181.0,19.96649128073363,20.0,3.6279361170043276,760.0,27.112620111813097,19.0,0.9950516163126107,1750.0,39.58235761239459,9.0,1.733619681017347,693.0,16.319769178401597,98.0,4.531608073145358,2576.0,53.995581381615374,43.0,2.5910976015561404,3001.0,77.13464291085961,60.0,1.5123811843591926,1512.0,35.48394862866935,26.0,11.37027199086439,589.0,23.51482984515732,5.0,4.279495400262792,1778.0,46.30867884383107,4.0,22.937852958581185,275.0,7.387250724714109,8.0,1.2712714760920951,1157.0,34.41703226274787,20.0,1.1376938774572625
b0328,PROKKA_04824,PROKKA_03309,PROKKA_04029,PROKKA_04776,PROKKA_00157,PROKKA_01384,PROKKA_01171,PROKKA_02105,PROKKA_04306,PROKKA_04065,PROKKA_00037,PROKKA_03866,PROKKA_04581,PROKKA_04557,582.0,71.04559401001725,2.0,0.9631762701229377,835.0,54.949428913264974,21.0,3.3736957011773305,210.0,13.67436510800371,53.0,15.692517051726352,1050.0,64.51862023633348,4.0,2.637142171126247,717.0,47.31234622122486,32.0,3.0998410112443495,524.0,42.87283143153321,1.0,0.696784673192799,183.0,15.663030152132285,134.0,22.520341993315597,561.0,42.53657265933454,12.0,2.6156753081594384,414.0,38.67476967235881,18.0,1.649021952756202,412.0,34.975556763760835,12.0,18.983051311701153,1088.0,83.43668665523745,21.0,34.52577713110747,1018.0,96.36566646117545,4.0,83.36748140167877,72.0,7.02953437201449,5.0,2.8877675836466996,273.0,29.3758185483176,6.0,1.2346218125288182
b1660,PROKKA_01307,PROKKA_04613,PROKKA_00321,PROKKA_01163,PROKKA_01639,PROKKA_05010,PROKKA_04635,PROKKA_03494,PROKKA_03021,PROKKA_00317,PROKKA_01818,PROKKA_00308,PROKKA_01027,PROKKA_03145,1061.0,48.983620736092924,561.0,102.17860631414013,2947.0,101.21148073663242,1844.0,154.60390703148403,2983.0,101.37107807815126,1002.0,154.83081373953283,2904.0,109.38324349093293,285.0,115.17993401145965,2490.0,85.7487132727049,1101.0,55.66083222894762,1311.0,56.24490055263129,50.0,18.268301712527965,820.0,36.627854620627105,238.0,20.874691948596563,1818.0,72.28082384310719,1765.0,201.73296817385042,757.0,36.905934740180776,1426.0,68.17833528426358,500.0,22.257019538722837,105.0,87.09709236221266,673.0,26.934948750419007,126.0,108.11044333704336,703.0,34.72984231482725,4.0,43.508049748853,1808.0,92.12243815245192,303.0,91.32880944640931,636.0,35.88508900077599,344.0,37.11681650547689
b1815,PROKKA_01469,PROKKA_00132,PROKKA_00479,PROKKA_01343,PROKKA_01799,PROKKA_04847,PROKKA_04473,PROKKA_03659,PROKKA_02866,PROKKA_00474,PROKKA_01995,PROKKA_00465,PROKKA_01186,PROKKA_02968,122.0,4.268376289631503,15.0,2.0704070637498693,264.0,6.871015652290238,15.0,0.9530554635902346,163.0,4.197742404094732,14.0,1.6394005581702924,342.0,8.311170303571167,7.0,1.8252060333326838,196.0,5.115071446626593,23.0,0.8811656942163614,98.0,6.090380172724332,1.0,0.5292563008103198,160.0,5.416078872441701,23.0,1.5287565203464941,124.0,3.7360980762450406,29.0,2.51187217353755,147.0,5.431065404280748,33.0,1.1956613074218936,256.0,8.635835005402628,9.0,5.657495736669384,94.0,2.8509940509358813,3.0,1.9506786292562062,101.0,3.7812572822792676,3.0,24.728527024027372,134.0,5.174151777370699,17.0,3.8831257720525834,115.0,4.917248092833287,24.0,1.962415146322402
b0784,PROKKA_00280,PROKKA_03744,PROKKA_04468,PROKKA_00046,PROKKA_00675,PROKKA_00969,PROKKA_00746,PROKKA_02531,PROKKA_03899,PROKKA_04466,PROKKA_00552,PROKKA_04277,PROKKA_00018,PROKKA_04135,613.0,139.8859295931579,47.0,42.312923246257874,632.0,107.28642646585335,89.0,36.883116773532066,887.0,148.99184236550343,93.0,71.03145030668217,694.0,110.00343239890282,24.0,40.81650250167644,875.0,148.94103811423645,83.0,20.740466847682857,491.0,104.12140323944993,4.0,7.223808448611059,482.0,106.41987057127568,57.0,24.71132500661593,284.0,55.81174661416851,62.0,35.02691730688337,244.0,58.79876645602985,171.0,40.411133895298924,424.0,93.29125126882273,5.0,20.500404052602438,300.0,59.347223101114274,5.0,21.20533639150624,136.0,33.20966185666554,1.0,53.7635186182255,328.0,82.60738986287505,14.0,20.857932718453878,243.0,67.77058654553558,81.0,43.199165256748145
b0796,PROKKA_00292,PROKKA_03758,PROKKA_04480,PROKKA_00058,PROKKA_00690,PROKKA_00957,PROKKA_00734,PROKKA_02543,PROKKA_03887,PROKKA_04478,PROKKA_00565,PROKKA_04289,PROKKA_00030,PROKKA_04122,964.0,80.32193398208229,89.0,29.25558205868196,768.0,47.602798590369,142.0,21.48668987342689,532.0,32.628271478769705,218.0,60.79498999855608,681.0,39.412813853886924,56.0,34.77411912090169,557.0,34.618247845449055,193.0,17.60926821849575,693.0,53.65810353580547,27.0,17.803834905947152,1147.0,92.46612762454944,314.0,49.70434890995276,880.0,63.14420651337466,282.0,58.17051383905994,522.0,45.929578083003456,394.0,33.99732227288594,974.0,78.24878135379174,26.0,38.9232708837787,538.0,38.86019611007388,23.0,35.61611641315579,777.0,69.27716839817803,2.0,39.26098975101415,1950.0,179.31772975804475,80.0,43.518786595879924,533.0,54.27573883368453,162.0,31.546335284361533
b2505,PROKKA_02253,PROKKA_00886,PROKKA_01288,PROKKA_02096,PROKKA_02534,PROKKA_04048,PROKKA_03713,PROKKA_04635,PROKKA_02127,PROKKA_01314,PROKKA_02889,PROKKA_01292,PROKKA_01934,PROKKA_02188,144.0,15.632732846724245,8.0,3.426289178379072,194.0,15.667088146497509,16.0,3.1543976819514716,373.0,29.80619633010044,38.0,13.807345283541311,392.0,29.55913278193287,6.0,4.854389860636276,110.0,8.907541696929092,23.0,2.73418015409271,162.0,16.34302293545476,5.0,4.295711334732305,69.0,7.205449911114465,23.0,4.7161253272465204,131.0,12.247217336125654,41.0,11.019272920377182,106.0,12.151869846117263,39.0,4.3845839365194035,92.0,9.62989926542986,6.0,11.703143284398285,49.0,4.611413678504057,3.0,6.052785338934791,101.0,11.732910945790817,2.0,51.15363907365144,402.0,48.164822564495395,2.0,1.4175294080502634,64.0,8.491292476998664,23.0,5.835485945625693
b0400,PROKKA_04889,PROKKA_03370,PROKKA_04084,PROKKA_04845,PROKKA_00225,PROKKA_01330,PROKKA_01118,PROKKA_02157,PROKKA_04258,PROKKA_04116,PROKKA_00114,PROKKA_03918,PROKKA_04632,PROKKA_04500,877.0,37.86251584023616,769.0,130.97784119298802,975.0,31.31328517915879,307.0,24.069789840971886,1428.0,45.379885319039964,343.0,49.5630666045754,1570.0,47.0806808187531,106.0,34.10568114441883,881.0,28.37125504403077,230.0,10.873380535581049,1226.0,49.18643048389714,71.0,24.258329722700655,862.0,36.00636419351113,587.0,48.145488123368835,610.0,22.679497339408027,502.0,53.65500759214828,579.0,26.39692074061686,560.0,25.03740238178786,856.0,35.63240550757176,37.0,28.700565673643418,382.0,14.296799511025185,36.0,28.885106868430125,537.0,24.80825097758461,8.0,81.37181196271968,1794.0,85.47986172527891,114.0,32.13249094464516,468.0,24.693186689264216,383.0,38.64429831609669
